# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:36:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/b_a9mz_n.json
# init = 2 (Default)
# random
#   seed = 63641
# output
#   file = /home/lab5/output/code1-20230416093656_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,1.90069,0.000374209,28.3964,33.4413,43.8968,52.0254,58.9296,63.9624,60.3354,68.6757,108.006,95.6022,26,44,47,53,48,51,57,80,99,90
0,0,1.90003,0.000161414,12.4731,13.3847,15.0513,16.1957,17.09,17.7049,17.2647,18.2563,22.194,21.0564,11,17,6,18,17,15,18,13,22,15
0,0,1.90146,0.000159431,12.3956,13.2901,14.9233,16.0435,16.9183,17.5194,17.0891,18.0582,21.9006,20.7914,10,15,24,15,19,17,17,21,19,18
0,0,1.90042,0.000357609,26.6255,31.1291,40.3715,47.4881,53.4937,57.8515,54.7125,61.9189,95.4434,84.9406,25,28,44,48,45,42,63,70,87,94
0,0,1.90077,0.000122466,10.7387,11.3291,12.3841,13.0921,13.6371,14.0077,13.7427,14.3375,16.6276,15.9768,14,9,13,19,5,13,16,10,25,19
0,0,1.89946,0.000319737,22.9795,26.4254,33.3406,38.5492,42.8801,45.9903,43.7526,48.8708,71.9565,64.8338,25,30,22,39,42,50,47,50,63,63
0,0,1.89998,0.000321178,23.1198,26.6036,33.6005,38.8752,43.2635,46.4161,44.1478,49.3368,72.7694,65.5355,24,20,32,43,33,44,44,46,85,83
0,0,1.90224,0.000346578,25.561,29.7409,38.2631,44.7831,50.2616,54.225,51.3711,57.9159,88.0893,78.6783,28,27,42,53,50,69,47,50,81,90
0,0,1.90056,0.000207958,14.9378,16.359,19.0289,20.9131,22.4126,23.4569,22.7082,24.4023,31.3843,29.3271,15,19,23,19,33,21,25,32,36,29
0,0,1.89994,0.000192672,14.0726,15.3088,17.6105,19.2204,20.494,21.3772,20.7442,22.1743,27.9961,26.2917,13,12,15,20,15,30,20,18,31,30
0,0,1.89846,0.000314777,22.5208,25.8419,32.487,37.4778,41.6196,44.5898,42.4531,47.338,69.2826,62.5256,21,27,38,32,36,49,55,44,64,55
0,0,1.8993,0.000154965,12.1573,13.0091,14.5605,15.6217,16.449,17.0168,16.6104,17.5253,21.1397,20.0983,17,13,17,14,11,17,16,13,28,25
0,0,1.89865,0.000308075,21.9496,25.1128,31.4169,36.1332,40.0369,42.8314,40.8216,45.4133,65.9289,59.6291,20,24,40,35,33,42,51,45,78,73
0,0,1.90153,0.000306798,21.9044,25.0471,31.3058,35.9845,39.8552,42.625,40.633,45.1835,65.4939,59.2604,26,28,34,34,36,38,49,48,70,71
0,0,1.89966,9.38133e-05,9.60285,10.0047,10.7109,11.1769,11.5316,11.771,11.5999,11.9826,13.423,13.0187,11,8,8,9,12,14,19,8,21,13
0,0,1.90177,0.000309782,22.1638,25.3767,31.7866,36.5867,40.5625,43.4098,41.3619,46.0415,66.9791,60.5453,17,24,32,31,42,37,46,38,54,67
0,0,1.90077,0.000204418,14.7381,16.1153,18.6973,20.5156,21.9607,22.9662,22.2454,23.8757,30.5758,28.6046,25,16,15,18,19,25,19,19,23,42
