# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:36:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/b_a9mz_n.json
# init = 2 (Default)
# random
#   seed = 63641
# output
#   file = /home/lab5/output/code1-20230416093656_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,1.90107,0.00011239,10.3319,10.852,11.7759,12.3924,12.8649,13.1855,12.9564,13.4701,15.4323,14.8772,10,7,17,9,14,9,12,22,11,12
0,0,1.90065,0.000135993,11.3134,12.0061,13.2538,14.0979,14.751,15.1969,14.8779,15.5947,18.3841,17.5868,13,14,10,15,18,15,18,15,17,22
0,0,1.9001,6.06361e-05,8.45141,8.67835,9.06947,9.32261,9.51277,9.63993,9.54918,9.75164,10.494,10.2886,9,10,11,11,8,10,14,12,12,8
0,0,1.89953,0.000235815,16.618,18.4219,21.867,24.338,26.3262,27.7215,26.7202,28.9918,38.5652,35.7115,27,9,24,15,24,27,18,28,32,29
0,0,1.89903,0.000185938,13.6989,14.8584,17.009,18.5072,19.6894,20.5077,19.9214,21.2451,26.6054,25.0406,15,14,29,14,19,11,21,10,22,26
0,0,1.9001,0.000172435,13.0165,14.0352,15.9097,17.2053,18.2221,18.9234,18.4211,19.5536,24.0903,22.7734,14,14,16,13,23,19,24,21,23,24
0,0,1.89944,0.000355237,26.3566,30.7829,39.8537,46.8285,52.709,56.9733,53.9019,60.9515,93.6828,83.4383,24,33,35,42,48,51,50,63,83,81
0,0,1.90155,0.000253902,17.8567,19.952,23.9968,26.9286,29.3045,30.9801,29.777,32.5112,44.2036,40.6921,8,20,29,29,22,20,25,27,38,43
0,0,1.90136,0.000202797,14.6547,16.0127,18.5564,20.346,21.7675,22.756,22.0474,23.65,30.2273,28.2936,15,18,20,16,17,31,30,25,42,28
0,0,1.89992,9.44419e-05,9.62869,10.0344,10.7475,11.2184,11.5768,11.8187,11.6459,12.0327,13.4894,13.0804,10,10,15,12,12,11,8,16,12,19
0,0,1.89707,0.000240778,16.8979,18.7728,22.3641,24.9474,27.03,28.4935,27.4431,29.8273,39.9156,36.9023,17,10,24,29,22,22,31,26,35,21
0,0,1.9016,0.000287989,20.3707,23.1026,28.4832,32.4617,35.729,38.0549,36.3831,40.1953,56.9524,51.8487,14,29,28,28,39,40,30,33,68,43
0,0,1.90043,0.000196555,14.2924,15.5743,17.9666,19.6436,20.9723,21.8948,21.2336,22.7279,28.8303,27.0409,16,16,27,21,11,25,17,23,31,27
0,0,1.89916,0.000358574,26.691,31.2189,40.5164,47.6794,53.7264,58.1155,54.9539,62.2128,96.0084,85.4166,31,30,53,41,45,54,47,65,107,78
0,0,1.89913,0.000381796,29.1952,34.4962,45.532,54.1496,61.4909,66.8534,62.9879,71.8833,114.093,100.741,36,31,51,62,54,77,64,72,119,112
0,0,1.8988,0.000199809,14.4495,15.768,18.2331,19.9645,21.338,22.2925,21.6083,23.1551,29.488,27.6284,12,17,13,17,25,17,24,24,34,29
0,0,1.89934,0.000347406,25.5688,29.7607,38.3116,44.8568,50.3582,54.3391,51.4726,58.0469,88.3771,78.914,28,31,39,35,54,51,51,53,87,77
0,0,1.90207,0.000229352,16.2494,17.9625,21.2217,23.5506,25.4197,26.7291,25.7897,27.9196,36.8496,34.1949,7,14,17,18,31,29,25,26,42,29
0,0,1.89944,8.04999e-05,9.11944,9.44596,10.0153,10.3881,10.6703,10.8601,10.7245,11.0275,12.1556,11.8408,11,12,14,10,10,15,9,6,18,13
0,0,1.90053,6.80578e-05,8.70097,8.96363,9.41829,9.71384,9.9365,10.0857,9.9792,10.217,11.094,10.8505,6,4,12,9,12,14,11,1,12,8
0,0,1.90175,0.000164109,12.6253,13.564,15.2828,16.4649,17.3898,18.0261,17.5705,18.597,22.682,21.5005,14,10,10,21,18,14,18,16,16,25
0,0,1.89881,0.000194605,14.1622,15.4193,17.7626,19.4034,20.7024,21.6038,20.9578,22.4175,28.3695,26.6256,11,18,17,24,28,27,25,18,23,27
0,0,1.90084,0.000113456,10.3721,10.8994,11.8365,12.4621,12.942,13.2676,13.0348,13.5567,15.5515,14.9869,7,4,12,12,11,9,17,18,13,18
0,0,1.89944,0.000217282,15.4684,17.0091,19.9198,21.985,23.6347,24.7865,23.9604,25.8312,33.599,31.3013,18,17,25,13,25,31,32,25,35,31
0,0,1.89951,0.000288315,20.3539,23.0869,28.4706,32.4522,35.7223,38.0506,36.3771,40.1932,56.9719,51.861,26,19,22,34,31,36,31,37,52,48
0,0,1.89979,0.000179351,13.3648,14.4544,16.4675,17.8645,18.9639,19.7236,19.1794,20.4073,25.3533,23.9134,12,15,19,17,21,29,19,16,18,19
0,0,1.89958,0.000219527,15.6054,17.1766,20.1488,22.2604,23.9486,25.1281,24.2822,26.1984,34.1692,31.8093,20,19,14,20,21,29,22,26,42,30
0,0,1.89937,0.000103541,9.9677,10.4291,11.2444,11.7856,12.1991,12.4788,12.2789,12.7268,14.4254,13.9466,12,9,16,10,16,9,17,19,15,12
0,0,1.89838,0.000147691,11.8096,12.597,14.0248,14.9974,15.7535,16.2713,15.9007,16.7344,20.0088,19.0683,13,8,9,19,19,18,8,20,17,21
0,0,1.90095,0.00034647,25.5174,29.6887,38.193,44.6989,50.1653,54.1198,51.2723,57.8023,87.9051,78.5165,30,27,32,42,53,54,54,49,95,74
0,0,1.89932,0.000190954,13.9709,15.1867,17.4484,19.0285,20.2778,21.1438,20.5232,21.925,27.6239,25.9567,12,10,21,16,20,13,15,23,28,23
0,0,1.90018,0.000420052,33.8804,40.707,55.245,66.852,76.8887,84.2974,78.9506,91.3009,151.779,132.355,31,48,55,60,74,91,77,91,137,123
0,0,1.90073,0.000253394,17.8069,19.892,23.9157,26.8315,29.1938,30.8597,29.6636,32.3817,44.0005,40.5118,8,27,25,28,27,29,26,29,45,38
0,0,1.89856,0.000115596,10.4344,10.975,11.9372,12.5804,13.0741,13.4093,13.1697,13.7071,15.7649,15.1818,7,7,10,15,8,15,13,12,14,11
0,0,1.89931,0.000132073,11.1284,11.7896,12.9777,13.7797,14.3993,14.8218,14.5196,15.1985,17.8321,17.0807,13,12,10,10,13,17,7,16,18,13
0,0,1.89899,0.000313893,22.4561,25.7577,32.3603,37.3167,41.4284,44.3765,42.2558,47.1036,68.8658,62.1674,25,24,31,36,44,39,48,45,68,55
0,0,1.8999,0.000157846,12.3007,13.1791,14.7817,15.8798,16.7369,17.3255,16.9041,17.853,21.6102,20.5263,9,15,14,20,18,22,21,20,23,18
0,0,1.90128,0.000248919,17.5115,19.5238,23.3968,26.196,28.4599,30.0544,28.9097,31.51,42.5847,39.2656,16,20,18,28,34,25,27,33,51,38
0,0,1.90043,0.000220172,15.6576,17.239,20.2314,22.3582,24.0591,25.2476,24.3951,26.3261,34.3626,31.9827,22,24,20,21,28,27,21,31,41,26
0,0,1.90053,0.000128491,10.989,11.6237,12.7618,13.5284,14.1198,14.5228,14.2346,14.8817,17.385,16.6718,10,13,18,7,12,15,15,11,32,14
0,0,1.8997,0.000263047,18.4645,20.7138,25.0791,28.2603,30.8475,32.6767,31.3629,34.3513,47.2252,43.3443,19,18,16,38,41,31,33,29,57,39
0,0,1.89949,0.000129516,11.0211,11.6628,12.8143,13.5904,14.1894,14.5976,14.3056,14.9613,17.4996,16.7762,8,11,17,13,22,12,11,10,18,19
0,0,1.90097,0.000145388,11.7353,12.5051,13.8992,14.8476,15.5841,16.0883,15.7275,16.5389,19.7201,18.8072,12,7,13,12,14,14,23,16,13,19
0,0,1.90155,7.05515e-05,8.79418,9.06954,9.54686,9.8576,10.0919,10.2491,10.1369,10.3874,11.3131,11.0558,10,11,6,9,12,7,9,13,13,7
0,0,1.9007,0.000242635,17.0815,18.9922,22.6559,25.2943,27.4228,28.9194,27.8452,30.2838,40.6176,37.5285,20,21,21,25,24,20,31,27,45,46
0,0,1.89909,0.000190606,13.9489,15.1605,17.4138,18.9879,20.2321,21.0945,20.4765,21.8725,27.5462,25.8866,10,12,17,24,17,23,24,16,22,21
0,0,1.90051,1.66548e-05,7.1338,7.18591,7.27345,7.32865,7.36941,7.39634,7.37715,7.41978,7.57083,7.52983,10,12,5,12,9,8,6,7,6,5
0,0,1.89932,0.000287727,20.3038,23.0242,28.381,32.3414,35.5935,37.9085,36.2446,40.0386,56.7124,51.6347,17,20,25,34,30,40,37,48,57,57
0,0,1.90133,0.000159271,12.3864,13.2792,14.9093,16.0274,16.9004,17.5003,17.0708,18.0379,21.8717,20.7651,12,17,16,11,11,13,16,15,23,24
0,0,1.90028,0.000222491,15.7961,17.4091,20.4656,22.6408,24.382,25.5994,24.7262,26.7048,34.9549,32.5093,19,16,12,26,31,25,17,21,46,33
0,0,1.90185,0.000131389,11.1274,11.785,12.9662,13.7632,14.3787,14.7984,14.4982,15.1725,17.787,17.0412,18,15,15,15,13,20,15,15,23,20
0,0,1.90081,0.000277424,19.5407,22.0592,26.9887,30.6113,33.574,35.677,34.1659,37.608,52.6097,48.0605,24,19,22,30,33,42,41,37,44,57
0,0,1.89929,0.000243304,17.1016,19.0201,22.7004,25.3516,27.4911,28.9956,27.9157,30.3675,40.7629,37.6546,20,29,26,26,29,34,28,41,47,29
