# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:37:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/cm8izgtl.json
# init = 2 (Default)
# random
#   seed = 7975
# output
#   file = /home/lab5/output/code1-20230416093718_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,1.9004,0.000138095,11.4028,12.1121,13.3913,14.2577,14.9287,15.387,15.0591,15.7961,18.6689,17.8471,10,15,14,12,16,14,15,10,21,15
0,0,1.89879,5.81433e-06,6.82946,6.84684,6.87584,6.89402,6.90738,6.91618,6.90991,6.92382,6.97271,6.9595,8,6,6,8,8,8,11,8,6,4
0,0,1.9005,0.000181191,13.4697,14.5796,16.6323,18.0583,19.1815,19.9579,19.4017,20.6569,25.7206,24.2453,18,16,9,18,18,13,17,17,21,27
0,0,1.90096,0.000202659,14.6411,15.9969,18.5363,20.3227,21.7415,22.7282,22.0209,23.6204,30.1845,28.2548,11,12,10,22,16,17,23,25,36,27
0,0,1.90038,0.000133457,11.2001,11.8727,13.0824,13.8996,14.5312,14.9622,14.6539,15.3464,18.0359,17.2681,10,13,11,12,16,18,14,12,27,22
0,0,1.90126,6.88844e-05,8.73522,9.00217,9.46447,9.76513,9.99172,10.1436,10.0352,10.2772,11.1705,10.9225,6,8,6,12,6,10,8,5,13,8
0,0,1.90012,0.000293042,20.7415,23.5753,29.1729,33.3241,36.7399,39.175,37.4245,41.418,59.0448,53.6652,24,25,23,27,29,47,36,44,67,57
0,0,1.90024,0.000190141,13.9399,15.1477,17.3932,18.9614,20.2008,21.0597,20.4442,21.8345,27.4828,25.831,20,16,20,27,21,16,22,26,28,26
0,0,1.89945,0.000209642,15.0187,16.4596,19.1695,21.0837,22.6081,23.6703,22.9087,24.6322,31.7445,29.6475,10,16,14,21,14,16,29,23,37,29
0,0,1.90043,0.000353952,26.252,30.6435,39.6362,46.5458,52.3684,56.5892,53.5493,60.5258,92.884,82.7615,25,31,48,38,46,53,64,62,102,90
0,0,1.90148,0.000222167,15.7953,17.4057,20.4567,22.6277,24.3652,25.58,24.7087,26.6829,34.9125,32.4733,13,20,11,14,21,26,25,24,39,29
0,0,1.89983,0.000318337,22.8642,26.2768,33.1193,38.269,42.5486,45.6208,43.4106,48.4653,71.2386,64.2163,29,21,26,43,36,53,46,44,76,62
0,0,1.90023,3.44018e-05,7.63793,7.75363,7.94999,8.07513,8.16817,8.22994,8.18589,8.28391,8.63602,8.53971,10,3,5,3,2,5,6,7,2,4
0,0,1.89879,0.000145011,11.6927,12.4577,13.8427,14.7848,15.5162,16.0169,15.6586,16.4643,19.6221,18.7161,8,11,13,13,16,26,16,11,20,21
0,0,1.89933,3.72967e-05,7.71689,7.8437,8.05929,8.19692,8.29935,8.36742,8.31888,8.42693,8.81594,8.7094,9,6,6,11,13,9,10,6,10,5
0,0,1.90181,0.000341222,25.0269,29.0514,37.2308,43.4691,48.6999,52.4786,49.7582,55.9936,84.6154,75.7076,26,35,33,44,50,61,49,49,97,69
0,0,1.90022,8.08315e-05,9.13826,9.46682,10.0398,10.4151,10.6992,10.8903,10.7539,11.0589,12.1952,11.878,6,12,12,13,9,14,12,10,11,8
0,0,1.89945,0.000172354,13.0039,14.0212,15.8929,17.1864,18.2017,18.9018,18.4004,19.5311,24.0601,22.7455,12,13,13,19,20,22,14,16,19,26
0,0,1.89965,0.000254349,17.8535,19.9524,24.005,26.9434,29.3249,31.0047,29.7986,32.5398,44.2665,40.744,17,18,25,21,20,33,28,32,49,48
0,0,1.90088,0.000246477,17.3401,19.3121,23.1021,25.8374,28.0475,29.6031,28.4864,31.0224,41.802,38.5746,13,16,21,32,30,31,18,20,43,39
0,0,1.89927,0.000248997,17.4815,19.4911,23.3589,26.1546,28.4156,30.0082,28.8649,31.462,42.5239,39.2085,22,24,30,24,27,30,33,38,47,29
0,0,1.9003,0.000130895,11.0889,11.7417,12.914,13.7047,14.3152,14.7315,14.4338,15.1025,17.6943,16.9551,16,9,13,9,10,14,19,19,12,20
0,0,1.9014,0.00012934,11.0346,11.6763,12.8275,13.6033,14.202,14.61,14.3182,14.9735,17.5102,16.7872,11,4,14,20,15,20,18,20,17,17
0,0,1.8991,0.000123275,10.7543,11.3496,12.4137,13.1283,13.6784,14.0527,13.7851,14.3858,16.6999,16.0421,12,12,12,14,15,15,12,13,12,18
0,0,1.89955,0.000241744,17.0033,18.8979,22.5289,25.1422,27.2499,28.7314,27.6681,30.0819,40.3033,37.249,25,19,23,27,25,22,29,31,34,40
0,0,1.90276,0.000204292,14.7603,16.1386,18.7227,20.5423,21.9884,22.9945,22.2732,23.9046,30.608,28.636,9,26,21,25,21,24,16,22,36,29
0,0,1.89865,0.00017153,12.9522,13.9604,15.8145,17.0953,18.1002,18.7931,18.2968,19.4156,23.8941,22.5946,10,17,14,13,16,23,16,21,14,16
0,0,1.89929,0.000161028,12.4453,13.3527,15.011,16.1495,17.0391,17.6507,17.2129,18.1991,22.1141,20.9832,13,13,9,18,21,21,19,18,21,24
0,0,1.90041,0.000159147,12.369,13.2598,14.8863,16.0016,16.8725,17.471,17.0426,18.0073,21.8313,20.7276,17,10,3,17,15,15,15,21,26,15
0,0,1.89897,4.96659e-05,8.09162,8.26916,8.57319,8.76869,8.91492,9.01242,8.94286,9.09787,9.66137,9.5062,8,14,4,10,13,12,13,14,9,16
0,0,1.90126,0.000276857,19.5067,22.0155,26.9241,30.5301,33.4786,35.5713,34.0677,37.4925,52.4122,47.8889,9,17,35,22,32,35,47,33,41,56
0,0,1.8997,0.000269315,18.9171,21.2798,25.882,29.2482,31.9925,33.9361,32.5399,35.7178,49.4777,45.3189,16,23,31,26,36,37,32,24,45,49
0,0,1.90077,0.00011051,10.254,10.7614,11.6616,12.2616,12.7212,13.0329,12.8101,13.3094,15.2136,14.6753,12,8,9,14,13,14,10,12,12,18
0,0,1.89949,0.000175539,13.1654,14.2151,16.15,17.4898,18.5426,19.2693,18.7488,19.9228,24.6375,23.2672,13,10,20,10,12,18,22,27,32,16
0,0,1.90111,0.000304184,21.6753,24.7568,30.8841,35.4577,39.2375,41.9404,39.9967,44.4358,64.2067,58.1452,16,33,31,34,35,46,35,57,55,60
0,0,1.90045,0.000126037,10.8845,11.5008,12.6044,13.3466,13.9187,14.3083,14.0297,14.655,17.0694,16.3823,7,9,8,21,11,10,12,20,23,28
0,0,1.89995,0.000151331,11.9957,12.8158,14.3062,15.3237,16.1157,16.6587,16.2701,17.1447,20.5898,19.5987,10,11,15,13,10,10,16,25,28,25
0,0,1.89972,0.000317648,22.8007,26.1959,33.0008,38.1202,42.3734,45.426,43.2299,48.2521,70.8661,63.8949,14,29,31,32,34,36,38,51,67,59
0,0,1.89809,0.000261471,18.3228,20.5408,24.8411,27.9721,30.5168,32.3153,31.0237,33.9613,46.6,42.7924,22,29,26,20,22,36,19,31,48,46
0,0,1.89858,0.000327579,23.6654,27.3076,34.6506,40.2068,44.8409,48.176,45.7759,51.2697,76.2084,68.4895,20,29,31,34,42,45,59,43,77,86
0,0,1.89975,0.000244231,17.1709,19.1049,22.8169,25.4925,27.6524,29.1717,28.0812,30.5573,41.0637,37.921,14,22,20,28,30,38,33,33,45,36
0,0,1.90058,0.00023289,16.4486,18.2108,21.5705,23.9761,25.9095,27.2652,26.2925,28.4988,37.7755,35.0136,15,17,17,17,28,34,26,38,51,41
0,0,1.89928,0.000228891,16.1753,17.8769,21.1135,23.4256,25.281,26.5805,25.6482,27.762,36.6212,33.988,6,23,18,22,21,26,16,25,30,31
0,0,1.90114,0.000260522,18.3117,20.5198,24.7987,27.9123,30.442,32.2293,30.9457,33.8648,46.4143,42.6351,22,33,25,25,28,19,30,39,58,41
0,0,1.90022,9.01019e-05,9.4715,9.85187,10.5188,10.958,11.2918,11.5168,11.3561,11.7157,13.0652,12.687,7,17,8,11,13,9,10,10,8,13
0,0,1.89978,0.000213364,15.2412,16.7307,19.538,21.5252,23.1103,24.2158,23.423,25.2176,32.6457,30.4522,8,19,19,25,20,20,19,44,32,31
0,0,1.90008,0.00013122,11.1004,11.7555,12.9322,13.726,14.3391,14.7571,14.4581,15.1297,17.7331,16.9905,20,8,15,19,14,25,24,14,23,22
0,0,1.90116,0.000300639,21.3816,24.3836,30.3402,34.7773,38.4392,41.0552,39.1742,43.4686,62.5403,56.7016,35,27,32,31,35,37,45,44,62,54
0,0,1.90005,0.00026069,18.3036,20.5122,24.7925,27.9075,30.4384,32.2268,30.9425,33.8632,46.4215,42.6394,20,23,24,31,26,34,27,28,50,43
0,0,1.90035,0.000309636,22.1199,25.3249,31.7183,36.5057,40.4706,43.3101,41.2678,45.9345,66.8116,60.3968,24,23,31,43,33,45,42,46,73,72
0,0,1.90058,0.000103547,9.98001,10.442,11.2584,11.8003,12.2143,12.4944,12.2942,12.7427,14.4435,13.9641,11,5,15,9,13,10,13,12,17,10
0,0,1.90064,0.00025534,17.9397,20.0574,24.1487,27.1169,29.5235,31.2214,30.0022,32.7735,44.6378,41.0725,15,24,23,24,25,28,30,31,34,43
0,0,1.89988,0.00010761,10.1308,10.6186,11.4826,12.0576,12.4975,12.7955,12.5825,13.0598,14.876,14.3631,12,15,14,15,13,10,20,13,10,8
0,0,1.90072,0.000199683,14.4703,15.7897,18.2566,19.989,21.3634,22.3183,21.6338,23.1814,29.517,27.6567,12,13,22,24,17,23,33,24,28,22
0,0,1.90062,0.000225771,16.003,17.6624,20.8129,23.0594,24.8599,26.12,25.216,27.2648,35.8298,33.2873,19,19,18,15,25,29,29,24,39,32
0,0,1.90009,0.000119361,10.6035,11.1713,12.184,12.8624,13.384,13.7385,13.485,14.0536,16.2372,15.6175,10,12,16,9,12,13,19,17,17,14
