# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:37:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/cm8izgtl.json
# init = 2 (Default)
# random
#   seed = 7975
# output
#   file = /home/lab5/output/code1-20230416093718_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,1.89943,0.000177313,13.2552,14.3231,16.2938,17.6597,18.7338,19.4756,18.9442,20.1429,24.9631,23.5611,19,14,9,17,19,28,22,15,27,23
0,0,1.90018,0.000291355,20.6082,23.4064,28.9284,33.0196,36.3837,38.7809,37.0577,40.9882,58.313,53.0292,24,27,25,31,44,35,34,40,49,60
0,0,1.89889,0.000110122,10.2195,10.7233,11.6171,12.2126,12.6688,12.978,12.757,13.2524,15.1413,14.6074,9,13,11,19,9,8,8,15,15,17
0,0,1.9004,0.000153504,12.1022,12.9419,14.4699,15.5143,16.3279,16.8862,16.4866,17.3859,20.9345,19.9127,13,17,13,17,15,11,10,13,25,22
0,0,1.90106,0.000294354,20.8666,23.731,29.3936,33.5963,37.0562,39.5236,37.7498,41.797,59.6798,54.2191,29,24,20,28,46,38,43,35,46,44
0,0,1.8983,6.72865e-05,8.65575,8.91405,9.36094,9.65131,9.87,10.0165,9.91193,10.1454,11.006,10.7672,3,12,6,9,5,10,18,4,12,15
0,0,1.89962,0.000164323,12.6089,13.5476,15.2667,16.4492,17.3744,18.011,17.5552,18.5822,22.6698,21.4874,11,21,16,15,10,13,15,19,27,15
0,0,1.89998,0.000197144,14.3185,15.6067,18.0118,19.6982,21.0348,21.9629,21.2977,22.8011,28.9438,27.1421,13,17,18,14,18,18,24,17,35,19
0,0,1.89963,0.00015859,12.3328,13.2178,14.8331,15.9405,16.805,17.3989,16.9737,17.9311,21.7243,20.6297,14,9,16,17,17,18,16,32,23,20
0,0,1.90232,0.000146415,11.7979,12.5775,13.9901,14.9517,15.6987,16.2102,15.8442,16.6675,19.8981,18.9706,9,14,11,12,18,21,18,14,25,26
0,0,1.89902,0.000277917,19.5428,22.0665,27.0072,30.6392,33.61,35.7192,34.2037,37.656,52.7083,48.1428,20,24,15,34,38,44,43,43,53,55
0,0,1.90073,0.000137181,11.3664,12.0687,13.3343,14.1912,14.8545,15.3076,14.9835,15.7118,18.5487,17.7375,11,5,8,12,11,12,15,20,15,23
0,0,1.8989,0.000120645,10.6436,11.2198,12.2483,12.9378,13.4682,13.8288,13.571,14.1494,16.3734,15.7419,8,8,8,16,11,18,11,12,27,16
0,0,1.90046,0.000331052,24.0304,27.7709,35.3275,41.057,45.842,49.289,46.8081,52.4889,78.3491,70.3337,19,33,28,42,43,60,38,50,95,66
0,0,1.90033,0.000175634,13.1813,14.2329,16.1713,17.5136,18.5684,19.2966,18.775,19.9514,24.6756,23.3024,11,11,12,16,29,27,25,16,29,24
0,0,1.90094,0.000230857,16.3257,18.0586,21.3586,23.7187,25.614,26.9423,25.9893,28.1504,37.2219,34.5234,18,14,22,17,32,29,30,22,34,22
0,0,1.89918,0.000298785,21.1871,24.1422,29.9994,34.3577,37.952,40.5184,38.6732,42.8852,61.5627,55.849,21,20,32,40,50,37,38,36,54,56
0,0,1.89998,0.000104312,10.0035,10.4701,11.2949,11.8427,12.2613,12.5446,12.3422,12.7957,14.5171,14.0318,10,16,5,11,13,13,12,14,21,17
0,0,1.89861,0.000134525,11.2266,11.9063,13.1296,13.9565,14.5959,15.0323,14.7202,15.4215,18.1476,17.3689,9,14,10,10,10,21,15,12,23,13
0,0,1.89852,0.00026694,18.7222,21.0387,25.5447,28.8358,31.5165,33.4138,32.051,35.1522,48.5544,44.5078,22,12,34,26,33,32,26,39,54,38
0,0,1.90041,0.000307673,21.9541,25.1136,31.4087,36.1172,40.0138,42.8029,40.797,45.3796,65.8479,59.5637,19,23,31,34,46,40,45,52,66,63
0,0,1.89858,0.000210835,15.075,16.5299,19.268,21.2035,22.7456,23.8205,23.0498,24.7941,31.9993,29.8738,16,20,19,19,26,22,24,26,34,22
0,0,1.90064,0.000249985,17.5724,19.6009,23.5073,26.3326,28.6184,30.2289,29.0727,31.6993,42.896,39.5388,23,17,20,25,33,36,21,36,42,26
0,0,1.90016,0.000272576,19.1657,21.5902,26.3219,29.7894,32.6198,34.6263,33.1848,36.4668,50.7149,46.4028,12,19,25,32,39,47,36,35,36,53
0,0,1.90064,0.000286379,20.2251,22.9214,28.2267,32.1459,35.3624,37.6513,36.0062,39.7567,56.2214,51.2101,18,23,27,34,36,32,27,36,51,52
0,0,1.90061,0.000205469,14.7958,16.1857,18.7934,20.6309,22.0919,23.1087,22.3797,24.0287,30.8108,28.8146,18,20,15,17,30,28,19,24,28,32
0,0,1.90124,0.000212953,15.2393,16.7255,19.5261,21.5082,23.0888,24.1911,23.4006,25.19,32.5937,30.4077,16,21,29,15,26,21,16,30,38,20
0,0,1.90074,0.00011984,10.63,11.2015,12.2212,12.9046,13.43,13.7871,13.5318,14.1046,16.3056,15.6809,7,11,18,10,14,17,18,10,20,21
0,0,1.9005,0.000171695,12.9845,13.9962,15.857,17.1425,18.1512,18.8467,18.3486,19.4716,23.9678,22.6631,15,13,15,21,24,22,20,18,20,24
0,0,1.90064,0.000357666,26.6372,31.1435,40.3919,47.5133,53.5231,57.8841,54.7428,61.9544,95.5046,84.9935,27,21,48,46,41,45,43,56,80,82
0,0,1.90055,0.000199888,14.4793,15.8009,18.2723,20.0081,21.3852,22.3422,21.6562,23.207,29.557,27.6923,18,17,19,15,29,26,22,26,30,26
0,0,1.89879,0.000178838,13.325,14.4082,16.4087,17.7966,18.8886,19.6431,19.1026,20.322,25.2316,23.8027,14,19,23,15,23,14,21,26,27,27
0,0,1.90028,0.000161438,12.4774,13.3894,15.0568,16.2018,17.0966,17.7119,17.2714,18.2636,22.2035,21.0652,12,12,14,20,22,19,15,21,25,24
0,0,1.89921,0.00013339,11.1842,11.8555,13.0628,13.8783,14.5086,14.9387,14.6311,15.3222,18.006,17.2398,10,11,14,18,14,10,10,23,20,18
0,0,1.89958,0.00030768,21.9363,25.0933,31.3835,36.0884,39.9819,42.7688,40.7645,45.3436,65.7961,59.5167,26,17,30,41,32,34,45,47,69,66
0,0,1.90007,0.000225994,16.0079,17.6696,20.8247,23.0748,24.8784,26.1406,25.2351,27.2875,35.8694,33.3217,18,11,19,21,25,28,29,38,37,36
0,0,1.90078,0.000140908,11.5318,12.2642,13.5872,14.4848,15.1806,15.6564,15.316,16.0812,19.0707,18.2145,13,21,13,9,14,25,8,17,14,19
0,0,1.89951,0.000333586,24.2437,28.0485,35.7464,41.5916,46.4782,50.0008,47.4653,53.2725,79.763,71.5438,30,25,30,39,42,58,39,57,83,67
0,0,1.89954,0.00025832,18.1275,20.2938,24.4863,27.5331,30.0064,31.7529,30.4987,33.3502,45.5874,41.9056,19,21,27,31,34,33,33,31,35,34
0,0,1.90057,0.000281677,19.8596,22.461,27.5654,31.3258,34.4063,36.5956,35.0223,38.6075,54.2865,49.5236,23,35,27,22,29,31,43,38,50,41
0,0,1.90117,0.000221821,15.7692,17.3744,20.4148,22.5778,24.3086,25.5187,24.6507,26.6172,34.8119,32.3834,13,13,17,19,32,23,19,24,32,35
0,0,1.8995,0.000124724,10.819,11.425,12.5094,13.2382,13.7996,14.1817,13.9085,14.5218,16.8874,16.2145,16,13,12,12,22,10,16,22,18,16
