# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:38:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/_k1qqvlj.json
# init = 2 (Default)
# random
#   seed = 47453
# output
#   file = /home/lab5/output/code1-20230416093816_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,2.00012,0.000233224,18.1935,20.1456,23.868,26.5339,28.6767,30.1795,29.1012,31.5469,41.8326,38.7699,19,17,22,21,34,34,33,28,40,36
0,0,2.00009,0.000106365,11.1448,11.6751,12.6137,13.2378,13.7151,14.0383,13.8073,14.3249,16.2924,15.7372,12,13,18,8,13,20,18,10,11,10
0,0,2.0001,0.000199913,15.9964,17.4567,20.1874,22.1053,23.627,24.6844,23.9265,25.64,32.6567,30.5962,20,14,20,18,20,22,30,30,36,38
0,0,2,0.000277269,21.5653,24.3432,29.7796,33.7745,37.0414,39.3603,37.6941,41.4894,58.0284,53.0133,24,26,24,37,45,31,26,39,57,48
0,0,2.00008,0.00025444,19.7466,22.0689,26.5531,29.8046,32.44,34.2989,32.9642,35.9978,48.976,45.0775,10,23,30,32,38,41,30,39,57,54
0,0,1.99976,0.000182014,14.9227,16.1581,18.4441,20.033,21.2847,22.1503,21.5302,22.9297,28.579,26.9325,14,13,20,15,25,16,18,31,27,20
0,0,1.99975,0.00014192,12.7814,13.5992,15.0772,16.0807,16.8589,17.3911,17.0103,17.8664,21.2137,20.2546,18,15,11,23,16,20,18,23,21,18
0,0,1.99992,8.71932e-05,10.3475,10.7494,11.4529,11.9153,12.2664,12.5028,12.3339,12.7117,14.1261,13.7302,11,14,5,9,12,15,12,8,14,15
0,0,1.9998,0.000381004,32.1888,38.0202,50.1545,59.6256,67.6914,73.5819,69.3358,79.106,125.437,110.786,39,30,47,54,49,64,75,64,125,111
0,0,2.00015,0.000234694,18.2976,20.2739,24.0457,26.7492,28.9237,30.4491,29.3545,31.8377,42.2933,39.1782,17,20,25,26,25,32,41,46,44,35
0,0,2.00004,0.000241967,18.8169,20.9156,24.9384,27.8341,30.1696,31.8114,30.633,33.3081,44.6377,41.2519,17,28,21,32,26,30,40,40,42,48
0,0,2,0.00020521,16.3255,17.8572,20.7302,22.7544,24.3637,25.4836,24.6807,26.4968,33.965,31.7671,12,18,25,18,30,20,25,29,33,29
