# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:38:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/_k1qqvlj.json
# init = 2 (Default)
# random
#   seed = 47453
# output
#   file = /home/lab5/output/code1-20230416093816_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,2.0001,0.000109946,11.3002,11.8564,12.843,13.5003,14.0038,14.3451,14.1011,14.6479,16.7321,16.143,16,13,19,14,15,11,11,10,17,16
0,0,2.00018,0.00023537,18.346,20.3335,24.1282,26.8493,29.0384,30.5744,29.4722,31.9728,42.5076,39.3679,20,16,29,26,29,27,28,32,43,36
0,0,2.00012,0.000262743,20.3911,22.8721,27.6861,31.1937,34.0459,36.0624,34.6142,37.9084,52.0962,47.8197,15,18,31,24,35,39,31,29,53,54
0,0,2.00015,0.000171606,14.3402,15.4569,17.5108,18.9296,20.0428,20.8104,20.2607,21.5001,26.4618,25.022,21,14,25,16,14,22,23,24,31,25
0,0,2.00008,0.000240939,18.7432,20.8243,24.8109,27.6789,29.9912,31.6162,30.4499,33.0971,44.2999,40.9535,20,19,24,38,33,33,30,36,36,37
0,0,2.00013,9.59628e-05,10.7063,11.1648,11.9715,12.5046,12.9107,13.1849,12.989,13.4275,15.0808,14.6163,12,11,14,7,18,8,18,15,19,14
0,0,1.99987,0.000252608,19.6033,21.8912,26.3043,29.5008,32.0897,33.915,32.6045,35.5824,48.3037,44.4852,20,20,31,31,36,43,27,26,51,43
0,0,1.99989,0.000344839,27.9943,32.5473,41.8208,48.9085,54.8598,59.1633,56.0647,63.1694,95.8779,85.6833,32,30,40,52,57,53,55,57,97,78
0,0,2.00015,0.000320848,25.5232,29.3648,37.0791,42.8935,47.7301,51.2045,48.7047,54.4231,80.2394,72.2707,26,33,35,47,57,61,39,54,92,67
0,0,1.99988,0.000293195,22.931,26.0656,32.2581,36.8509,40.6303,43.3247,41.3878,45.8067,65.3134,59.3597,24,26,28,32,49,44,38,43,57,71
0,0,1.99993,0.000340147,27.4925,31.8984,40.8474,47.6684,53.3854,57.5141,54.5418,61.3539,92.595,82.8762,26,36,41,49,51,58,57,59,92,82
0,0,1.99986,0.00035512,29.1276,34.0174,44.0377,51.742,58.2372,62.9472,59.5548,67.3409,103.489,92.1755,26,39,58,52,60,64,43,72,118,99
0,0,2.00006,0.000153009,13.3448,14.2677,15.9464,17.0935,17.987,18.6,18.1612,19.1486,23.0432,21.922,13,14,22,15,19,23,16,17,18,23
0,0,2.00005,0.000168835,14.1861,15.2723,17.2668,18.6423,19.7205,20.4633,19.9314,21.1304,25.9196,24.5316,11,9,18,25,19,22,20,15,18,21
0,0,2.00006,0.000264225,20.5068,23.0167,27.8912,31.446,34.3382,36.3838,34.9146,38.257,52.6695,48.3226,32,24,26,41,44,36,29,32,61,48
0,0,2.00023,0.000100518,10.8974,11.3868,12.2501,12.822,13.2585,13.5536,13.3427,13.8149,15.6016,15.0987,12,14,6,17,12,12,15,12,17,10
0,0,1.99991,0.000367216,30.5225,35.8355,46.801,55.2916,62.4836,67.7161,63.9459,72.6094,113.231,100.455,33,35,58,74,64,74,48,61,120,105
0,0,2.00006,2.76638e-05,8.22295,8.32296,8.49204,8.59937,8.67895,8.73169,8.69409,8.77771,9.0765,8.99501,1,9,7,11,7,8,5,13,7,8
0,0,1.99993,0.000168949,14.1906,15.2779,17.2746,18.6517,19.7312,20.4749,19.9423,21.1428,25.9385,24.5485,17,22,15,15,25,29,26,30,27,21
0,0,2.00011,0.000202145,16.1351,17.6253,20.4155,22.3778,23.936,25.0194,24.2427,25.999,33.2035,31.0859,22,23,18,19,19,23,28,30,35,26
0,0,1.99992,0.000298802,23.4342,26.703,33.1819,38.0028,41.9787,44.8175,42.7764,47.4355,68.0963,61.7759,21,19,34,28,51,31,38,55,64,57
0,0,1.99994,0.000197659,15.8551,17.2855,19.9567,21.8304,23.3156,24.3471,23.6078,25.2788,32.1089,30.1052,18,12,12,25,19,33,23,30,34,34
0,0,1.9999,0.000253897,19.7017,22.0135,26.476,29.7108,32.332,34.1807,32.8533,35.87,48.77,44.8958,21,23,27,26,37,41,23,37,41,44
0,0,2.00003,0.0002623,20.3545,22.8266,27.6222,31.1154,33.9554,35.9631,34.5212,37.8008,51.9204,47.6653,21,16,25,37,50,24,28,31,51,48
0,0,2.00009,9.41481e-05,10.6311,11.0776,11.8624,12.3804,12.7747,13.0408,12.8507,13.2762,14.8781,14.4284,12,8,12,14,10,19,18,15,15,12
0,0,1.99985,0.00026174,20.3068,22.7675,27.5394,31.0143,33.8388,35.8351,34.4014,37.6623,51.6952,47.4671,19,24,29,37,41,32,33,39,55,48
0,0,2.00007,0.000289601,22.6193,25.6709,31.6867,36.1391,39.7979,42.4037,40.5306,44.8023,63.6041,57.874,25,25,37,34,38,30,38,34,71,57
0,0,1.99977,0.000202658,16.1616,17.6582,20.4613,22.4332,23.9993,25.0885,24.3077,26.0733,33.3191,31.1889,11,12,21,25,19,17,16,25,31,32
0,0,1.9999,0.000212334,16.7792,18.4107,21.4838,23.6579,25.3913,26.5999,25.7332,27.6949,35.8081,33.4132,11,18,26,18,20,29,27,21,40,35
0,0,2.00008,0.000214613,16.9308,18.5955,21.7355,23.9599,25.7349,26.9733,26.0852,28.0959,36.4268,33.9654,15,25,18,31,37,31,31,31,48,23
0,0,1.99994,0.000397779,34.3488,40.87,54.5753,65.3772,74.6368,81.4303,76.5308,87.8232,142.115,124.831,39,46,39,67,78,77,74,92,139,126
0,0,2.00001,0.00026783,20.7934,23.3753,28.4001,32.0721,35.0639,37.1821,35.6606,39.1232,54.0976,49.5745,30,24,22,29,19,39,43,43,48,51
0,0,2.0001,0.000264513,20.5305,23.0463,27.933,31.4971,34.3973,36.4488,34.9753,38.3274,52.7849,48.4239,20,17,20,35,30,25,33,43,57,45
0,0,1.99989,0.00011558,11.5464,12.1446,13.2091,13.9207,14.467,14.8378,14.5727,15.1673,17.4439,16.7989,13,17,13,14,13,12,9,19,10,18
0,0,1.99987,0.000283531,22.0905,25.0044,30.7281,34.9494,38.41,40.8706,39.1022,43.1327,60.7856,55.419,21,20,27,32,36,34,41,61,82,51
0,0,1.99986,0.000222805,17.4713,19.2579,22.6442,25.0545,26.9841,28.3335,27.3656,29.5586,38.705,35.9934,21,23,22,25,28,28,25,25,41,41
0,0,1.99997,0.00014582,12.9782,13.8321,15.3791,16.4317,17.2492,17.809,17.4084,18.3093,21.8424,20.8283,10,20,18,18,19,13,21,17,20,24
0,0,1.99997,0.000182756,14.9686,16.2131,18.5169,20.1188,21.3812,22.2543,21.6288,23.0406,28.7429,27.0805,18,16,17,17,13,26,23,16,25,32
0,0,1.99989,0.000166314,14.0464,15.1053,17.0467,18.3837,19.4305,20.1513,19.6352,20.7982,25.4346,24.0923,21,17,18,28,19,19,21,28,21,24
0,0,2.00005,0.000284303,22.1606,25.0921,30.8533,35.104,38.5898,41.0689,39.2873,43.3484,61.1467,55.7341,25,20,29,37,31,43,46,40,61,57
0,0,2.00008,0.000336198,27.0804,31.3662,40.0507,46.655,52.1818,56.1688,53.2988,59.8738,89.9306,80.5951,27,47,44,43,56,59,56,56,84,81
0,0,1.99996,0.00029821,23.3815,26.636,33.0844,37.8809,41.8358,44.6592,42.6292,47.2626,67.7995,61.5185,31,44,33,41,46,36,48,52,70,57
0,0,1.99997,0.000188541,15.307,16.6216,19.0634,20.7671,22.1127,23.0449,22.3769,23.8854,30.0061,28.2173,10,17,27,23,19,32,22,27,32,35
0,0,2.00003,0.000228458,17.86,19.7351,23.3008,25.8474,27.8905,29.3214,28.2948,30.6222,40.3729,37.4753,16,20,26,25,24,22,25,27,40,32
0,0,2,0.000188897,15.3285,16.6475,19.0981,20.8082,22.1591,23.0951,22.4244,23.939,30.0865,28.2896,23,19,18,24,21,18,31,13,33,29
0,0,2.0001,0.000210271,16.6494,18.2518,21.2664,23.3967,25.0936,26.2762,25.4283,27.3472,35.2703,32.9336,17,16,19,19,29,24,28,29,31,31
0,0,2.00005,0.000138743,12.6292,13.4186,14.8427,15.8077,16.5551,17.0659,16.7005,17.5217,20.7246,19.8081,11,10,12,16,19,22,11,23,16,16
0,0,1.99999,9.40439e-05,10.6258,11.0716,11.855,12.3722,12.7658,13.0314,12.8416,13.2663,14.8652,14.4164,15,16,13,7,10,15,12,17,10,8
0,0,1.99997,0.000319077,25.3446,29.1368,36.7439,42.4715,47.2327,50.6513,48.1918,53.817,79.1759,71.3539,22,25,46,37,42,41,46,56,85,77
0,0,1.99992,0.000188699,15.3155,16.632,19.0775,20.7839,22.1318,23.0656,22.3965,23.9075,30.0397,28.2475,17,20,23,20,22,24,23,23,14,30
0,0,1.99991,0.000197992,15.8752,17.3099,19.9897,21.8698,23.3603,24.3955,23.6535,25.3307,32.1878,30.1758,23,26,22,23,33,35,25,21,25,35
0,0,1.99997,0.000157036,13.5528,14.5155,16.271,17.4734,18.4114,19.0556,18.5945,19.6328,23.7412,22.5564,17,15,18,24,16,23,17,18,21,21
0,0,2.00005,0.000271639,21.1025,23.7623,28.9503,32.75,35.8506,38.048,36.4694,40.0633,55.6534,50.937,16,29,22,25,43,45,36,46,66,52
0,0,2.00019,0.000198148,15.8892,17.3264,20.011,21.8947,23.3881,24.4253,23.6819,25.3624,32.2342,30.2178,13,22,23,27,25,26,22,22,38,36
0,0,2.00007,0.000219098,17.2264,18.9573,22.2307,24.5557,26.4143,27.7126,26.7814,28.8906,37.661,35.0648,13,23,18,26,27,20,27,22,36,39
0,0,1.99992,0.000242594,18.8603,20.9696,25.0141,27.9265,30.2762,31.9282,30.7425,33.4343,44.8409,41.4312,14,20,21,20,35,24,40,36,39,36
0,0,1.99995,0.000135998,12.4947,13.2598,14.6378,15.5701,16.2914,16.784,16.4316,17.2233,20.3041,19.4235,8,16,15,11,13,17,16,14,17,26
0,0,1.9999,0.00017986,14.801,16.0113,18.248,19.8006,21.0227,21.8673,21.2623,22.6275,28.1289,26.527,13,19,14,23,18,23,17,21,25,30
0,0,1.99997,5.0255e-05,8.97201,9.17123,9.5125,9.73203,9.89626,10.0058,9.92764,10.1018,10.7351,10.5607,12,10,10,9,12,12,12,10,9,10
0,0,2,0.000209954,16.6274,18.2252,21.2305,23.3538,25.045,26.2234,25.3785,27.2907,35.1839,32.8563,18,18,23,20,23,41,18,26,31,33
0,0,1.99996,0.000230495,17.9997,19.9072,23.5388,26.1356,28.2206,29.6817,28.6334,31.0104,40.9856,38.0188,9,23,21,35,32,29,30,35,37,28
0,0,1.9999,0.000303177,23.8331,27.2094,33.9189,38.9241,43.0591,46.0151,43.8894,48.7435,70.3454,63.7253,23,27,35,36,53,46,33,50,64,77
0,0,2.00021,0.000167578,14.1196,15.1924,17.1608,18.5173,19.58,20.3119,19.7878,20.9691,25.6827,24.3173,9,18,16,17,23,24,14,26,28,22
0,0,2.00003,0.000228705,17.8771,19.7562,23.3299,25.8825,27.9306,29.3652,28.336,30.6694,40.4472,37.5412,10,21,18,29,33,31,31,35,37,23
0,0,2.00015,0.000190489,15.4253,16.7643,19.2543,20.9936,22.3685,23.3213,22.6385,24.1809,30.449,28.6157,20,13,15,19,18,17,17,23,32,18
0,0,2.00001,0.000261861,20.3195,22.783,27.5606,31.0398,33.868,35.867,34.4314,37.6967,51.7499,47.5155,19,17,28,31,27,33,27,34,53,39
0,0,2.00015,0.000246637,19.1616,21.3423,25.5336,28.5589,31.0035,32.7241,31.489,34.2941,46.2196,42.6489,15,18,18,27,42,32,31,37,57,49
0,0,2.00005,0.000206791,16.4264,17.9799,20.8967,22.9536,24.5899,25.7291,24.9123,26.7601,34.3681,32.1276,6,22,22,25,23,17,24,32,39,33
0,0,1.99995,4.62552e-05,8.83423,9.01462,9.32291,9.52076,9.66855,9.76699,9.69676,9.8532,10.4204,10.2644,12,10,13,12,7,8,10,9,7,11
0,0,2.00011,0.000309557,24.4329,27.9721,35.0318,40.3179,44.6957,47.8309,45.576,50.7285,73.7773,66.6954,14,26,37,51,41,51,48,44,75,74
0,0,2.00008,0.000211475,16.7267,18.3462,21.3952,23.5511,25.2694,26.4673,25.6083,27.5524,35.5867,33.216,14,24,16,33,29,18,27,31,34,35
0,0,2.00008,0.000265098,20.5765,23.1038,28.0146,31.5976,34.5137,36.5768,35.095,38.4663,53.0137,48.6246,22,21,24,29,31,36,35,30,50,50
0,0,2.0002,0.000291939,22.8274,25.9336,32.0655,36.6099,40.3477,43.0116,41.0967,45.4648,64.7274,58.8512,20,29,41,43,40,44,53,52,56,58
0,0,1.99985,0.000227189,17.7694,19.6241,23.1484,25.6635,27.6804,29.0925,28.0795,30.3758,39.9866,37.1321,18,18,16,23,23,41,25,30,48,43
0,0,1.99977,0.0001589,13.6481,14.6295,16.421,17.6494,18.6085,19.2674,18.7957,19.858,24.0679,22.8528,15,20,16,21,22,15,16,28,21,17
0,0,2.00014,0.000337657,27.2351,31.5654,40.3479,47.0324,52.6295,56.6687,53.761,60.4235,90.9166,81.44,23,32,34,51,48,63,64,59,77,80
0,0,1.99996,0.000287025,22.3928,25.3852,31.2755,35.6284,39.2018,41.745,39.9171,44.0848,62.3906,56.8175,14,29,23,36,35,41,39,41,56,57
0,0,2.0002,0.000231118,18.0475,19.9655,23.6184,26.2313,28.3299,29.8007,28.7454,31.1385,41.1859,38.1968,18,26,17,34,27,34,47,25,39,26
0,0,2.00012,0.00027038,21.0015,23.6355,28.7695,32.527,35.5915,37.7626,36.2029,39.7532,55.1387,50.4866,20,23,28,25,38,30,43,44,55,48
0,0,2.00004,0.00029032,22.6814,25.7495,31.8004,36.2806,39.9632,42.5866,40.7009,45.0017,63.9427,58.1685,24,20,30,34,39,43,42,33,63,71
0,0,2.00009,0.000180677,14.8507,16.0708,18.3267,19.8933,21.1269,21.9797,21.3688,22.7473,28.3058,26.6867,13,18,23,20,21,19,24,16,20,30
0,0,1.99988,0.000200854,16.0511,17.5236,20.2787,22.2148,23.7514,24.8195,24.0539,25.785,32.8787,30.7948,13,25,19,26,21,24,29,20,31,30
0,0,1.99991,0.000169732,14.2333,15.3292,17.3424,18.7316,19.8209,20.5715,20.0339,21.2457,26.0894,24.6851,14,13,16,18,18,16,13,13,20,25
0,0,2.00009,0.000350612,28.6313,33.3721,43.0609,50.4909,56.7438,61.2724,58.0111,65.4932,100.102,89.2898,24,35,43,65,70,77,57,61,94,98
0,0,1.99999,0.000234077,18.2511,20.2169,23.9674,26.6547,28.8155,30.3311,29.2435,31.7106,42.0931,39.0005,16,13,25,34,29,25,22,29,33,38
0,0,2.00003,0.000257662,19.993,22.3758,26.9855,30.3342,33.0519,34.9706,33.5928,36.7252,50.1608,46.1195,18,20,23,29,32,33,30,40,49,55
0,0,2.00011,5.54105e-05,9.1537,9.37806,9.76355,10.0123,10.1987,10.3233,10.2344,10.4325,11.156,10.9563,7,7,13,11,6,16,3,12,8,16
0,0,1.99999,0.000189141,15.3427,16.6648,19.1213,20.8358,22.1903,23.1288,22.4563,23.9751,30.1407,28.3383,14,11,21,15,23,24,13,22,32,29
0,0,2.00011,0.000206441,16.4051,17.9539,20.8612,22.9109,24.5413,25.6763,24.8626,26.7034,34.2808,32.0497,19,23,19,23,18,30,22,19,36,32
0,0,2.00012,0.000176486,14.6126,15.7842,17.945,19.442,20.6189,21.4314,20.8494,22.1622,27.4382,25.9041,11,16,20,21,18,32,19,30,28,29
0,0,2.00003,0.000178848,14.7452,15.9439,18.1578,19.6936,20.9021,21.7371,21.139,22.4884,27.9218,26.3403,10,16,17,17,20,21,17,27,32,27
0,0,2.0001,0.000189716,15.3786,16.7079,19.1788,20.9039,22.2671,23.2117,22.5348,24.0637,30.2731,28.4575,15,21,12,19,20,31,21,28,27,29
0,0,1.99994,0.000114713,11.5084,12.1,13.1523,13.8554,14.3949,14.7612,14.4994,15.0864,17.3327,16.6965,8,7,8,9,14,15,18,18,24,13
