# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:39:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/bgiv5703.json
# init = 2 (Default)
# random
#   seed = 72026
# output
#   file = /home/lab5/output/code1-20230416093926_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,1.99989,0.000190845,15.4425,16.7857,19.2839,21.0292,22.409,23.3655,22.6801,24.2283,30.5219,28.6808,12,19,15,23,19,21,18,33,35,30
0,0,1.99999,7.45793e-05,9.85607,10.1826,10.7499,11.1201,11.3998,11.5875,11.4534,11.7528,12.8628,12.5538,10,7,8,11,12,13,13,12,11,9
0,0,1.99999,0.00017757,14.672,15.8558,18.0407,19.5553,20.7465,21.5692,20.9799,22.3093,27.6566,26.1011,16,20,16,24,31,21,21,16,34,29
0,0,2,0.000336877,27.1496,31.4556,40.1847,46.8255,52.3844,56.3952,53.508,60.1229,90.3791,80.9791,27,31,38,56,61,44,57,65,97,89
0,0,1.99991,0.000258183,20.0307,22.4231,27.0529,30.4172,33.148,35.0763,33.6916,36.8398,50.3491,46.2848,11,22,26,32,28,26,30,32,58,55
0,0,1.99998,0.000199068,15.9424,17.3914,20.0996,22.0008,23.5086,24.5562,23.8053,25.5027,32.4486,30.4097,16,17,18,28,16,38,20,13,33,34
0,0,2.00007,0.000335815,27.0402,31.3143,39.9733,46.5567,52.0653,56.0386,53.1785,59.7307,89.6741,80.3753,27,30,30,35,52,57,60,51,89,85
0,0,1.99986,6.45257e-05,9.47944,9.75054,10.2188,10.5226,10.7512,10.9042,10.795,11.0387,11.9351,11.6866,10,11,12,15,13,12,16,5,10,15
0,0,1.99999,0.000123081,11.8871,12.5439,13.7181,14.5065,15.1134,15.5263,15.2311,15.8937,18.4461,17.7206,11,16,11,18,10,14,21,14,23,12
0,0,2.00009,0.000237648,18.5066,20.5319,24.404,27.1843,29.423,30.9949,29.8669,32.4265,43.2298,40.0071,20,18,26,37,30,31,40,35,40,43
0,0,1.99989,0.000177651,14.6752,15.8598,18.0463,19.5621,20.7543,21.5777,20.9879,22.3184,27.6706,26.1136,15,12,16,11,20,26,20,18,30,26
0,0,2.00011,0.000153766,13.3846,14.3149,16.008,17.1655,18.0673,18.6861,18.2432,19.2401,23.1745,22.0414,10,13,21,9,15,18,17,26,18,28
0,0,2.00004,0.00021524,16.9711,18.6449,21.8031,24.0413,25.8277,27.0743,26.1803,28.2045,36.5953,34.1155,19,9,19,23,17,35,28,30,53,32
0,0,2,0.000197309,15.8347,17.2607,19.923,21.79,23.2698,24.2973,23.5608,25.2255,32.0276,30.0324,12,18,23,26,19,16,28,24,32,26
0,0,2.00011,0.00024478,19.0239,21.1717,25.2954,28.2686,30.6693,32.3583,31.1459,33.8987,45.5842,42.088,16,14,26,33,39,34,25,39,33,39
0,0,2.00006,0.000141957,12.7872,13.6055,15.0847,16.0889,16.8677,17.4003,17.0192,17.876,21.226,20.2661,10,11,12,21,14,15,14,14,22,18
0,0,2.00021,0.000129646,12.1951,12.906,14.1816,15.0413,15.7049,16.1572,15.8337,16.5602,19.3728,18.5711,11,17,18,11,22,16,18,20,26,11
0,0,1.99999,0.000182503,14.9543,16.1958,18.4937,20.0913,21.3502,22.2208,21.5971,23.0048,28.6895,27.0324,15,10,19,20,19,29,26,24,30,35
0,0,1.99994,0.000142575,12.8162,13.6401,15.1298,16.1415,16.9264,17.4632,17.0791,17.9428,21.3212,20.3529,11,23,15,17,14,20,12,7,21,19
0,0,2.00001,0.000164449,13.9471,14.9863,16.8894,18.1987,19.223,19.9279,19.4232,20.5604,25.087,23.7775,20,16,21,13,10,10,16,19,28,22
0,0,2.00001,0.000232569,18.1455,20.0866,23.7868,26.4358,28.5644,30.057,28.986,31.4149,41.6246,38.5854,15,15,27,21,32,25,28,35,43,45
