# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 09:39:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/bgiv5703.json
# init = 2 (Default)
# random
#   seed = 72026
# output
#   file = /home/lab5/output/code1-20230416093926_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,2,0.000179577,14.7864,15.9936,18.224,19.772,20.9904,21.8324,21.2292,22.5901,28.0728,26.4765,17,17,22,18,24,20,16,22,16,16
0,0,2.00007,0.000316963,25.1409,28.8759,36.3589,41.9862,46.6601,50.0141,47.6012,53.1186,77.9488,70.2965,28,25,43,51,46,43,54,54,77,75
0,0,2.00021,0.000256634,19.9173,22.2811,26.8513,30.1693,32.8609,34.7607,33.3965,36.4976,49.7881,45.7921,19,30,29,30,33,47,34,30,47,46
0,0,1.99995,0.000202851,16.1766,17.676,20.4848,22.4609,24.0306,25.1222,24.3396,26.1093,33.3728,31.2373,13,16,25,24,25,24,23,22,41,27
0,0,2.00013,6.62014e-05,9.54356,9.82369,10.308,10.6226,10.8593,11.0179,10.9047,11.1574,12.0879,11.8298,3,7,9,5,9,18,6,12,20,10
0,0,1.99994,3.1491e-05,8.34439,8.46001,8.65593,8.78057,8.87313,8.93454,8.89075,8.98816,9.33725,9.24188,9,9,4,9,5,8,10,9,10,10
0,0,2.00003,0.000257458,19.9772,22.3561,26.9578,30.3003,33.0127,34.9276,33.5525,36.6786,50.0848,46.0527,17,34,27,28,30,40,23,28,50,51
0,0,1.99984,4.51933e-05,8.79713,8.9726,9.2723,9.46451,9.60802,9.70359,9.63541,9.78727,10.3374,10.1862,8,6,16,4,10,16,5,12,9,7
0,0,2.00003,0.000279238,21.7307,24.551,30.0769,34.1421,37.4692,39.832,38.1341,42.0024,58.8861,53.7624,19,33,42,45,38,37,39,41,62,60
0,0,1.99991,0.000303596,23.8718,27.2586,33.9906,39.0139,43.1643,46.1318,43.9979,48.8711,70.5652,63.9157,17,22,35,50,31,47,49,50,64,72
