# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:09:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/o41z7_vj.json
# init = 2 (Default)
# random
#   seed = 91311
# output
#   file = /home/lab5/output/code1-20230416110938_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,2.00004,0.000174947,14.5249,15.6789,17.8054,19.2773,20.4337,21.2318,20.6602,21.9494,27.1242,25.6205,18,18,19,18,18,16,21,19,24,28
0,0,2.00009,0.000210962,16.6938,18.3059,21.3403,23.4852,25.1944,26.3857,25.5315,27.4648,35.4517,33.0955,14,15,21,20,21,20,24,29,31,22
0,0,1.99996,0.000180577,14.843,16.0618,18.315,19.8798,21.1119,21.9635,21.3534,22.7302,28.281,26.6642,11,18,18,15,24,31,19,25,28,29
0,0,1.99989,0.000164992,13.9748,15.0196,16.9337,18.2509,19.2817,19.9912,19.4832,20.6278,25.1858,23.8669,9,12,19,15,17,21,14,18,26,27
0,0,1.99993,0.000244723,19.0163,21.1627,25.2835,28.2547,30.6536,32.3413,31.1299,33.8806,45.5567,42.0634,20,16,25,28,28,26,26,44,52,48
0,0,1.99984,0.000226579,17.7275,19.5726,23.0774,25.5777,27.5822,28.9854,27.9788,30.2605,39.8054,36.9712,27,16,31,23,32,21,25,32,42,46
0,0,1.99988,0.000168006,14.1383,15.2154,17.192,18.5547,19.6223,20.3577,19.8311,21.018,25.756,24.3833,10,11,20,19,19,14,22,19,25,23
0,0,2.00012,0.000218935,17.2164,18.945,22.2136,24.535,26.3906,27.6867,26.7571,28.8627,37.6172,35.0259,13,21,20,28,27,17,30,35,38,34
0,0,2.00014,0.000262217,20.3501,22.8209,27.6136,31.1046,33.9427,35.9489,34.5081,37.7853,51.894,47.6423,26,19,29,31,23,37,38,32,50,63
0,0,2.00003,0.000282351,21.9935,24.8817,30.5512,34.7296,38.1534,40.587,38.8381,42.8239,60.2643,54.9648,22,25,26,39,53,42,37,46,53,47
0,0,1.9999,0.000291297,22.764,25.8543,31.9525,36.4704,40.1853,42.8325,40.9296,45.2699,64.3999,58.5657,33,26,30,45,44,51,44,51,63,50
0,0,2.00008,0.000106478,11.1496,11.6807,12.6208,13.2459,13.724,14.0478,13.8164,14.3349,16.306,15.7497,6,14,18,10,9,22,14,22,12,17
0,0,2.00006,0.000190164,15.4046,16.7395,19.2213,20.9545,22.3243,23.2737,22.5934,24.13,30.373,28.5472,15,11,23,19,18,22,19,21,35,24
0,0,2.00004,9.74354e-05,10.7665,11.2348,12.0595,12.6049,13.0206,13.3014,13.1008,13.5499,15.2454,14.7688,8,15,10,17,13,17,10,14,6,20
0,0,1.99992,0.000240645,18.7189,20.7946,24.7702,27.6298,29.9351,31.555,30.3924,33.0313,44.196,40.8613,8,23,29,20,34,33,39,33,36,45
0,0,2.0001,0.000266233,20.6674,23.2174,28.1755,31.7954,34.7429,36.8288,35.3306,38.7397,53.4639,49.0193,20,17,35,33,38,38,30,34,57,48
0,0,2.00008,0.000272277,21.1552,23.8282,29.0441,32.8657,35.9848,38.1958,36.6074,40.2238,55.9196,51.1699,30,39,20,34,39,44,32,37,48,68
0,0,1.99994,0.000151017,13.241,14.1443,15.7857,16.9059,17.7778,18.3756,17.9478,18.9105,22.7019,21.6113,16,21,15,23,16,19,19,21,16,21
0,0,2.00012,0.000192274,15.5316,16.893,19.4274,21.1994,22.6012,23.5732,22.8766,24.4503,30.8549,28.9802,16,10,26,31,21,26,20,28,35,25
0,0,2.00003,0.000245751,19.0939,21.2586,25.4172,28.4172,30.8405,32.5458,31.3217,34.1015,45.9108,42.3762,20,14,26,26,29,39,24,40,58,42
0,0,2.00004,0.000267342,20.7548,23.3269,28.3312,31.9873,34.9655,37.0738,35.5594,39.0056,53.9032,49.4042,15,22,26,29,32,42,35,36,53,50
0,0,2.00001,0.000182665,14.964,16.2075,18.5092,20.1097,21.3708,22.2431,21.6182,23.0286,28.7249,27.0643,10,14,16,22,22,21,24,28,23,23
0,0,1.99987,0.000217051,17.0873,18.7874,21.9987,24.2769,26.0965,27.3669,26.4558,28.5191,37.0848,34.5514,16,17,18,25,25,32,32,34,40,40
0,0,2,0.00024716,19.1974,21.387,25.5968,28.6364,31.093,32.8224,31.581,34.4005,46.3924,42.801,23,20,24,39,34,43,26,27,47,54
0,0,2.00002,0.000251838,19.5479,21.822,26.2064,29.3807,31.9509,33.7626,32.4619,35.4174,48.0348,44.2487,21,21,18,30,41,29,38,40,50,50
0,0,2,0.000136332,12.5115,13.2796,14.6632,15.5994,16.324,16.8187,16.4648,17.26,20.3556,19.4707,14,24,12,18,20,12,15,22,17,18
0,0,1.99991,0.000202405,16.1482,17.6416,20.4382,22.4053,23.9675,25.0538,24.2751,26.0361,33.2612,31.1374,16,15,11,20,21,33,18,37,29,53
0,0,1.99985,0.000144864,12.9288,13.7737,15.3035,16.3438,17.1515,17.7044,17.3088,18.1985,21.685,20.6848,8,18,16,11,19,23,15,20,17,28
0,0,2.00003,0.000304906,23.9959,27.416,34.2194,39.2999,43.4997,46.5036,44.3434,49.2772,71.2645,64.5215,20,32,29,33,55,41,42,46,80,60
0,0,1.99998,0.000212529,16.7932,18.4276,21.5066,23.6851,25.4221,26.6333,25.7648,27.7308,35.8629,33.4623,10,13,20,30,19,27,27,35,28,32
0,0,2.00022,0.000226959,17.7603,19.6121,23.1303,25.6408,27.6537,29.063,28.052,30.3436,39.9332,37.0852,14,19,24,28,19,36,35,23,30,47
0,0,1.99983,-4.44896e-06,7.26195,7.24784,7.22444,7.20986,7.19919,7.19217,7.19717,7.1861,7.14752,7.15789,6,2,6,9,10,11,6,11,7,7
0,0,1.99978,0.00018405,15.0408,16.3005,18.6342,20.2582,21.5386,22.4245,21.7898,23.2225,29.0153,27.3256,8,15,9,23,28,17,15,26,31,33
0,0,2.00031,0.000350859,28.6651,33.415,43.124,50.5706,56.8381,61.3776,58.1084,65.6087,100.308,89.4668,24,34,48,44,67,63,58,62,103,88
0,0,2.00005,0.000265769,20.6293,23.1698,28.1083,31.7129,34.6475,36.7239,35.2325,38.626,53.277,48.8554,23,27,25,38,37,25,24,36,41,56
0,0,2.0002,0.000225437,17.6558,19.4837,22.9536,25.4272,27.4096,28.7967,27.8016,30.057,39.4831,36.6855,16,13,17,19,31,30,27,30,36,51
0,0,2.00002,0.000173006,14.416,15.5482,17.6321,19.0728,20.2039,20.9841,20.4253,21.6853,26.735,25.2689,16,15,27,23,18,11,18,18,32,27
0,0,1.99994,0.000104819,11.0768,11.596,12.5142,13.1241,13.5903,13.9059,13.6803,14.1856,16.1038,15.5628,18,12,13,14,12,12,11,16,24,11
0,0,2.00012,0.00024371,18.9456,21.0747,25.1599,28.1035,30.4794,32.1503,30.951,33.6741,45.2235,41.7695,18,21,27,37,37,30,28,40,48,30
0,0,1.99998,0.000242898,18.8836,20.9982,25.0538,27.9747,30.3315,31.9886,30.7992,33.4995,44.9449,41.5233,22,13,27,33,31,30,26,35,53,54
0,0,1.99983,0.00032867,26.2978,30.3596,38.5539,44.7581,49.9349,53.6617,50.9797,57.1196,85.0159,76.3778,32,23,41,36,57,56,59,52,80,80
0,0,2.00004,0.000296586,23.2372,26.4528,32.8181,37.5484,41.4461,44.2274,42.2278,46.7913,66.9914,60.8175,28,26,41,35,29,46,41,53,70,66
0,0,1.99997,0.000201967,16.1218,17.6094,20.3944,22.3528,23.9079,24.9891,24.214,25.9666,33.1549,31.0423,6,16,24,17,26,23,20,29,28,20
0,0,2.00014,0.00014477,12.9279,13.7722,15.3008,16.3402,17.1472,17.6996,17.3044,18.1932,21.6763,20.6771,12,15,12,14,18,16,19,13,24,15
0,0,2.00014,0.000257286,19.9661,22.342,26.9374,30.2751,32.9833,34.8951,33.5223,36.6433,50.0262,46.0014,23,22,32,27,45,38,30,39,57,36
0,0,2.00007,0.0002675,20.7681,23.3435,28.3546,32.0159,34.9987,37.1103,35.5935,39.0452,53.9681,49.4612,19,24,28,39,34,33,36,41,58,36
0,0,2.00005,9.53049e-05,10.6783,11.1324,11.9311,12.4586,12.8604,13.1316,12.9378,13.3716,15.006,14.5469,12,17,9,13,15,17,15,10,13,12
0,0,1.99999,0.000311104,24.5765,28.1555,35.3012,40.6565,45.0943,48.2737,45.9868,51.2132,74.6219,67.4248,27,28,31,30,44,46,50,45,79,78
0,0,2.00005,0.0002878,22.4618,25.4722,31.4003,35.7832,39.3822,41.9443,40.1028,44.3018,62.7565,57.1363,28,33,28,32,48,39,44,50,59,67
0,0,1.99992,0.000303752,23.8866,27.2773,34.0178,39.0478,43.2042,46.1759,44.0389,48.9193,70.6482,63.9876,21,29,34,46,43,47,39,34,73,56
0,0,2.00007,0.000140129,12.6973,13.4991,14.9468,15.9286,16.6895,17.2096,16.8375,17.674,20.9397,20.0047,8,13,16,15,15,21,17,21,18,17
0,0,2.00015,0.000125759,12.0126,12.6913,13.9063,14.7234,15.3531,15.7818,15.4752,16.1634,18.82,18.064,3,16,16,16,14,16,21,19,14,21
0,0,1.99997,0.00024532,19.061,21.218,25.3606,28.3484,30.7614,32.4593,31.2406,34.0081,45.7611,42.2439,21,18,20,24,41,41,27,41,47,48
0,0,1.99997,0.000106546,11.1513,11.6828,12.6237,13.2494,13.7279,14.052,13.8203,14.3393,16.3124,15.7556,12,15,14,18,11,11,18,19,24,14
0,0,1.99999,0.000174298,14.4878,15.6344,17.7465,19.2079,20.3557,21.1477,20.5805,21.8598,26.9923,25.5013,13,14,22,26,13,17,23,25,28,26
