# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:09:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/o41z7_vj.json
# init = 2 (Default)
# random
#   seed = 91311
# output
#   file = /home/lab5/output/code1-20230416110938_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,1.99991,0.000188088,15.2791,16.5881,19.0187,20.7141,22.053,22.9804,22.3159,23.8164,29.9031,28.1246,16,17,17,32,15,27,23,34,27,24
0,0,1.99991,0.000242341,18.8417,20.9466,24.9821,27.8876,30.2314,31.8792,30.6965,33.3814,44.7563,41.3564,13,19,22,25,30,28,37,39,46,49
0,0,1.99991,0.000350115,28.5714,33.2949,42.9458,50.3446,56.57,61.0782,57.8317,65.2794,99.7149,88.9592,36,33,39,59,56,60,78,87,102,83
0,0,1.99994,0.000132049,12.3055,13.0365,14.35,15.2366,15.9216,16.3887,16.0546,16.8051,19.7166,18.8859,12,9,14,18,16,14,20,13,13,20
0,0,1.9999,0.000213295,16.8416,18.4869,21.5878,23.7829,25.5335,26.7545,25.8789,27.8611,36.0648,33.6422,19,18,24,21,22,27,25,28,27,36
0,0,2.00006,9.01048e-05,10.466,10.8863,11.6233,12.1086,12.4775,12.7261,12.5485,12.9459,14.4371,14.0192,9,13,18,15,8,15,13,14,13,10
0,0,2.00003,0.00011483,11.5146,12.1071,13.1613,13.8656,14.4061,14.7729,14.5107,15.0988,17.3494,16.712,20,14,11,17,12,16,12,13,22,13
0,0,1.99995,0.000220414,17.3122,19.0627,22.3757,24.7307,26.6141,27.9303,26.9863,29.1248,38.0268,35.3903,21,22,23,22,23,30,31,28,39,45
0,0,1.99994,5.65161e-05,9.1913,9.42113,9.81628,10.0714,10.2627,10.3906,10.2994,10.5027,11.2461,11.0408,7,7,11,14,15,11,15,10,18,16
0,0,2.00014,0.000114278,11.4914,12.0798,13.1263,13.8253,14.3615,14.7255,14.4653,15.0487,17.2803,16.6484,12,5,22,7,8,16,12,15,16,15
0,0,2.00003,0.000184354,15.0622,16.3259,18.6673,20.297,21.582,22.4712,21.8342,23.2723,29.0882,27.3915,12,17,21,18,21,17,20,24,37,28
0,0,2.00006,0.000151034,13.2435,14.1471,15.789,16.9096,17.7818,18.3798,17.9518,18.9149,22.7076,21.6167,12,15,11,23,16,11,14,11,26,23
0,0,2.00003,2.06942e-05,8.00421,8.07693,8.19936,8.27676,8.33399,8.37185,8.34486,8.40483,8.61794,8.56,9,5,9,4,8,8,4,9,7,5
0,0,2.00003,0.00010544,11.1044,11.6281,12.5545,13.1701,13.6407,13.9594,13.7316,14.2418,16.1799,15.6331,12,9,11,16,13,11,18,14,13,17
0,0,2.00016,0.000267719,20.7875,23.3675,28.3883,32.0572,35.0464,37.1626,35.6425,39.1018,54.0608,49.5426,18,31,35,23,36,41,34,50,62,36
0,0,1.99996,5.98646e-05,9.31119,9.55799,9.98316,10.2582,10.4648,10.6029,10.5043,10.7241,11.5298,11.307,8,8,15,13,15,12,17,12,14,7
0,0,1.99979,0.000386049,32.8221,38.8538,51.4424,61.2969,69.7058,75.8554,71.4219,81.6284,130.229,114.829,32,36,51,54,68,68,76,82,116,106
0,0,2.00001,0.000144566,12.916,13.7583,15.283,16.3197,17.1246,17.6754,17.2813,18.1677,21.6405,20.6443,15,9,13,15,11,14,15,13,18,20
0,0,1.99997,0.000221469,17.3832,19.1496,22.495,24.8744,26.7782,28.109,27.1544,29.317,38.3267,35.657,13,16,24,24,17,28,21,36,49,33
