# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:10:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/2m6_nr5b.json
# init = 2 (Default)
# random
#   seed = 15636
# output
#   file = /home/lab5/output/code1-20230416111039_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,2.00009,0.000195622,15.7332,17.1374,19.7564,21.5913,23.0446,24.0533,23.3304,24.9642,31.6312,29.677,18,15,19,23,16,20,22,26,37,32
0,0,1.99998,0.000272688,21.1866,23.8679,29.1012,32.9364,36.0672,38.2867,36.6922,40.3226,56.0848,51.3143,18,29,34,39,35,41,37,40,44,39
0,0,2.0001,0.000184737,15.0855,16.3539,18.7046,20.3411,21.6317,22.5248,21.8849,23.3294,29.1731,27.4681,18,17,18,24,22,27,21,25,26,22
0,0,1.99996,0.000160536,13.7373,14.7356,16.5598,17.8118,18.7899,19.4622,18.9809,20.065,24.3669,23.1244,6,17,23,15,18,34,17,22,24,23
0,0,1.99983,0.000299764,23.5193,26.8111,33.3396,38.2001,42.2101,45.0741,43.0148,47.7158,68.5783,62.1937,23,28,34,38,46,36,40,56,66,61
0,0,1.99998,0.000232306,18.1266,20.0634,23.7548,26.397,28.5201,30.0086,28.9406,31.3628,41.5423,38.5124,14,17,19,26,37,30,17,27,28,44
0,0,2.00007,0.000157913,13.6002,14.5719,16.3446,17.5594,18.5075,19.1587,18.6925,19.7423,23.899,22.6998,14,16,13,21,22,15,18,23,25,19
0,0,1.99996,0.00030512,24.0141,27.4394,34.254,39.3434,43.551,46.5606,44.3963,49.3396,71.3732,64.6154,24,23,27,43,40,45,43,39,56,71
0,0,2.00003,0.000192919,15.5689,16.9383,19.4886,21.2725,22.684,23.6629,22.9614,24.5463,31.0002,29.1106,16,21,18,17,19,23,17,26,26,30
0,0,2.00006,0.000156993,13.5519,14.5143,16.2691,17.471,18.4087,19.0526,18.5917,19.6295,23.736,22.5518,10,11,15,16,16,18,15,18,23,27
0,0,2.0001,0.000215905,17.0158,18.6994,21.8774,24.1304,25.9292,27.1847,26.2843,28.323,36.7788,34.2791,14,19,25,22,19,25,24,32,35,28
0,0,2.00011,0.000200518,16.034,17.5024,20.2492,22.1791,23.7106,24.775,24.0121,25.7372,32.8044,30.7286,16,22,19,16,18,29,21,30,33,34
0,0,1.99989,0.000346721,28.1985,32.8117,42.2182,49.4155,55.4633,59.8387,56.6881,63.9135,97.2283,86.8369,30,29,40,50,50,63,60,59,98,83
0,0,1.99988,0.00036315,30.0459,35.2132,45.8526,54.0712,61.0218,66.073,62.434,70.7929,109.856,97.5908,30,31,55,44,57,69,69,68,109,97
0,0,1.99987,0.000127787,12.1037,12.7988,14.0448,14.8837,15.5308,15.9715,15.6563,16.3641,19.1004,18.3211,10,11,18,14,16,12,22,20,13,16
0,0,2.00005,0.00027806,21.6325,24.4275,29.9,33.9231,37.2142,39.5508,37.8718,41.6965,58.3739,53.3152,20,24,33,24,32,35,34,30,54,54
0,0,2.00006,0.000174773,14.5154,15.6674,17.7901,19.2592,20.4134,21.2098,20.6394,21.926,27.0896,25.5892,7,14,21,28,19,16,13,21,19,21
0,0,1.99994,0.000340884,27.5714,32.0003,40.9998,47.8623,53.6157,57.7715,54.7796,61.6371,93.1054,83.313,28,17,40,45,53,56,60,61,84,79
0,0,2.0001,2.25012e-05,8.06087,8.14052,8.27478,8.35975,8.42262,8.46423,8.43457,8.50049,8.73511,8.67127,12,15,9,4,6,13,8,5,11,3
0,0,2.00015,0.000158785,13.6472,14.6278,16.4177,17.645,18.603,19.2613,18.7901,19.8513,24.0563,22.8428,18,13,15,22,22,20,19,25,31,18
0,0,1.99993,0.000179809,14.7986,16.0083,18.2438,19.7956,21.0171,21.8612,21.2566,22.621,28.1191,26.5182,14,17,13,18,27,21,23,10,30,35
0,0,2.00018,0.000234962,18.3171,20.2978,24.0788,26.7894,28.9696,30.4993,29.4016,31.8917,42.3789,39.254,14,15,28,31,26,34,29,28,42,26
0,0,2.00001,0.000225496,17.6565,19.485,22.956,25.4307,27.4138,28.8016,27.806,30.0623,39.493,36.6939,16,11,29,24,22,26,32,37,56,41
0,0,1.99999,0.000224348,17.578,19.3886,22.8234,25.2706,27.2308,28.6022,27.6185,29.8477,39.1566,36.395,19,22,30,28,31,29,28,34,39,35
0,0,2.00002,0.000227964,17.8258,19.6931,23.2428,25.7773,27.8103,29.2339,28.2125,30.5279,40.2246,37.3436,19,18,23,28,41,23,39,32,43,43
0,0,2.00012,0.000260702,20.2309,22.6722,27.4035,30.8466,33.6442,35.621,34.2014,37.4299,51.3117,47.1309,23,28,27,28,46,41,32,36,50,45
