# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:10:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/2m6_nr5b.json
# init = 2 (Default)
# random
#   seed = 15636
# output
#   file = /home/lab5/output/code1-20230416111039_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,1.99997,0.000156125,13.5053,14.4589,16.1968,17.3865,18.3143,18.9513,18.4953,19.5219,23.5811,22.411,12,11,18,17,15,29,21,24,20,32
0,0,2.00019,0.000207537,16.4761,18.0402,20.9782,23.0509,24.7003,25.8488,25.0253,26.8885,34.5642,32.303,7,17,27,19,22,19,18,29,30,28
0,0,2.0001,0.000264493,20.529,23.0444,27.9302,31.4938,34.3934,36.4445,34.9713,38.3227,52.7772,48.4172,24,19,30,31,43,29,38,37,48,56
0,0,2.00008,0.000187393,15.2409,16.5415,18.9557,20.639,21.968,22.8883,22.2289,23.7179,29.7543,27.9911,9,13,12,30,18,22,26,22,37,29
0,0,2.00016,0.000263575,20.4575,22.9549,27.8031,31.3374,34.2122,36.2451,34.7851,38.1065,52.4211,48.1049,20,17,28,37,40,33,34,34,44,48
0,0,2.00022,0.000116755,11.6028,12.2101,13.2918,14.0154,14.571,14.9484,14.6786,15.2837,17.6029,16.9455,13,9,15,12,13,16,11,10,14,20
0,0,1.99999,0.000198828,15.9278,17.3737,20.0756,21.972,23.4761,24.5209,23.772,25.4649,32.3911,30.3582,14,27,18,23,24,21,23,25,36,28
0,0,1.99981,0.000190071,15.3953,16.7286,19.2075,20.9386,22.3068,23.2549,22.5755,24.11,30.3445,28.5213,13,23,11,20,24,26,25,27,25,29
0,0,1.99994,0.000280747,21.8559,24.7087,30.3034,34.4228,37.7962,40.1929,38.4706,42.3951,59.5453,54.3375,27,21,38,37,35,42,45,42,52,60
0,0,1.99998,0.00028571,22.2797,25.2425,31.07,35.3732,38.9039,41.4159,39.6105,43.7263,61.785,56.2901,23,17,41,32,41,39,36,44,62,55
