# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:11:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/eiq5ownd.json
# init = 2 (Default)
# random
#   seed = 71972
# output
#   file = /home/lab5/output/code1-20230416111117_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,1.99997,0.000225152,17.6323,19.4554,22.9154,25.3817,27.3579,28.7407,27.7487,29.9968,39.3905,36.6028,10,19,32,36,33,28,38,28,31,34
0,0,2.00006,0.000128768,12.152,12.8554,14.117,14.9669,15.6226,16.0694,15.7498,16.4674,19.2439,18.4528,8,8,18,15,22,15,16,14,23,20
0,0,2.00003,0.000143824,12.8793,13.7147,15.2264,16.2538,17.0512,17.5968,17.2064,18.0843,21.5219,20.5361,15,16,22,19,17,16,14,13,31,19
0,0,1.9997,0.000335248,26.9711,31.2265,39.8449,46.3952,51.8749,55.8268,52.9821,59.4985,89.2643,80.0227,33,30,45,68,50,46,62,57,86,83
0,0,1.99996,0.000150097,13.1943,14.0887,15.7131,16.8212,17.6833,18.2742,17.8513,18.8029,22.5476,21.4708,10,14,11,15,21,13,23,13,24,18
0,0,1.99996,0.000108357,11.2295,11.774,12.739,13.3814,13.873,14.2062,13.9681,14.5017,16.5333,15.9595,13,12,18,17,9,19,21,10,19,16
0,0,1.99998,5.70792e-05,9.21173,9.44439,9.84455,10.103,10.2969,10.4264,10.334,10.5401,11.2938,11.0856,8,9,11,7,8,12,17,13,12,17
0,0,1.99994,0.000179837,14.8004,16.0105,18.2467,19.799,21.0209,21.8653,21.2604,22.6253,28.1254,26.5239,14,17,20,19,25,17,17,33,24,19
0,0,2.00005,9.47001e-05,10.6533,11.1035,11.8948,12.4174,12.8152,13.0838,12.8919,13.3213,14.9387,14.4845,13,11,11,15,12,13,18,17,12,16
0,0,1.99991,0.000133894,12.3931,13.1399,14.4832,15.3909,16.0927,16.5716,16.229,16.9985,19.9881,19.1344,13,13,15,9,22,21,14,16,25,24
