# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:11:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/eiq5ownd.json
# init = 2 (Default)
# random
#   seed = 71972
# output
#   file = /home/lab5/output/code1-20230416111117_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,2.00001,0.000281835,21.9493,24.8262,30.4715,34.6308,38.0384,40.4602,38.7198,42.6858,60.0326,54.7627,19,25,26,39,34,38,44,31,58,51
0,0,2.00004,0.000212717,16.8064,18.4436,21.5282,23.7109,25.4514,26.6651,25.7948,27.7649,35.9152,33.509,20,25,25,24,24,36,34,26,35,34
0,0,2.0001,0.000188312,15.2954,16.6073,19.0439,20.7437,22.0861,23.016,22.3497,23.8544,29.9589,28.175,18,17,21,17,21,24,24,31,25,37
0,0,1.99971,0.000148058,13.0875,13.9622,15.549,16.6301,17.4705,18.0463,17.6343,18.5612,22.2029,21.1567,18,15,23,21,23,17,19,22,23,26
0,0,2.00002,0.000286747,22.3702,25.3565,31.2338,35.5765,39.141,41.6778,39.8545,44.0115,62.266,56.7091,24,22,30,33,34,37,42,33,54,62
0,0,1.99986,0.0002086,16.5383,18.1167,21.0834,23.1777,24.845,26.0063,25.1736,27.0577,34.8265,32.5369,15,18,29,23,21,27,20,28,35,39
0,0,1.99983,0.000341804,27.6663,32.1233,41.1849,48.0985,53.8969,58.0861,55.07,61.9836,93.7332,83.8496,35,39,33,45,57,48,50,60,89,96
0,0,1.99987,0.000179658,14.7891,15.997,18.2289,19.7781,20.9974,21.8401,21.2365,22.5984,28.0859,26.4882,13,19,16,17,25,26,25,17,29,27
0,0,2.00003,0.000199375,15.962,17.4151,20.1315,22.0387,23.5516,24.6027,23.8493,25.5526,32.5241,30.4774,13,27,18,28,18,16,31,26,41,36
0,0,2.00015,0.000243194,18.9085,21.0287,25.0955,28.0251,30.3891,32.0515,30.8583,33.5672,45.0519,41.618,32,19,31,29,47,24,35,30,48,40
0,0,2.00012,0.000197085,15.8229,17.2461,19.9029,21.7659,23.2422,24.2674,23.5326,25.1933,31.9781,29.9882,9,15,27,21,25,23,24,36,43,21
0,0,2.0001,6.29536e-05,9.42432,9.68719,10.1408,10.4349,10.6559,10.8039,10.6983,10.9339,11.7993,11.5596,9,10,8,5,12,12,8,12,8,16
0,0,1.99998,2.98358e-05,8.29152,8.40033,8.58453,8.70161,8.78849,8.8461,8.80503,8.89639,9.22343,9.13416,7,4,8,13,11,11,11,10,8,8
0,0,2.00005,0.000286077,22.313,25.2843,31.1297,35.4471,38.99,41.5109,39.6991,43.8297,61.9584,56.4414,26,26,35,38,38,33,51,39,48,52
0,0,2.00006,0.000234732,18.2987,20.2754,24.0482,26.7525,28.9275,30.4535,29.3585,31.8424,42.3016,39.1853,22,17,21,30,22,36,19,36,36,53
0,0,1.99994,0.000297355,23.304,26.5378,32.9419,37.7032,41.6276,44.4287,42.4148,47.011,67.3688,61.1447,16,33,29,35,43,59,42,39,54,55
0,0,2,0.000246864,19.1755,21.3598,25.5588,28.59,31.0396,32.7639,31.5261,34.3373,46.2905,42.7111,11,21,25,38,23,29,30,28,40,36
0,0,1.99994,0.00042648,38.3759,46.238,63.0453,76.5141,88.1899,96.8237,90.5915,104.996,175.908,153.075,30,29,65,77,85,113,89,86,155,142
0,0,2.00005,0.00022666,17.7368,19.5836,23.0918,25.5946,27.6012,29.0058,27.9981,30.2823,39.838,37.0004,7,27,21,26,33,39,31,28,38,41
0,0,1.9999,0.000128742,12.1488,12.8519,14.1129,14.9623,15.6177,16.0643,15.7449,16.4621,19.2371,18.4464,10,14,14,14,14,10,17,16,15,12
0,0,2.00002,0.000171132,14.312,15.4234,17.4667,18.8779,19.985,20.7482,20.2016,21.4339,26.3652,24.9345,14,18,17,12,12,25,24,27,23,34
0,0,1.9999,0.000196012,15.7539,17.1629,19.7914,21.6334,23.0926,24.1054,23.3795,25.0201,31.717,29.7537,11,15,26,28,26,21,19,18,40,24
0,0,2.00008,0.000405077,35.3356,42.1785,56.6222,68.0543,77.8821,85.1069,79.8953,91.9158,150.057,131.494,30,40,53,82,75,91,90,113,147,119
0,0,1.99988,0.000134298,12.4121,13.1624,14.5123,15.4247,16.1302,16.6116,16.2672,17.0409,20.0478,19.189,12,14,18,21,17,22,25,8,18,18
0,0,2.00006,0.000228298,17.8494,19.722,23.2827,25.8254,27.8652,29.2938,28.2689,30.5925,40.3259,37.4336,22,18,15,23,22,33,26,31,41,30
0,0,2.00006,0.000154536,13.4238,14.3616,16.0692,17.2371,18.1474,18.772,18.3249,19.3314,23.3062,22.1611,13,16,15,21,22,19,21,18,28,35
0,0,2,8.40846e-05,10.2248,10.6075,11.2762,11.7149,12.0476,12.2715,12.1116,12.4691,13.8046,13.4313,8,6,12,12,12,15,13,15,21,10
0,0,1.99997,0.000126321,12.0366,12.7197,13.9431,14.7661,15.4005,15.8325,15.5236,16.2171,18.8953,18.133,9,10,17,13,23,13,15,14,26,24
0,0,2.0001,0.000165743,14.0183,15.0713,17.0013,18.33,19.3701,20.0861,19.5734,20.7287,25.332,23.9995,15,5,16,13,17,23,28,24,30,31
0,0,1.99997,0.000188913,15.3288,16.648,19.0989,20.8092,22.1604,23.0964,22.4257,23.9405,30.0889,28.2917,10,8,15,24,30,19,29,22,32,27
0,0,1.99994,0.000202935,16.1817,17.6823,20.4933,22.4711,24.0421,25.1347,24.3515,26.1228,33.3934,31.2557,19,15,14,19,27,32,22,33,38,41
0,0,1.99988,0.000252273,19.5781,21.8599,26.2603,29.4469,32.0275,33.8468,32.5406,35.5086,48.184,44.3798,12,20,27,28,39,36,34,35,50,34
