# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:12:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/qcz3xphu.json
# init = 2 (Default)
# random
#   seed = 39725
# output
#   file = /home/lab5/output/code1-20230416111236_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,1.99995,0.000273787,21.2761,23.9802,29.2615,33.1344,36.2973,38.5402,36.9288,40.5981,56.5432,51.7151,20,24,33,23,39,49,37,37,49,46
0,0,1.99985,0.0003031,23.8247,27.199,33.904,38.9057,43.0376,45.9913,43.8673,48.7177,70.3015,63.6871,29,31,34,33,51,36,35,42,73,80
0,0,2.00002,0.000178924,14.7493,15.9489,18.1644,19.7015,20.9111,21.7467,21.1481,22.4987,27.9371,26.3542,15,28,30,16,23,29,29,20,24,22
0,0,2.00004,0.000155092,13.4525,14.3959,16.1141,17.2896,18.206,18.835,18.3847,19.3982,23.4025,22.2487,14,11,13,17,14,20,28,21,17,28
0,0,1.99989,0.000192296,15.5294,16.8908,19.4251,21.1972,22.599,23.571,22.8744,24.4481,30.853,28.9782,8,8,23,26,30,30,23,22,33,35
0,0,2.00017,0.000214446,16.9212,18.5837,21.7189,23.9398,25.7119,26.9482,26.0616,28.0689,36.3844,33.9277,16,22,20,32,30,30,32,19,43,25
0,0,2.00004,0.000256985,19.9409,22.3109,26.894,30.2222,32.9224,34.8283,33.4597,36.5711,49.9094,45.8985,19,22,39,22,21,24,42,36,59,64
0,0,2.00006,0.000106014,11.1294,11.6572,12.5911,13.212,13.6867,14.0082,13.7784,14.2932,16.2495,15.6975,12,7,13,16,16,17,12,15,15,11
0,0,2.00019,0.000286084,22.3167,25.2886,31.1351,35.4534,38.997,41.5184,39.7062,43.8376,61.9703,56.452,13,30,32,43,43,50,28,42,59,63
0,0,2.00013,0.000108308,11.2293,11.7736,12.7381,13.3802,13.8715,14.2045,13.9665,14.4998,16.5302,15.9568,12,15,13,12,15,12,12,20,13,15
