# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code1_model
# start_datetime = 2023-04-16 11:12:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/qcz3xphu.json
# init = 2 (Default)
# random
#   seed = 39725
# output
#   file = /home/lab5/output/code1-20230416111236_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,1.99997,0.000270595,21.0159,23.654,28.7965,32.5606,35.6309,37.8062,36.2435,39.8007,55.2189,50.5565,18,14,29,32,41,39,42,42,51,50
0,0,1.99983,0.000168106,14.1431,15.2212,17.1998,18.5639,19.6327,20.369,19.8418,21.0301,25.7739,24.3994,8,20,16,16,18,18,16,23,28,26
0,0,1.99994,0.000276836,21.528,24.2964,29.7131,33.6924,36.9461,39.2553,37.5961,41.3753,57.8386,52.8473,25,33,31,32,28,40,53,44,66,56
0,0,2.00003,0.00020963,16.6071,18.2003,21.1965,23.313,24.9985,26.1729,25.3308,27.2364,35.1002,32.7816,21,20,23,26,31,26,20,29,27,33
0,0,2.00008,0.000261219,20.2705,22.7217,27.4736,30.9328,33.7441,35.7307,34.304,37.5489,51.507,47.3024,16,19,24,35,24,41,31,33,44,43
0,0,2.00008,9.72227e-05,10.7581,11.225,12.0471,12.5907,13.005,13.2849,13.0849,13.5326,15.222,14.7471,7,6,10,15,10,16,10,22,12,13
0,0,2.00017,0.000115446,11.5436,12.141,13.2039,13.9144,14.4598,14.83,14.5653,15.1589,17.4315,16.7876,17,10,14,14,30,13,15,16,11,13
0,0,1.99997,0.000234646,18.291,20.2661,24.0357,26.7375,28.9105,30.435,29.3411,31.8226,42.2708,39.1579,17,13,29,30,25,37,32,32,47,34
0,0,1.99992,0.000198197,15.8879,17.3253,20.0105,21.8946,23.3884,24.4259,23.6822,25.3633,32.2372,30.2201,15,17,23,18,34,28,27,28,32,27
0,0,2,-0.000105754,4.91095,4.68915,4.34215,4.13859,3.99539,3.90391,3.96885,3.82625,3.36667,3.48476,5,3,4,4,0,5,2,3,1,2
0,0,2.00008,0.000149739,13.1777,14.0688,15.6868,16.7903,17.6488,18.2371,17.816,18.7634,22.4905,21.419,16,12,16,12,13,19,21,24,21,22
0,0,2.0001,0.000196427,15.7824,17.197,19.8368,21.6871,23.153,24.1708,23.4413,25.0899,31.8215,29.8477,11,18,14,26,24,20,18,23,31,30
0,0,2.00013,0.000109236,11.2696,11.8206,12.7977,13.4483,13.9465,14.2842,14.0428,14.5838,16.6446,16.0623,15,13,17,19,10,14,16,9,17,14
0,0,2.00014,0.000161379,13.7845,14.7917,16.633,17.8974,18.8855,19.5649,19.0785,20.1741,24.5244,23.2675,11,13,18,14,8,16,21,25,25,19
0,0,2.00006,0.000353892,28.9956,33.8451,43.7755,51.4053,57.8346,62.4952,59.1385,66.8418,102.569,91.393,25,30,48,49,78,56,59,60,89,84
0,0,1.99986,0.000292419,22.862,25.9783,32.132,36.6939,40.4467,43.1217,41.1987,45.5853,64.9366,59.0322,20,31,34,37,38,43,42,46,71,55
0,0,2.00004,0.00021092,16.6902,18.3017,21.3347,23.4787,25.187,26.3777,25.5239,27.4563,35.4388,33.084,13,22,20,30,23,20,28,30,33,38
0,0,2.00005,0.0001981,15.8839,17.3203,20.0033,21.8857,23.3782,24.4147,23.6717,25.3512,32.218,30.2031,17,12,33,26,16,24,26,35,37,35
0,0,1.99995,0.000110153,11.3075,11.8651,12.8544,13.5136,14.0185,14.3607,14.1161,14.6645,16.7553,16.1643,14,9,9,9,17,11,19,14,10,21
0,0,1.99995,0.000205412,16.3374,17.8718,20.7503,22.7785,24.3911,25.5134,24.7088,26.5288,34.0143,31.8111,19,13,17,14,26,28,19,23,33,27
