# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:04:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/17toygqy.json
# init = 2 (Default)
# random
#   seed = 78303
# output
#   file = /home/lab5/output/code2-20230416100439_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 1.65018e-13
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.05447e-05
-2.79457e+17,1,1.65018e-13,5,31,0,2.80209e+17,1.44522,0.00518694,2.13638e+09,2.06107e+10,8.94903e+11,9.4294e+12,5.3042e+13,1.65178e+14,7.35424e+13,4.42546e+14,2.3533e+17,4.33821e+16,0,0,0,0,0,0,0,0,0,0
-2.79454e+17,1,1.65018e-13,1,1,0,2.79457e+17,1.44522,0.00518694,2.13637e+09,2.06105e+10,8.94897e+11,9.42933e+12,5.30416e+13,1.65177e+14,7.35418e+13,4.42542e+14,2.35328e+17,4.33816e+16,0,0,0,0,0,0,0,0,0,0
-2.79451e+17,1,1.65018e-13,1,1,0,2.79454e+17,1.44522,0.00518694,2.13636e+09,2.06104e+10,8.9489e+11,9.42925e+12,5.30411e+13,1.65175e+14,7.35412e+13,4.42538e+14,2.35325e+17,4.33812e+16,0,0,0,0,0,0,0,0,0,0
-2.79404e+17,1,1.65018e-13,3,7,0,2.79451e+17,1.44522,0.00518692,2.13617e+09,2.06084e+10,8.94788e+11,9.42808e+12,5.30341e+13,1.65153e+14,7.35313e+13,4.42476e+14,2.35286e+17,4.33742e+16,0,0,0,0,0,0,0,0,0,0
-2.79393e+17,1,1.65018e-13,2,3,0,2.79404e+17,1.44522,0.00518691,2.13612e+09,2.06079e+10,8.94763e+11,9.42779e+12,5.30324e+13,1.65147e+14,7.35289e+13,4.4246e+14,2.35276e+17,4.33725e+16,0,0,0,0,0,0,0,0,0,0
-2.7939e+17,1,1.65018e-13,1,1,0,2.79393e+17,1.44522,0.00518691,2.13611e+09,2.06078e+10,8.94756e+11,9.42771e+12,5.3032e+13,1.65146e+14,7.35283e+13,4.42456e+14,2.35273e+17,4.3372e+16,0,0,0,0,0,0,0,0,0,0
