# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:04:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/17toygqy.json
# init = 2 (Default)
# random
#   seed = 78303
# output
#   file = /home/lab5/output/code2-20230416100439_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 5.53709e-06
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.08369e-05
-97053.6,1,5.53709e-06,5,31,0,97054.3,1.45842,0.000378472,18.5499,21.8862,28.8181,34.2207,38.8172,42.1716,39.7538,45.3159,71.6368,63.3217,25,23,28,31,38,46,36,46,73,69
-97019.2,1,5.53709e-06,8,255,0,97055.4,1.45843,0.000346318,16.3832,19.0601,24.5171,28.6915,32.1986,34.7357,32.9088,37.0981,56.408,50.3859,19,22,20,32,30,44,26,37,48,51
-97018.5,0.999999,5.53709e-06,6,95,0,97019.8,1.45843,0.000345506,16.3319,18.9937,24.4173,28.5641,32.047,34.566,32.7522,36.9112,56.0687,50.0961,13,25,20,35,27,37,26,38,64,41
-97007.8,1,5.53709e-06,9,511,0,97018.8,1.45844,0.000330449,15.4091,17.803,22.6373,26.3015,29.3609,31.5645,29.9786,33.6098,50.132,45.0122,24,13,25,31,30,29,35,43,48,53
-97005.7,1,5.53709e-06,8,255,0,97008,1.45844,0.000327669,15.2445,17.5914,22.3232,25.9038,28.8902,31.0395,29.4928,33.0334,49.1068,44.1317,21,18,23,21,24,24,38,33,55,55
-97003.2,1,5.53709e-06,7,255,0,97006.1,1.45844,0.000323784,15.0175,17.3001,21.8916,25.3581,28.2451,30.3206,28.8271,32.2445,47.7093,42.93,16,15,17,30,11,23,31,28,52,44
-96998.6,1,5.53709e-06,8,255,0,97003.8,1.45844,0.000310764,14.2808,16.3581,20.5046,23.6115,26.1858,28.03,26.7036,29.7349,43.3083,39.1357,17,11,14,13,28,30,21,29,44,28
-96995.8,1,5.53709e-06,8,255,0,96998.9,1.45844,0.000302465,13.8303,15.7846,19.6667,22.5616,24.9524,26.6612,25.4324,28.2382,40.7175,36.8942,20,14,19,16,17,31,27,26,36,33
-96987.5,1,5.53709e-06,10,1023,0,96996.9,1.45846,0.000249496,11.2713,12.5697,15.0695,16.8768,18.3389,19.3688,18.6294,20.3091,27.4662,25.3207,8,8,19,28,16,15,23,22,29,23
-96987.5,1,5.53709e-06,7,127,0,96987.6,1.45846,0.000249835,11.2861,12.588,15.0952,16.9082,18.3751,19.4085,18.6666,20.352,27.5356,25.3818,12,19,15,16,19,27,18,23,25,16
-96982.6,0.999999,5.53709e-06,10,1023,0,96988.7,1.45846,0.000290019,13.1814,14.9624,18.4744,21.0743,23.2111,24.7332,23.6391,26.1343,37.1206,33.7718,16,12,24,23,21,19,23,26,31,38
-96980.7,1,5.53709e-06,8,511,0,96983.5,1.45847,0.000286582,13.0076,14.743,18.1581,20.6811,22.752,24.2257,23.1665,25.5814,36.1845,32.957,17,8,16,23,17,29,20,25,33,31
-96980.9,1,5.53709e-06,7,127,0,96980.9,1.45847,0.000286561,13.0065,14.7417,18.1561,20.6787,22.7492,24.2226,23.1637,25.5781,36.1788,32.9521,17,15,24,20,28,28,14,27,41,26
-96981,0.999998,5.53709e-06,9,511,0,96982.5,1.45847,0.000292608,13.3139,15.13,18.7165,21.3756,23.5633,25.1227,24.0017,26.5589,37.8421,34.3991,16,20,17,16,25,24,21,19,25,32
-96980.8,1,5.53709e-06,8,255,0,96981.2,1.45847,0.000290492,13.2056,14.993,18.5186,21.1292,23.2753,24.8041,23.7051,26.2116,37.2517,33.8859,16,18,14,16,26,24,34,24,45,36
-96973.8,0.999999,5.53709e-06,10,1023,0,96983,1.45848,0.000293583,13.3644,15.1939,18.8088,21.4905,23.6976,25.2713,24.14,26.721,38.118,34.6389,9,23,22,32,23,24,14,29,36,39
-96976.2,0.999999,5.53709e-06,9,511,0,96977.5,1.45848,0.000289294,13.1447,14.9161,18.4075,20.9911,23.1139,24.6256,23.539,26.0171,36.9217,33.5988,19,12,21,12,17,23,23,24,37,31
-96974.8,1,5.53709e-06,9,511,0,96976.6,1.45848,0.000280361,12.6989,14.354,17.5992,19.9881,21.9441,23.3337,22.3351,24.6103,34.5498,31.5321,11,13,14,16,22,25,28,31,36,31
-96974.9,1,5.53709e-06,6,63,0,96974.9,1.45848,0.000280205,12.6912,14.3444,17.5854,19.9711,21.9242,23.3118,22.3147,24.5865,34.5099,31.4972,16,12,13,18,27,24,19,22,40,28
-96972.4,1,5.53709e-06,10,1023,0,96975.4,1.45849,0.00028522,12.9396,14.6572,18.0345,20.5277,22.573,24.0279,22.9823,25.366,35.8206,32.6401,10,14,25,23,30,27,30,29,39,26
-96970.4,1,5.53709e-06,9,511,0,96972.6,1.45849,0.000277078,12.539,14.153,17.3113,19.6319,21.5294,22.8763,21.9086,24.1129,33.7173,30.8052,14,13,10,12,23,12,37,24,21,30
-96966.2,0.999999,5.53709e-06,9,511,0,96971,1.4585,0.000287465,13.0525,14.7996,18.2395,20.7822,22.8699,24.356,23.2879,25.7233,36.424,33.1656,16,13,25,20,24,28,24,25,37,33
-96962.3,1,5.53709e-06,9,511,0,96966.6,1.45851,0.000287646,13.0617,14.8113,18.2562,20.803,22.8942,24.3828,23.3129,25.7525,36.4734,33.2086,18,14,23,26,28,22,17,20,38,35
-96961.5,0.999999,5.53709e-06,9,511,0,96962.8,1.45851,0.000291116,13.238,15.034,18.5775,21.2025,23.3608,24.8987,23.7932,26.3147,37.4265,34.0379,12,19,23,26,19,19,22,28,33,29
