# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:06:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/8walc1ce.json
# init = 2 (Default)
# random
#   seed = 44886
# output
#   file = /home/lab5/output/code2-20230416100655_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00324595
# Diagonal elements of inverse mass matrix:
# 1.12257e-05, 9.90109e-06
503.391,0.931298,0.00324595,7,131,0,-502.789,1.89958,0.000213345,15.237,16.726,19.5322,21.5187,23.1031,24.2081,23.4157,25.2096,32.6346,30.442,18,20,28,26,24,28,25,29,29,19
503.661,0.998488,0.00324595,6,99,0,-503.282,1.89993,0.00020126,14.5472,15.8846,18.3874,20.1466,21.5431,22.5139,21.818,23.3915,29.8414,27.9463,7,15,23,19,27,22,23,26,26,35
503.127,0.953568,0.00324595,7,171,0,-502.362,1.89957,0.000194293,14.1558,15.4102,17.7481,19.3848,20.6805,21.5794,20.9352,22.3909,28.3251,26.5867,11,16,24,16,21,21,26,24,30,23
500.875,0.800333,0.00324595,6,119,0,-499.229,1.90059,0.000179113,13.3632,14.4512,16.461,17.8555,18.9529,19.7111,19.1679,20.3934,25.3287,23.8921,4,7,13,12,19,23,16,26,23,32
500.875,0.9407,0.00324595,1,1,0,-500.14,1.90059,0.000179113,13.3632,14.4512,16.461,17.8555,18.9529,19.7111,19.1679,20.3934,25.3287,23.8921,12,14,16,30,17,15,22,23,29,32
502.584,0.981794,0.00324595,2,7,0,-500.804,1.90058,0.00022075,15.6949,17.2844,20.2933,22.4325,24.1437,25.3395,24.4818,26.4249,34.5158,32.1191,17,17,26,17,35,21,29,28,32,30
502.966,1,0.00324595,1,1,0,-502.608,1.90058,0.000217502,15.4992,17.0447,19.9646,22.0367,23.692,24.8478,24.0189,25.8962,33.6924,31.3861,9,17,15,27,31,26,25,24,43,27
502.911,0.886469,0.00324595,5,43,0,-501.465,1.90045,0.000218622,15.5644,17.1248,20.0748,22.1696,23.8437,25.0131,24.1744,26.074,33.9698,31.633,14,12,18,29,20,28,27,19,21,33
501.838,0.963337,0.00324595,6,103,0,-500.948,1.90111,0.00022281,15.8288,17.4475,20.5155,22.6993,24.4476,25.6701,24.7932,26.7801,35.067,32.6102,11,17,18,21,33,23,16,34,38,29
501.95,0.989155,0.00324595,3,7,0,-501.469,1.90111,0.000222095,15.785,17.3938,20.4417,22.6104,24.346,25.5594,24.689,26.661,34.8808,32.4446,16,17,23,21,33,23,31,25,36,34
501.639,0.987486,0.00324595,6,79,0,-500.488,1.90146,0.000189004,13.8958,15.0922,17.3152,18.8666,20.0922,20.9413,20.3329,21.707,27.2848,25.6544,16,11,24,24,17,28,26,21,25,24
502.908,0.997754,0.00324595,6,79,0,-501.362,1.9009,0.000194904,14.2081,15.4713,17.8264,19.4757,20.7816,21.6879,21.0384,22.5061,28.4918,26.7378,11,20,23,14,20,22,17,22,27,20
503.101,1,0.00324595,1,1,0,-502.931,1.9009,0.000197552,14.3542,15.6485,18.0653,19.7604,21.1041,22.0372,21.3684,22.8801,29.0583,27.2459,13,13,21,15,15,22,24,20,35,31
503.044,0.997319,0.00324595,3,11,0,-502.969,1.90091,0.000213758,15.2817,16.778,19.5989,21.5962,23.1895,24.3009,23.5039,25.3082,32.7785,30.5721,17,22,28,20,30,21,26,25,26,36
503.16,0.977508,0.00324595,7,131,0,-502.61,1.89978,0.000217002,15.457,16.9945,19.8987,21.9589,23.6044,24.7532,23.9293,25.7952,33.5407,31.2499,16,20,18,22,25,25,25,36,34,34
503.16,0.827826,0.00324595,1,1,0,-502.514,1.89978,0.000217002,15.457,16.9945,19.8987,21.9589,23.6044,24.7532,23.9293,25.7952,33.5407,31.2499,15,17,22,23,30,28,32,30,34,17
502.807,0.739055,0.00324595,2,3,0,-500.601,1.89979,0.000190468,13.9512,15.1621,17.4139,18.9868,20.2301,21.0917,20.4743,21.869,27.5372,25.8793,10,21,14,17,13,20,22,17,32,30
502.798,0.996171,0.00324595,7,159,0,-501.462,1.90128,0.000211131,15.133,16.5957,19.3489,21.2954,22.8465,23.9277,23.1524,24.907,32.1566,30.0178,13,12,16,23,29,21,22,24,24,30
500.764,0.813036,0.00324595,5,55,0,-499.739,1.90149,0.000226258,16.047,17.7148,20.882,23.1411,24.952,26.2195,25.3102,27.3713,35.9909,33.4317,22,16,8,22,23,25,23,17,27,45
500.29,0.973628,0.00324595,2,3,0,-500.09,1.90151,0.000180812,13.4635,14.5705,16.6174,18.039,19.1585,19.9324,19.378,20.6291,25.6741,24.2045,12,8,16,21,20,29,23,23,21,21
500.371,0.997098,0.00324595,6,75,0,-498.298,1.90243,0.000194352,14.1995,15.4582,17.8042,19.4465,20.7467,21.6488,21.0023,22.4632,28.4186,26.6739,19,14,20,11,26,23,20,20,27,27
500.564,0.955082,0.00324595,4,31,0,-499.254,1.90253,0.000203001,14.6835,16.0456,18.5973,20.3927,21.8189,22.8108,22.0998,23.7078,30.3088,28.3679,11,21,25,33,16,29,21,25,39,29
500.457,1,0.00324595,4,19,0,-500.45,1.90257,0.000202999,14.684,16.0461,18.5979,20.3933,21.8195,22.8115,22.1004,23.7085,30.3095,28.3686,14,17,18,21,14,22,21,38,31,25
500.377,0.877923,0.00324595,3,11,0,-499.351,1.90259,0.000201831,14.6182,15.966,18.4894,20.2636,21.6723,22.6517,21.9497,23.5373,30.0481,28.1347,13,14,17,31,27,27,22,21,36,23
499.729,0.999733,0.00324595,5,55,0,-499.358,1.90284,0.000202583,14.6643,16.0217,18.564,20.3524,21.7727,22.7604,22.0524,23.6536,30.2241,28.2925,17,9,15,12,26,18,21,18,24,24
499.875,0.925218,0.00324595,4,19,0,-499.002,1.90277,0.000209389,15.0539,16.4964,19.2087,21.1244,22.6499,23.7127,22.9506,24.6751,31.7901,29.6925,11,16,16,16,16,22,28,18,39,31
499.513,0.965982,0.00324595,3,15,0,-499.313,1.90279,0.000195536,14.2699,15.5429,17.9171,19.5804,20.8978,21.8121,21.1568,22.6377,28.6805,26.9093,15,12,19,28,23,19,13,25,24,25
