# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:06:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/8walc1ce.json
# init = 2 (Default)
# random
#   seed = 44886
# output
#   file = /home/lab5/output/code2-20230416100655_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00332191
# Diagonal elements of inverse mass matrix:
# 1.07474e-05, 9.90111e-06
502.45,0.893346,0.00332191,2,7,0,-502.019,1.9013,0.000194498,14.1915,15.4504,17.7971,19.4401,20.7409,21.6434,20.9966,22.4582,28.4173,26.6714,19,15,25,18,24,16,15,22,23,31
503.329,0.990332,0.00332191,6,119,0,-500.802,1.90086,0.000201684,14.5846,15.9284,18.4437,20.2123,21.6164,22.5925,21.8928,23.4751,29.9634,28.0567,20,26,11,17,16,19,19,32,28,30
503.109,0.60044,0.00332191,2,3,0,-499.366,1.90087,0.000197277,14.3386,15.6295,18.0398,19.7301,21.0698,22,21.3333,22.8403,28.9981,27.1919,10,18,15,17,24,14,24,32,28,27
503.326,0.894924,0.00332191,2,7,0,-501.845,1.90089,0.000208098,14.9509,16.3743,19.0487,20.9361,22.4383,23.4846,22.7344,24.4317,31.4274,29.3661,20,11,21,20,20,24,18,24,33,30
502.949,0.99231,0.00332191,6,107,0,-502.552,1.90121,0.000201134,14.5588,15.8964,18.3993,20.1586,21.555,22.5257,21.8299,23.4032,29.8517,27.9572,14,17,14,24,27,17,15,18,21,29
502.909,0.958946,0.00332191,2,3,0,-502.529,1.9012,0.000210842,15.115,16.5738,19.3194,21.2601,22.8064,23.8842,23.1113,24.8604,32.0852,29.9539,12,20,12,15,20,20,21,18,36,27
503.45,0.997456,0.00332191,6,107,0,-502.441,1.90078,0.00020516,14.7805,16.1669,18.7673,20.5993,22.0558,23.0694,22.3427,23.9864,30.7451,28.756,17,17,25,13,22,34,20,28,32,30
