# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/wpkq61od.json
# init = 2 (Default)
# random
#   seed = 2224
# output
#   file = /home/lab5/output/code2-20230416104041_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.000619321
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07306e-05
-3.78522e+06,0.998863,0.000619321,2,3,0,3.78531e+06,-0.851596,0.000641268,5.08158,6.72517,10.7194,14.342,17.7563,20.4335,18.4883,23.0812,50.1466,40.6865,4,10,6,14,23,9,26,26,39,42
-3.78487e+06,0.986004,0.000619321,4,15,0,3.78522e+06,-0.85147,0.000640507,5.06731,6.70405,10.6799,14.2841,17.6801,20.3425,18.4081,22.975,49.87,40.4722,7,10,18,14,16,23,22,27,48,49
-3.78486e+06,0.987842,0.000619321,2,3,0,3.78487e+06,-0.851465,0.000635301,4.96643,6.55566,10.404,13.8824,17.153,19.7135,17.8535,22.2427,47.9772,39.0022,6,6,10,10,15,18,13,22,39,29
-3.78473e+06,0.999892,0.000619321,4,15,0,3.78486e+06,-0.851419,0.000635525,4.97097,6.56229,10.4162,13.9001,17.1762,19.7412,17.8779,22.2748,48.0595,39.0663,1,7,13,15,14,26,19,15,62,48
-3.78472e+06,0.998896,0.000619321,1,1,0,3.78473e+06,-0.851414,0.000636494,4.98962,6.5897,10.4671,13.9741,17.2733,19.8569,17.98,22.4095,48.4069,39.3362,1,7,13,18,17,21,19,21,50,44
-3.78471e+06,0.996527,0.000619321,1,1,0,3.78472e+06,-0.85141,0.000638563,5.02969,6.64862,10.5766,14.1336,17.4824,20.1064,18.2,22.7,49.1573,39.9191,2,6,15,12,19,28,19,26,37,41
-3.7847e+06,0.997523,0.000619321,2,3,0,3.78471e+06,-0.851406,0.000634713,4.95547,6.53951,10.374,13.8386,17.0956,19.645,17.793,22.1628,47.771,38.842,6,4,8,5,17,17,21,25,46,36
-3.78468e+06,0.999809,0.000619321,2,3,0,3.7847e+06,-0.851401,0.000635122,4.96333,6.55105,10.3954,13.8697,17.1363,19.6936,17.8359,22.2194,47.9167,38.9553,6,7,3,15,13,15,15,20,44,44
-3.78467e+06,0.997152,0.000619321,1,1,0,3.78468e+06,-0.851398,0.000637444,5.00807,6.61681,10.5174,14.0474,17.3693,19.9715,18.081,22.5429,48.751,39.6036,2,6,14,16,17,22,17,27,47,46
-3.78466e+06,1,0.000619321,1,1,0,3.78467e+06,-0.851393,0.000636087,4.9819,6.57833,10.446,13.9433,17.2328,19.8087,17.9374,22.3533,48.2618,39.2235,5,6,6,14,17,18,16,25,55,40
