# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/wpkq61od.json
# init = 2 (Default)
# random
#   seed = 2224
# output
#   file = /home/lab5/output/code2-20230416104041_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00304412
# Diagonal elements of inverse mass matrix:
# 0.00103874, 9.90113e-06
503.713,0.997756,0.00304412,4,23,0,-502.849,1.89984,0.000207031,14.8737,16.2821,18.9268,20.7921,22.2761,23.3093,22.5685,24.2444,31.1463,29.1135,18,26,14,31,28,23,18,25,33,24
503.67,0.998874,0.00304412,3,15,0,-503.624,1.89967,0.000207051,14.8725,16.2809,18.9257,20.791,22.2751,23.3084,22.5675,24.2436,31.146,29.113,11,20,14,20,17,32,22,28,32,31
502.844,0.966836,0.00304412,4,23,0,-502.379,1.90135,0.000206715,14.8781,16.2846,18.9254,20.7875,22.2688,23.3001,22.5607,24.2334,31.1202,29.0922,12,15,19,16,23,32,14,24,30,25
503.434,0.996652,0.00304412,3,15,0,-502.001,1.90076,0.000202735,14.6425,15.9989,18.5396,20.327,21.7467,22.734,22.0263,23.6268,30.1955,28.2643,12,20,10,23,22,29,21,22,28,24
503.02,0.824364,0.00304412,3,7,0,-501.751,1.90095,0.000197045,14.3269,15.6152,18.0203,19.7067,21.0431,21.9711,21.306,22.8092,28.9506,27.1494,13,18,23,22,20,25,14,22,27,29
503.376,0.999133,0.00304412,4,25,0,-501.48,1.89924,0.000209528,15.009,16.4482,19.1546,21.0661,22.5885,23.6491,22.8886,24.6096,31.7111,29.6173,11,23,22,21,25,29,24,26,27,36
503.579,0.999968,0.00304412,3,15,0,-503.184,1.89954,0.000202224,14.5957,15.9443,18.4695,20.2454,21.6557,22.6363,21.9334,23.523,30.0442,28.1274,9,19,15,24,13,28,20,19,22,24
503.412,0.999879,0.00304412,4,27,0,-502.947,1.90078,0.000208162,14.953,16.377,19.0528,20.9412,22.4443,23.4912,22.7406,24.4389,31.439,29.3763,17,16,14,27,22,31,25,25,34,28
503.247,0.822753,0.00304412,2,3,0,-501.672,1.9009,0.000210306,15.0792,16.5307,19.2616,21.1913,22.7286,23.7999,23.0317,24.7701,31.948,29.831,16,24,16,19,20,29,30,25,37,34
503.414,0.998178,0.00304412,3,15,0,-502.901,1.90063,0.000199653,14.4674,15.7863,18.2523,19.984,21.3578,22.3124,21.6282,23.1751,29.5079,27.6485,14,16,15,18,20,23,18,35,33,25
502.327,0.860152,0.00304412,3,7,0,-502.035,1.90059,0.000187693,13.8135,14.9943,17.1865,18.7152,19.9222,20.7582,20.1592,21.5118,26.9966,25.3943,14,22,28,25,26,22,25,14,35,22
503.129,0.993487,0.00304412,3,15,0,-501.637,1.90011,0.000217486,15.491,17.0355,19.9536,22.0243,23.6786,24.8337,24.0052,25.8813,33.6724,31.3677,13,17,23,16,31,15,29,22,46,23
502.671,0.999916,0.00304412,4,19,0,-502.505,1.90098,0.000193098,14.1105,15.3529,17.6667,19.2854,20.5663,21.4546,20.818,22.2564,28.1143,26.399,14,15,16,16,23,17,20,25,22,25
502.193,0.9673,0.00304412,3,7,0,-502.124,1.90102,0.000189136,13.8967,15.0941,17.319,18.8719,20.0987,20.9487,20.3396,21.7152,27.2995,25.6671,13,13,18,23,20,21,26,11,31,24
502.347,0.972076,0.00304412,2,3,0,-501.663,1.90113,0.000218899,15.5916,17.1568,20.1163,22.2182,23.8982,25.0718,24.2301,26.1366,34.0627,31.7166,17,14,19,25,12,20,24,30,36,34
501.055,0.994778,0.00304412,3,11,0,-500.425,1.90199,0.000218362,15.5728,17.132,20.0795,22.1721,23.8444,25.0123,24.1746,26.0719,33.9563,31.6232,15,9,22,26,19,25,19,19,35,29
501.08,0.992123,0.00304412,3,7,0,-500.909,1.90198,0.000218363,15.5727,17.1319,20.0794,22.172,23.8443,25.0123,24.1746,26.0718,33.9563,31.6231,27,14,26,14,20,23,30,27,29,31
502.777,1,0.00304412,4,31,0,-500.981,1.90074,0.000192206,14.0586,15.2905,17.5836,19.1869,20.4551,21.3345,20.7043,22.128,27.9219,26.226,12,22,16,18,25,18,30,21,32,22
501.313,0.800835,0.00304412,2,3,0,-499.456,1.90103,0.00022646,16.0522,17.722,20.8936,23.156,24.9698,26.2394,25.3286,27.393,36.0283,33.4643,11,21,18,21,23,19,25,33,29,32
501.825,0.999917,0.00304412,4,23,0,-500.34,1.89997,0.00022663,16.0458,17.7162,20.8894,23.1532,24.9681,26.2386,25.3272,27.3931,36.0359,33.4695,10,23,19,20,22,28,23,33,35,27
503.132,0.910443,0.00304412,3,15,0,-499.428,1.89964,0.000216858,15.4462,16.9815,19.8814,21.9383,23.5812,24.7281,23.9056,25.7683,33.4999,31.2134,20,13,11,22,19,22,28,26,27,32
500.714,0.980595,0.00304412,4,27,0,-499.456,1.89792,0.000219869,15.6001,17.1733,20.15,22.2652,23.9565,25.1383,24.2906,26.2107,34.1994,31.8338,22,20,20,18,19,32,32,20,43,34
500.419,0.936959,0.00304412,2,3,0,-499.978,1.89794,0.000188703,13.8308,15.0197,17.2282,18.7693,19.9866,20.8298,20.2256,21.5902,27.1281,25.5095,6,10,11,22,22,15,25,20,31,22
501.087,0.99546,0.00304412,2,5,0,-500.216,1.89783,0.000213776,15.2358,16.7277,19.5403,21.5319,23.1205,24.2287,23.434,25.2331,32.682,30.4819,11,17,14,26,30,28,15,27,29,25
500.565,0.988662,0.00304412,3,11,0,-499.302,1.89766,0.000215736,15.349,16.8665,19.7305,21.7608,23.3817,24.5129,23.7016,25.5385,33.1562,30.9044,24,21,18,25,29,35,20,23,29,41
501.17,0.996978,0.00304412,2,7,0,-500.371,1.89783,0.000199394,14.4123,15.7245,18.1774,19.8997,21.2658,22.215,21.5346,23.0728,29.3684,27.5201,12,17,20,19,23,36,16,19,23,25
501.174,0.954423,0.00304412,1,3,0,-500.661,1.8978,0.000210808,15.0616,16.515,19.2503,21.1838,22.7243,23.798,23.0281,24.7705,31.9679,29.8448,16,11,16,22,31,26,29,19,39,18
501.419,0.955995,0.00304412,2,5,0,-500.7,1.89802,0.000196764,14.2695,15.5508,17.9422,19.6188,20.9473,21.8697,21.2086,22.7028,28.8057,27.0159,17,13,23,19,22,30,18,16,32,30
500.936,0.924305,0.00304412,2,3,0,-500.493,1.898,0.000191967,14.0072,15.2329,17.5143,19.1092,20.3707,21.2454,20.6186,22.0346,27.796,26.1098,15,13,22,24,14,17,20,14,35,30
501.337,1,0.00304412,1,1,0,-500.981,1.89802,0.000195695,14.2106,15.4794,17.846,19.5041,20.8174,21.729,21.0757,22.5521,28.5775,26.8113,17,16,20,22,19,29,22,15,16,27
503.289,0.995683,0.00304412,4,23,0,-496.999,1.8993,0.000212432,15.1792,16.6558,19.4373,21.4053,22.9744,24.0684,23.2839,25.0598,32.4048,30.2366,14,18,22,18,15,23,30,24,28,31
503.72,0.891531,0.00304412,4,25,0,-501.591,1.89982,0.000205392,14.7797,16.1676,18.7713,20.6059,22.0646,23.0797,22.3519,23.9982,30.7688,28.7761,13,15,22,18,25,23,30,40,22,32
503.453,0.977211,0.00304412,4,19,0,-503.124,1.90071,0.000201951,14.5974,15.9442,18.4657,20.2388,21.6466,22.6255,21.9238,23.5105,30.0183,28.1057,8,13,20,27,22,16,24,18,27,28
503.494,0.983158,0.00304412,2,7,0,-503.252,1.90067,0.000208275,14.9578,16.3831,19.0614,20.9518,22.4565,23.5045,22.7531,24.4533,31.4619,29.3966,7,20,13,19,27,20,27,21,35,23
503.506,0.978875,0.00304412,4,31,0,-502.993,1.90042,0.000199349,14.4473,15.7623,18.2205,19.9464,21.3155,22.2667,21.5849,23.1262,29.4349,27.5828,11,15,16,18,24,22,17,22,24,23
502.241,0.84802,0.00304412,2,3,0,-501.724,1.90056,0.000186979,13.7751,14.948,17.1245,18.6416,19.8392,20.6685,20.0743,21.4159,26.8531,25.2651,22,15,20,12,18,15,18,25,28,25
502.277,0.989504,0.00304412,4,23,0,-501.391,1.89964,0.000186828,13.7544,14.9244,17.0957,18.609,19.8035,20.6306,20.038,21.376,26.7982,25.2147,20,18,11,23,21,19,22,14,23,23
502.006,0.997512,0.00304412,3,11,0,-500.792,1.89873,0.0001906,13.9436,15.1548,17.4071,18.9805,20.2243,21.0863,20.4686,21.8639,27.5352,25.8763,14,16,13,27,19,15,16,18,32,28
502.718,1,0.00304412,2,3,0,-502.058,1.89869,0.000211528,15.117,16.581,19.3374,21.2865,22.84,23.9229,23.1464,24.904,32.1682,30.0247,15,14,17,19,18,26,21,22,32,38
503.079,0.999995,0.00304412,5,63,0,-502.643,1.90109,0.000209701,15.0469,16.4909,19.2067,21.1252,22.6531,23.7177,22.9543,24.6817,31.8107,29.7087,16,14,15,24,20,13,24,22,24,19
