# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:42:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/yvy7vqyh.json
# init = 2 (Default)
# random
#   seed = 45430
# output
#   file = /home/lab5/output/code2-20230416104223_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00321359
# Diagonal elements of inverse mass matrix:
# 1.07168e-05, 9.90111e-06
499.936,0.677437,0.00321359,2,3,0,-498.185,1.90054,0.000174616,13.1324,14.1737,16.0922,17.4199,18.4628,19.1825,18.667,19.8296,24.4948,23.1394,11,15,15,18,17,20,26,15,21,23
501.113,0.976687,0.00321359,2,7,0,-499.279,1.90057,0.000229353,16.2251,17.9356,21.19,23.5154,25.3817,26.6892,25.7511,27.8779,36.7946,34.1439,17,19,24,19,23,25,23,34,35,37
501.851,0.973214,0.00321359,2,3,0,-500.282,1.90055,0.000184376,13.6371,14.7813,16.9016,18.3773,19.5409,20.3461,19.7692,21.0715,26.3381,24.8016,12,15,6,14,15,16,19,29,26,28
502.366,0.995603,0.00321359,6,91,0,-501.282,1.9002,0.000223322,15.8456,17.4699,20.5495,22.7422,24.498,25.7259,24.8451,26.841,35.1684,32.699,15,20,11,26,19,23,25,25,31,39
502.348,1,0.00321359,2,7,0,-502.227,1.90018,0.000186831,13.762,14.9327,17.1052,18.6194,19.8146,20.6421,20.0492,21.388,26.8133,25.2289,17,11,14,30,24,11,16,19,22,27
502.117,0.957861,0.00321359,1,1,0,-501.907,1.90018,0.000185296,13.6807,14.8345,16.9737,18.4634,19.6386,20.4519,19.8692,21.1848,26.5092,24.9553,15,13,18,16,16,16,21,22,31,23
502.421,0.995966,0.00321359,6,123,0,-501.539,1.90003,0.000187271,13.7832,14.9587,17.1404,18.6614,19.8622,20.6937,20.0979,21.4433,26.8969,25.3039,14,17,12,15,14,18,17,21,29,22
501.117,0.928749,0.00321359,2,3,0,-500.96,1.90003,0.000179583,13.38,14.4723,16.4907,17.8915,18.9941,19.756,19.2102,20.4417,25.4032,23.9586,10,17,18,16,13,25,16,15,26,30
502.741,0.98585,0.00321359,7,163,0,-499.105,1.89902,0.000216548,15.4181,16.9484,19.8381,21.8875,23.5241,24.6666,23.8472,25.7026,33.402,31.1253,18,12,26,21,23,34,24,21,28,24
503.261,0.999982,0.00321359,7,223,0,-502.357,1.90032,0.000195111,14.2113,15.4761,17.8347,19.4866,20.7947,21.7025,21.0519,22.5221,28.5193,26.7618,14,11,10,27,33,27,26,26,25,28
502.961,0.955788,0.00321359,5,55,0,-502.435,1.90028,0.000191848,14.0327,15.2599,17.5438,19.1404,20.4031,21.2786,20.6512,22.0685,27.8349,26.1473,8,20,14,20,23,17,15,22,22,22
503.662,0.996341,0.00321359,2,3,0,-502.82,1.90027,0.000202189,14.6045,15.9536,18.4798,20.2564,21.6672,22.6481,21.9449,23.5351,30.0584,28.141,11,15,22,22,26,20,28,23,31,28
503.561,0.966972,0.00321359,7,171,0,-503.185,1.89989,0.000199053,14.4231,15.7339,18.1838,19.9036,21.2676,22.2153,21.536,23.0715,29.3547,27.5104,19,14,20,25,19,22,19,23,42,25
503.561,0.742419,0.00321359,1,3,0,-501.66,1.89989,0.000199053,14.4231,15.7339,18.1838,19.9036,21.2676,22.2153,21.536,23.0715,29.3547,27.5104,17,13,16,18,23,33,13,22,23,32
502.39,0.908323,0.00321359,6,99,0,-501.592,1.89944,0.000188359,13.8331,15.02,17.2242,18.762,19.9765,20.8178,20.215,21.5763,27.0993,25.4854,15,17,20,19,26,16,21,26,32,19
