# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:42:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/yvy7vqyh.json
# init = 2 (Default)
# random
#   seed = 45430
# output
#   file = /home/lab5/output/code2-20230416104223_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.0035118
# Diagonal elements of inverse mass matrix:
# 1.09527e-05, 9.9011e-06
502.286,0.99922,0.0035118,7,139,0,-502.194,1.8984,0.000199758,14.4409,15.7582,18.2212,19.9509,21.3232,22.2767,21.5932,23.1385,29.465,27.6074,14,17,24,27,19,14,20,26,27,28
502.407,0.999731,0.0035118,1,3,0,-502.313,1.8984,0.000203292,14.6394,15.9995,18.5478,20.3411,21.7658,22.7568,22.0464,23.653,30.2493,28.3095,18,15,23,15,22,16,18,23,24,23
502.483,0.99885,0.0035118,5,37,0,-502.321,1.89845,0.000208258,14.9237,16.3456,19.0176,20.9034,22.4045,23.45,22.7004,24.3965,31.3882,29.3279,17,18,16,25,23,20,21,23,40,35
502.338,0.84385,0.0035118,7,139,0,-500.673,1.89978,0.000223495,15.8495,17.4756,20.5588,22.7543,24.5124,25.742,24.86,26.8587,35.199,32.7256,14,23,24,32,34,28,28,25,39,30
503.514,0.998984,0.0035118,6,83,0,-502.369,1.90018,0.000212604,15.2027,16.6828,19.4713,21.4444,23.0177,24.1147,23.328,25.1088,32.4749,30.3003,12,19,24,26,23,19,17,24,28,17
503.689,0.98214,0.0035118,1,3,0,-503.377,1.90018,0.000202549,14.6235,15.9769,18.5116,20.2946,21.7107,22.6954,21.9895,23.5858,30.1363,28.2106,9,10,20,21,19,17,24,21,23,35
503.255,0.962842,0.0035118,7,131,0,-503.152,1.89956,0.00019589,14.2432,15.5162,17.891,19.555,20.8732,21.7881,21.1324,22.6143,28.6631,26.8899,23,19,12,26,21,23,20,29,28,21
503.032,0.976841,0.0035118,6,91,0,-502.706,1.8998,0.00019247,14.0597,15.2935,17.5904,19.1966,20.4672,21.3484,20.7169,22.1435,27.9505,26.2506,19,15,18,14,14,22,14,24,29,29
503.71,1,0.0035118,2,3,0,-502.971,1.8998,0.00020446,14.7262,16.1026,18.6831,20.5004,21.9448,22.9498,22.2293,23.8589,30.5557,28.5855,17,20,22,22,22,19,17,27,24,30
503.661,0.985783,0.0035118,7,163,0,-503.499,1.90041,0.000205303,14.7833,16.1709,18.7739,20.608,22.0661,23.0809,22.3534,23.999,30.7666,28.7748,24,9,18,26,25,21,19,25,35,31
503.697,0.997898,0.0035118,7,193,0,-503.533,1.89978,0.000203692,14.6823,16.0491,18.6108,20.4139,21.8466,22.8432,22.1288,23.7446,30.3812,28.4293,15,17,19,21,20,23,22,20,33,26
503.296,0.999998,0.0035118,7,203,0,-502.55,1.90096,0.000206038,14.8334,16.2309,18.8537,20.7024,22.1726,23.196,22.4623,24.1221,30.9519,28.9412,11,16,25,19,26,22,34,24,30,29
503.46,0.999917,0.0035118,6,83,0,-503.205,1.90076,0.000205293,14.7879,16.1759,18.7796,20.6141,22.0726,23.0877,22.36,24.006,30.7752,28.7829,16,17,22,18,17,26,27,26,33,24
503.648,0.999086,0.0035118,6,123,0,-503.034,1.90043,0.00020431,14.727,16.1023,18.6808,20.4965,21.9395,22.9434,22.2237,23.8516,30.5409,28.573,9,17,22,31,22,19,20,22,29,29
