# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:21:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/sikel5ni.json
# init = 2 (Default)
# random
#   seed = 28044
# output
#   file = /home/lab5/output/code2-20230416112144_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.0034233
# Diagonal elements of inverse mass matrix:
# 1.08525e-05, 9.90112e-06
501.498,0.89457,0.0034233,7,171,0,-500.409,1.89844,0.000189934,13.9037,15.107,17.3439,18.9058,20.1402,20.9956,20.3827,21.7672,27.3912,25.7466,10,15,19,20,17,16,19,26,32,27
502.857,0.997508,0.0034233,7,131,0,-499.739,1.89969,0.000191176,13.988,15.2068,17.4742,19.0586,20.3114,21.1798,20.5575,21.9633,27.6796,26.0071,9,20,14,18,26,22,29,31,31,20
502.808,0.994878,0.0034233,2,3,0,-502.605,1.8997,0.000219983,15.6347,17.2123,20.1974,22.3187,24.015,25.2003,24.3501,26.2759,34.2892,31.9163,11,27,22,19,19,25,19,28,38,35
502.723,0.992684,0.0034233,2,3,0,-502.516,1.8997,0.000220653,15.6752,17.2619,20.2655,22.4008,24.1087,25.3023,24.4462,26.3856,34.4603,32.0685,16,18,18,25,24,30,27,17,44,20
502.651,0.990707,0.0034233,7,159,0,-501.957,1.90069,0.000219657,15.6305,17.2053,20.1843,22.301,23.9933,25.1757,24.3277,26.2487,34.2402,31.8741,15,20,13,22,22,27,23,30,34,31
503.695,0.999795,0.0034233,7,195,0,-502.307,1.90011,0.000202394,14.6137,15.9651,18.4958,20.2758,21.6895,22.6725,21.9678,23.5613,30.0993,28.1774,11,13,18,21,20,24,16,24,35,26
503.594,0.992153,0.0034233,7,187,0,-503.492,1.89963,0.000209667,15.0229,16.4644,19.1754,21.0903,22.6155,23.6781,22.9162,24.6404,31.7561,29.658,13,18,19,28,24,23,35,27,39,28
