# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:21:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/sikel5ni.json
# init = 2 (Default)
# random
#   seed = 28044
# output
#   file = /home/lab5/output/code2-20230416112144_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00364036
# Diagonal elements of inverse mass matrix:
# 1.12016e-05, 9.90113e-06
502.674,1,0.00364036,2,3,0,-502.298,1.8993,0.000191409,13.9951,15.2161,17.4879,19.0756,20.331,21.2014,20.5777,21.9866,27.7168,26.0402,16,9,15,16,12,12,29,15,30,15
503.482,0.974459,0.00364036,2,3,0,-502.478,1.89931,0.000204331,14.7117,16.0858,18.6619,20.4759,21.9176,22.9207,22.2016,23.828,30.5115,28.5453,7,16,20,21,18,19,23,26,28,23
503.395,0.986894,0.00364036,3,11,0,-503.379,1.89932,0.000210525,15.068,16.5201,19.2523,21.1832,22.7215,23.7936,23.0249,24.7646,31.9494,29.8302,17,16,27,13,18,25,26,17,30,27
503.47,0.821937,0.00364036,7,135,0,-501.584,1.90041,0.000212227,15.184,16.6596,19.4389,21.4051,22.9725,24.0655,23.2818,25.0557,32.3915,30.2262,9,21,12,16,22,22,24,33,24,37
503.224,0.925764,0.00364036,6,95,0,-501.954,1.90103,0.00020656,14.8644,16.2686,18.9046,20.7632,22.2417,23.2709,22.533,24.2024,31.0746,29.0509,17,19,24,24,35,24,25,21,36,25
503.107,0.910254,0.00364036,4,19,0,-502.559,1.90096,0.000198652,14.4163,15.7237,18.1667,19.8812,21.2409,22.1854,21.5084,23.0387,29.2988,27.4615,12,10,20,23,21,29,20,20,30,21
503.325,0.996195,0.00364036,5,39,0,-503.059,1.9009,0.000207936,14.9417,16.363,19.0333,20.9176,22.4174,23.4618,22.713,24.4073,31.3898,29.3325,9,11,25,29,27,27,15,31,36,26
502.772,0.860251,0.00364036,2,7,0,-502.391,1.90089,0.000193297,14.1201,15.3646,17.6828,19.3048,20.5882,21.4785,20.8405,22.282,28.1534,26.434,21,17,13,14,17,26,19,21,28,24
502.239,0.959115,0.00364036,2,3,0,-502.119,1.90089,0.000188626,13.8676,15.0591,17.2725,18.8168,20.0367,20.8817,20.2762,21.6437,27.1927,25.571,14,11,18,21,21,16,18,18,27,18
502.147,0.991633,0.00364036,7,203,0,-500.415,1.89839,0.000197494,14.3151,15.6054,18.0149,19.7047,21.0442,21.9744,21.3077,22.8146,28.9731,27.1665,13,22,13,17,26,18,17,18,32,21
501.673,0.958835,0.00364036,2,3,0,-501.618,1.8984,0.000219218,15.5684,17.1336,20.0938,22.1965,23.8774,25.0517,24.2095,26.1172,34.0506,31.7021,15,20,24,18,22,24,31,24,39,31
502.635,0.976674,0.00364036,7,147,0,-500.686,1.90006,0.00022162,15.7396,17.3402,20.3717,22.5281,24.2535,25.4597,24.5945,26.5546,34.7217,32.3016,15,15,32,20,29,18,31,25,39,28
502.856,1,0.00364036,1,1,0,-502.474,1.90007,0.000219942,15.638,17.2156,20.2006,22.3219,24.0181,25.2033,24.3533,26.2789,34.2914,31.9188,18,9,26,25,27,16,27,26,28,35
503.708,1,0.00364036,2,3,0,-502.88,1.90007,0.000202814,14.6368,15.9933,18.5342,20.3218,21.7417,22.7291,22.0213,23.6221,30.1923,28.2607,13,15,18,14,20,17,22,21,31,23
503.432,0.919796,0.00364036,1,3,0,-503.271,1.90007,0.000214048,15.286,16.7848,19.6109,21.6124,23.2091,24.3229,23.5242,25.3325,32.8216,30.6094,16,17,14,16,28,19,24,28,41,29
503.516,1,0.00364036,1,1,0,-503.409,1.90007,0.000212788,15.2117,16.6941,19.4871,21.4636,23.0396,24.1387,23.3506,25.1346,32.5156,30.3365,16,14,14,25,23,24,32,27,31,30
501.775,0.815033,0.00364036,6,123,0,-501.366,1.89942,0.000184304,13.6179,14.7601,16.8764,18.3493,19.5107,20.3143,19.7386,21.0383,26.2942,24.7609,13,22,16,24,22,17,19,17,23,29
503.534,0.956187,0.00364036,7,139,0,-499.858,1.89961,0.000211011,15.1008,16.5594,19.3049,21.2458,22.7924,23.8704,23.0974,24.8468,32.0742,29.942,17,15,26,22,19,21,15,22,27,27
503.31,0.960596,0.00364036,5,59,0,-503.021,1.89969,0.000195923,14.2469,15.5204,17.8963,19.5611,20.8799,21.7952,21.1392,22.6219,28.6738,26.8996,11,14,26,22,25,20,14,22,29,22
503.46,0.936579,0.00364036,2,3,0,-502.64,1.8997,0.000198058,14.365,15.6637,18.0896,19.7915,21.1408,22.078,21.4063,22.9246,29.1327,27.3112,21,18,22,21,22,27,19,23,19,31
503.669,0.869144,0.00364036,6,115,0,-501.826,1.90009,0.000209522,15.0214,16.4617,19.1702,21.0833,22.6069,23.6684,22.9072,24.6296,31.7366,29.6412,19,12,25,23,24,21,18,28,29,33
503.463,0.950879,0.00364036,7,191,0,-503.021,1.90075,0.000204282,14.7301,16.1056,18.6842,20.4999,21.943,22.9469,22.2272,23.8551,30.5443,28.5765,13,16,20,23,23,26,25,28,28,16
502.135,0.787307,0.00364036,6,71,0,-501.295,1.90013,0.000185378,13.6843,14.839,16.9799,18.4708,19.6469,20.4609,19.8777,21.1944,26.5239,24.9685,13,17,22,13,19,21,27,22,15,19
