# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:22:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/xdtvvd3o.json
# init = 2 (Default)
# random
#   seed = 61061
# output
#   file = /home/lab5/output/code2-20230416112222_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00347199
# Diagonal elements of inverse mass matrix:
# 1.11568e-05, 9.90112e-06
499.317,0.755815,0.00347199,2,3,0,-497.172,1.90187,0.000178883,13.3684,14.4554,16.463,17.8558,18.9517,19.7089,19.1665,20.3903,25.3178,23.8836,15,7,18,21,17,21,13,18,27,26
501.978,0.920533,0.00347199,1,3,0,-498.714,1.90187,0.000208342,14.9797,16.4076,19.0908,20.9847,22.4923,23.5423,22.7895,24.4929,31.5155,29.446,13,12,22,20,18,19,29,18,28,31
502.075,0.758428,0.00347199,4,23,0,-499.953,1.90174,0.000211651,15.1705,16.6406,19.4085,21.366,22.9263,24.0139,23.234,24.9993,32.2961,30.1428,20,18,17,30,32,22,28,19,37,29
502.58,0.977797,0.00347199,5,47,0,-501.682,1.90149,0.000209332,15.0314,16.4713,19.1788,21.0909,22.6136,23.6744,22.9138,24.635,31.7362,29.6427,17,16,13,23,29,24,30,29,36,37
503.602,0.997817,0.00347199,7,135,0,-501.278,1.9005,0.000203155,14.6624,16.0236,18.5739,20.3685,21.7941,22.7857,22.0749,23.6824,30.2818,28.3413,9,21,17,22,19,19,19,16,29,29
503.009,0.861868,0.00347199,2,3,0,-502.746,1.9005,0.000193089,14.1033,15.3449,17.6575,19.2753,20.5554,21.4432,20.807,22.2445,28.099,26.3848,9,19,12,18,23,29,18,16,25,19
503.6,0.98726,0.00347199,6,115,0,-502.097,1.89992,0.000199789,14.4646,15.7842,18.2516,19.9845,21.3593,22.3146,21.6299,23.178,29.5164,27.6553,15,13,22,16,27,15,14,21,30,27
503.614,0.947781,0.00347199,6,119,0,-502.818,1.90005,0.00021099,15.1061,16.5652,19.3113,21.2527,22.7996,23.8778,23.1046,24.8544,32.0832,29.9507,20,11,9,25,33,29,25,25,40,26
503.253,0.973747,0.00347199,7,155,0,-503.094,1.90055,0.000214498,15.3199,16.8254,19.6648,21.6762,23.2811,24.4008,23.5978,25.4158,32.9475,30.7223,11,23,17,15,26,33,22,23,30,34
503.383,0.990573,0.00347199,5,47,0,-502.92,1.90077,0.000201189,14.5554,15.893,18.3962,20.1557,21.5523,22.5231,21.8272,23.4007,29.8506,27.9556,9,16,24,18,26,21,20,25,35,25
503.656,0.999319,0.00347199,7,151,0,-502.819,1.89977,0.000209085,14.9912,16.4255,19.122,21.0261,22.5422,23.5984,22.8411,24.5547,31.6234,29.5397,8,14,22,27,23,29,20,27,26,30
502.418,0.7618,0.00347199,2,3,0,-501.683,1.89977,0.000187517,13.7928,14.9706,17.1572,18.6818,19.8855,20.7191,20.1218,21.4706,26.9392,25.3417,17,13,12,17,20,21,23,15,30,32
502.101,0.997709,0.00347199,7,139,0,-500.845,1.90167,0.000213278,15.265,16.7562,19.5665,21.5559,23.1425,24.2491,23.4555,25.2519,32.6867,30.4912,17,12,16,12,25,20,25,21,45,36
501.68,0.999935,0.00347199,6,87,0,-500.847,1.90192,0.000197397,14.3603,15.654,18.0697,19.7638,21.1066,22.0391,21.3707,22.8813,29.0545,27.2437,15,12,19,15,26,17,22,21,33,28
503.6,0.985728,0.00347199,6,119,0,-499.544,1.90044,0.000208891,14.99,16.4228,19.1162,21.0178,22.5319,23.5866,22.8304,24.5416,31.5991,29.5188,16,14,25,27,22,20,23,21,28,25
503.349,0.992028,0.00347199,6,99,0,-503.089,1.90074,0.000210987,15.1164,16.5765,19.3245,21.2671,22.815,23.8939,23.1203,24.8712,32.1048,29.9708,22,15,13,27,16,32,23,31,28,34
503.193,0.777791,0.00347199,2,3,0,-501.585,1.90072,0.000196781,14.3089,15.5938,17.9921,19.6735,21.0058,21.9309,21.2679,22.7663,28.8869,27.092,16,14,20,18,26,20,23,24,21,28
503.279,0.999867,0.00347199,7,167,0,-501.252,1.89921,0.000211352,15.1146,16.5771,19.3303,21.2771,22.8285,23.91,23.1345,24.8896,32.1428,30.0027,16,23,16,19,25,24,24,27,38,32
502.327,0.890596,0.00347199,6,71,0,-501.576,1.89888,0.000219136,15.5708,17.1356,20.095,22.197,23.8774,25.0512,24.2093,26.1162,34.046,31.6986,15,19,25,21,28,21,24,30,32,27
503.348,0.996991,0.00347199,6,95,0,-501.551,1.89942,0.00019833,14.3762,15.6778,18.1094,19.8156,21.1685,22.1082,21.4347,22.9572,29.1837,27.3565,13,15,25,17,24,26,25,27,24,18
503.504,0.99985,0.00347199,4,23,0,-503.327,1.89939,0.000208756,14.9666,16.3961,19.0832,20.9803,22.4907,23.5428,22.7884,24.4953,31.5344,29.4597,17,21,17,14,28,24,30,24,30,32
503.548,0.999867,0.00347199,5,51,0,-503.445,1.89946,0.000202641,14.6181,15.9717,18.5068,20.2902,21.7066,22.6916,21.9855,23.5823,30.1351,28.2087,7,15,18,16,28,24,30,17,32,24
501.733,0.803626,0.00347199,7,147,0,-499.814,1.89842,0.000218864,15.5473,17.1077,20.0584,22.1538,23.8287,24.9987,24.1596,26.0602,33.9617,31.623,22,17,22,27,19,15,29,18,27,35
503.515,0.986442,0.00347199,7,147,0,-501.351,1.9005,0.000200347,14.5043,15.8314,18.3137,20.0576,21.4414,22.4031,21.7137,23.2723,29.6566,27.7815,12,13,27,25,23,28,28,17,22,30
502.497,0.830085,0.00347199,7,139,0,-501.217,1.89957,0.000221983,15.754,17.3588,20.3989,22.5619,24.2929,25.503,24.635,26.6017,34.7985,32.3692,23,13,21,26,26,41,29,32,34,38
503.285,0.853848,0.00347199,2,3,0,-500.922,1.89958,0.00019614,14.2573,15.5333,17.9139,19.5823,20.904,21.8215,21.1639,22.6501,28.7171,26.9383,11,14,21,19,15,27,25,26,32,23
503.27,0.843266,0.00347199,2,3,0,-502.422,1.89958,0.000215023,15.3362,16.8471,19.6977,21.7175,23.3296,24.4545,23.6478,25.4742,33.0441,30.8072,11,15,24,29,25,26,14,24,26,32
502.93,0.999027,0.00347199,7,151,0,-501.307,1.89899,0.000197309,14.3134,15.6023,18.0089,19.6965,21.0341,21.9629,21.2972,22.8019,28.9505,27.147,18,15,18,23,22,19,27,22,23,21
503.259,0.983314,0.00347199,5,55,0,-502.505,1.8991,0.0002094,14.9994,16.4367,19.1394,21.0482,22.5683,23.6274,22.868,24.5863,31.6762,29.586,18,12,17,15,23,25,21,23,26,21
503.457,0.956208,0.00347199,7,155,0,-502.097,1.89959,0.000212372,15.1801,16.6564,19.4372,21.4045,22.9731,24.0668,23.2825,25.0578,32.3998,30.2326,16,18,19,20,17,29,25,22,31,28
502.723,0.789025,0.00347199,2,3,0,-501.643,1.8996,0.000220394,15.658,17.2411,20.2371,22.3668,24.0701,25.2604,24.4066,26.3406,34.3907,32.0065,10,22,25,26,22,24,26,24,43,29
503.041,1,0.00347199,2,3,0,-502.576,1.89959,0.000193291,14.1013,15.3442,17.6592,19.2789,20.5607,21.4497,20.8126,22.2521,28.1154,26.3984,10,16,15,16,33,20,23,22,33,24
503.288,0.955612,0.00347199,7,199,0,-501.552,1.90095,0.000207181,14.899,16.3108,18.9623,20.8324,22.3204,23.3565,22.6137,24.2942,31.2159,29.1772,16,18,22,18,21,21,28,20,27,31
503.689,0.974761,0.00347199,7,139,0,-502.87,1.90007,0.000202074,14.595,15.9425,18.4653,20.2395,21.6483,22.6278,21.9256,23.5135,30.0266,28.1123,12,12,21,23,16,27,26,21,23,24
503.736,0.999959,0.00347199,7,175,0,-503.643,1.90003,0.000204723,14.7445,16.1245,18.7121,20.5347,21.9834,22.9914,22.2688,23.9034,30.6225,28.6455,13,13,19,29,32,22,32,27,26,32
503.651,0.927253,0.00347199,6,123,0,-502.863,1.89976,0.000201906,14.581,15.926,18.444,20.2145,21.6204,22.5978,21.8972,23.4816,29.9798,28.07,11,12,16,16,16,16,14,26,26,16
