# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:22:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/xdtvvd3o.json
# init = 2 (Default)
# random
#   seed = 61061
# output
#   file = /home/lab5/output/code2-20230416112222_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00302688
# Diagonal elements of inverse mass matrix:
# 1.10244e-05, 9.90111e-06
502.976,0.931563,0.00302688,5,59,0,-502.045,1.89888,0.000200446,14.4862,15.8124,18.293,20.0358,21.4188,22.38,21.691,23.2487,29.6301,27.7558,8,15,18,17,24,16,14,19,28,31
503.381,0.999223,0.00302688,7,219,0,-501.532,1.9008,0.000201808,14.5906,15.9358,18.4541,20.2247,21.6306,22.608,21.9073,23.4917,29.9891,28.0796,22,14,17,18,25,24,19,31,31,28
503.211,0.866284,0.00302688,5,39,0,-501.47,1.90094,0.000200295,14.5077,15.8347,18.3168,20.0605,21.4442,22.4058,21.7165,23.2749,29.658,27.7833,16,11,19,34,19,21,21,23,35,19
503.369,0.998919,0.00302688,5,43,0,-503.135,1.90083,0.000208488,14.9726,16.4008,19.0849,20.9797,22.488,23.5385,22.7853,24.4897,31.5168,29.4459,16,17,18,23,32,23,27,26,30,39
502.449,0.761151,0.00302688,2,3,0,-501.239,1.90082,0.000189814,13.9304,15.1352,17.3748,18.9384,20.1742,21.0305,20.4168,21.8028,27.432,25.786,14,12,21,21,17,35,28,24,20,20
502.86,0.99659,0.00302688,7,215,0,-501.257,1.89945,0.000218652,15.5507,17.1098,20.0577,22.151,23.824,24.9926,24.1545,26.0527,33.9433,31.608,7,13,27,22,38,21,23,23,48,31
503.218,0.999987,0.00302688,6,87,0,-502.27,1.89908,0.00021024,15.0479,16.496,19.2202,21.1451,22.6785,23.7471,22.9809,24.7149,31.8742,29.7628,23,19,19,19,22,16,27,26,31,47
502.848,0.867421,0.00302688,2,7,0,-502.127,1.89908,0.000195014,14.1884,15.4506,17.804,19.4521,20.7573,21.663,21.0139,22.4807,28.4636,26.7103,16,20,14,21,10,19,16,15,29,25
502.896,1,0.00302688,2,7,0,-502.85,1.89908,0.000215515,15.3577,16.8744,19.7366,21.7653,23.3848,24.5149,23.7045,25.5396,33.1487,30.8997,14,11,25,25,28,25,20,22,32,31
503.469,0.998245,0.00302688,7,223,0,-501.584,1.89991,0.000197442,14.334,15.6256,18.0375,19.729,21.0698,22.0008,21.3335,22.8418,29.0059,27.1977,19,11,16,14,19,20,24,16,33,27
502.27,0.847746,0.00302688,3,7,0,-501.591,1.89993,0.000186276,13.7291,14.8934,17.0533,18.5582,19.7458,20.568,19.9789,21.309,26.6962,25.1233,11,15,11,20,23,24,23,25,29,29
503.471,0.998833,0.00302688,6,111,0,-500.969,1.89929,0.000206888,14.8575,16.2633,18.903,20.7646,22.2456,23.2767,22.5374,24.2099,31.0965,29.0683,13,18,13,25,23,29,26,22,29,30
502.556,0.951401,0.00302688,7,143,0,-502.202,1.89871,0.000214608,15.2983,16.8025,19.6395,21.6494,23.2532,24.3721,23.5697,25.3865,32.9138,30.6898,14,15,22,24,16,24,17,32,31,33
502.972,0.999997,0.00302688,7,231,0,-500.03,1.901,0.000213523,15.2693,16.7626,19.5775,21.5704,23.16,24.2687,23.4736,25.2735,32.7243,30.5239,15,11,11,20,27,24,30,28,36,29
502.488,0.966796,0.00302688,5,59,0,-501.915,1.90119,0.000193458,14.133,15.3798,17.7024,19.3275,20.6136,21.5057,20.8664,22.3109,28.1954,26.4721,17,12,17,23,11,19,22,29,27,29
503.578,0.97403,0.00302688,7,199,0,-499.605,1.89959,0.000201395,14.5499,15.8885,18.3937,20.1547,21.5528,22.5246,21.828,23.4033,29.8613,27.9637,18,14,15,22,33,31,25,29,29,22
503.567,0.90286,0.00302688,2,3,0,-502.612,1.89961,0.000200939,14.5244,15.8575,18.3518,20.1047,21.4959,22.463,21.7698,23.3372,29.7606,27.8735,17,18,10,21,20,20,25,10,32,26
503.563,0.991634,0.00302688,2,3,0,-503.446,1.89961,0.000200789,14.5161,15.8474,18.338,20.0882,21.4773,22.4428,21.7507,23.3155,29.7276,27.844,18,21,22,18,15,26,22,27,24,39
503.361,0.983679,0.00302688,4,27,0,-503.266,1.89959,0.000213867,15.268,16.7638,19.5838,21.5806,23.1736,24.2848,23.4879,25.2919,32.7618,30.5555,18,21,24,19,25,15,13,23,35,28
503.014,0.977523,0.00302688,7,159,0,-502.738,1.90043,0.00019283,14.0882,15.3268,17.6333,19.2466,20.523,21.4083,20.7739,22.2072,28.043,26.3344,24,12,16,19,19,20,19,19,38,20
502.224,0.958143,0.00302688,2,3,0,-502.195,1.90044,0.000186454,13.7455,14.9123,17.0772,18.5857,19.7762,20.6005,20.0099,21.3434,26.7451,25.1678,16,16,15,17,20,27,23,18,27,27
502.875,0.999721,0.00302688,3,7,0,-502.22,1.90046,0.000191609,14.0223,15.247,17.5259,19.1188,20.3784,21.2517,20.6259,22.0397,27.7904,26.1076,6,19,25,16,22,18,15,25,18,25
503.198,0.968503,0.00302688,7,215,0,-501.57,1.89914,0.0001995,14.4372,15.7523,18.211,19.9374,21.3069,22.2585,21.5764,23.1184,29.4302,27.5771,14,13,20,11,16,27,20,22,25,20
500.756,0.999614,0.00302688,8,279,0,-500.431,1.9024,0.000199442,14.4812,15.8,18.2653,19.9963,21.3695,22.3235,21.6397,23.1857,29.5139,27.656,15,15,14,25,21,21,15,21,33,24
500.902,0.973163,0.00302688,4,19,0,-500.381,1.90237,0.000209028,15.027,16.4643,19.1663,21.0743,22.5934,23.6517,22.8929,24.61,31.6924,29.6047,9,20,18,30,25,20,27,19,23,21
500.861,0.993508,0.00302688,3,11,0,-500.787,1.90236,0.000199393,14.4777,15.7959,18.2599,19.99,21.3623,22.3158,21.6323,23.1774,29.5016,27.6449,13,15,20,19,27,21,20,34,35,28
500.626,0.938226,0.00302688,3,15,0,-500.024,1.90233,0.000215276,15.3935,16.9119,19.7771,21.8076,23.4284,24.5594,23.7483,25.5847,33.1977,30.9477,16,17,16,29,23,22,22,24,22,31
