# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:23:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/lked0s8o.json
# init = 2 (Default)
# random
#   seed = 63975
# output
#   file = /home/lab5/output/code2-20230416112305_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00383539
# Diagonal elements of inverse mass matrix:
# 1.10809e-05, 9.90111e-06
502.24,0.794362,0.00383539,1,3,0,-502.028,1.89888,0.00021993,15.6187,17.1943,20.1755,22.294,23.988,25.1717,24.3227,26.2458,34.2477,31.8782,16,17,25,23,31,21,22,22,29,35
502.767,1,0.00383539,2,3,0,-502.322,1.89887,0.000196796,14.2834,15.5661,17.9604,19.639,20.9691,21.8926,21.2307,22.7266,28.8371,27.0451,20,13,21,16,17,13,16,30,18,19
503.643,0.999849,0.00383539,7,191,0,-502.395,1.89995,0.000200723,14.5174,15.8483,18.3383,20.0879,21.4765,22.4416,21.7498,23.314,29.7232,27.8405,9,17,22,18,25,25,16,28,38,25
503.527,0.993507,0.00383539,6,95,0,-503.447,1.89972,0.00021193,15.1562,16.6269,19.3966,21.3556,22.9172,24.0059,23.2252,24.9922,32.2979,30.1418,21,11,27,24,28,26,32,31,32,28
502.742,0.874014,0.00383539,7,167,0,-501.198,1.90041,0.000220181,15.6578,17.2392,20.2319,22.3588,24.0598,25.2483,24.3958,26.327,34.3641,31.984,13,13,24,19,29,27,30,17,29,23
503.07,0.940251,0.00383539,7,167,0,-501.39,1.8993,0.000215574,15.3646,16.8824,19.7469,21.7773,23.3981,24.5292,23.718,25.5547,33.1707,30.9196,12,18,20,22,25,22,22,29,34,23
503.478,0.949969,0.00383539,2,3,0,-502.882,1.8993,0.000205146,14.7578,16.142,18.7382,20.5672,22.0213,23.0333,22.3078,23.9488,30.6963,28.7106,16,26,20,27,19,25,29,23,32,40
503.732,0.999777,0.00383539,7,147,0,-503.213,1.8999,0.000205625,14.7941,16.185,18.7947,20.6338,22.0961,23.1139,22.3842,24.0348,30.8245,28.8259,17,13,15,12,21,25,24,23,28,31
503.561,0.971097,0.00383539,7,147,0,-503.449,1.90028,0.000199526,14.4551,15.7721,18.2341,19.963,21.3345,22.2874,21.6043,23.1485,29.4695,27.6137,15,15,18,13,27,23,24,27,29,28
503.333,0.978952,0.00383539,2,3,0,-503.32,1.90028,0.000195868,14.2523,15.5259,17.9019,19.5667,20.8855,21.8009,21.1448,22.6275,28.679,26.905,17,22,14,15,18,19,29,24,40,27
502.491,0.930741,0.00383539,2,3,0,-502.435,1.90028,0.000187985,13.8249,15.0085,17.2064,18.7394,19.95,20.7884,20.1876,21.5443,27.047,25.4392,12,15,17,28,19,23,16,26,25,18
501.204,0.862982,0.00383539,4,19,0,-500.423,1.9002,0.000229628,16.2364,17.9502,21.2114,23.5421,25.4129,26.7236,25.7832,27.9153,36.8563,34.198,12,20,14,23,19,26,26,27,32,40
502.758,0.999941,0.00383539,5,43,0,-501.219,1.90041,0.000220041,15.6494,17.229,20.2178,22.3418,24.0403,25.2272,24.3759,26.3042,34.3286,31.9524,23,17,22,19,31,30,23,27,46,38
503.386,0.939225,0.00383539,7,131,0,-502.116,1.89932,0.000210761,15.0818,16.5368,19.2751,21.2105,22.7526,23.8274,23.0568,24.801,32.0053,29.8802,15,12,17,28,24,26,23,33,29,25
503.485,0.939636,0.00383539,6,87,0,-502.744,1.89952,0.000199883,14.4641,15.7844,18.2531,19.987,21.3626,22.3185,21.6333,23.1824,29.5255,27.6629,14,16,15,27,17,22,19,28,20,29
503.37,0.998575,0.00383539,6,87,0,-503.115,1.89923,0.000209412,15.0021,16.4397,19.1431,21.0524,22.5729,23.6322,22.8727,24.5915,31.6832,29.5925,13,16,23,21,26,28,22,24,36,37
502.843,0.889428,0.00383539,7,183,0,-501.982,1.90053,0.000218859,15.58,17.1436,20.1004,22.2002,23.8785,25.0509,24.21,26.1146,34.0324,31.6888,10,14,23,27,16,27,33,22,36,30
503.228,1,0.00383539,1,1,0,-502.897,1.90054,0.000214911,15.3442,16.8551,19.7055,21.725,23.3368,24.4614,23.6549,25.4809,33.0484,30.8122,15,20,21,21,22,18,22,24,31,36
501.98,0.746612,0.00383539,6,95,0,-498.857,1.90176,0.000197598,14.3692,15.6651,18.0851,19.7825,21.128,22.0623,21.3926,22.9064,29.0933,27.2783,9,18,21,14,20,24,27,15,31,25
502.859,0.999444,0.00383539,7,175,0,-499.484,1.89889,0.000213437,15.232,16.7211,19.5279,21.5148,23.0996,24.205,23.4123,25.2068,32.6345,30.441,15,21,21,23,22,27,17,24,36,33
502.814,0.998515,0.00383539,4,27,0,-502.676,1.89882,0.000212854,15.1967,16.6781,19.4694,21.4447,23.0199,24.1184,23.3307,25.1138,32.4912,30.3131,10,23,17,18,20,26,25,29,36,29
503.718,0.999843,0.00383539,7,207,0,-498.832,1.89981,0.000205743,14.7996,16.1919,18.8043,20.6454,22.1095,23.1285,22.3979,24.0505,30.849,28.8478,18,16,14,17,18,26,29,25,43,24
503.023,0.778579,0.00383539,6,119,0,-499.483,1.9012,0.000206876,14.8852,16.2936,18.938,20.8029,22.2865,23.3195,22.5789,24.2543,31.1532,29.1214,10,11,17,19,26,20,25,19,25,25
502.925,0.997299,0.00383539,5,39,0,-502.869,1.90127,0.000207938,14.9474,16.3693,19.0406,20.9257,22.4261,23.4709,22.7218,24.4168,31.4021,29.344,13,19,25,28,22,18,14,23,27,17
502.918,0.988165,0.00383539,2,7,0,-502.845,1.90127,0.000202218,14.6206,15.9715,18.5008,20.2797,21.6924,22.6746,21.9705,23.5628,30.0948,28.1748,16,11,13,21,29,20,21,24,41,18
501.31,0.94621,0.00383539,7,219,0,-499.879,1.90206,0.000195968,14.2832,15.5603,17.9429,19.6124,20.9349,21.853,21.195,22.682,28.7516,26.9722,12,11,19,21,20,25,22,23,37,30
501.602,0.849108,0.00383539,2,7,0,-500.342,1.90208,0.00020642,14.872,16.2759,18.9112,20.7692,22.247,23.2758,22.5382,24.2068,31.0749,29.0526,21,14,18,18,18,26,13,20,29,24
