# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:23:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/lked0s8o.json
# init = 2 (Default)
# random
#   seed = 63975
# output
#   file = /home/lab5/output/code2-20230416112305_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00334764
# Diagonal elements of inverse mass matrix:
# 1.06909e-05, 9.90109e-06
502.451,0.813351,0.00334764,5,39,0,-500.561,1.90135,0.000215101,15.3679,16.8825,19.7402,21.7652,23.3814,24.5092,23.7005,25.5317,33.1218,30.8787,17,19,17,21,30,17,16,34,27,39
503.035,0.999187,0.00334764,5,59,0,-502.134,1.9012,0.00020414,14.7286,16.1029,18.6792,20.4931,21.9347,22.9375,22.2186,23.8447,30.5258,28.5604,8,24,14,29,23,31,15,26,45,20
502.701,0.999995,0.00334764,6,111,0,-501.649,1.90145,0.000206256,14.8533,16.2543,18.8838,20.7375,22.2119,23.2382,22.5024,24.167,31.0177,29.0007,13,22,18,19,16,26,22,22,32,28
502.054,0.872326,0.00334764,2,3,0,-501.908,1.90145,0.000217727,15.5263,17.0761,20.0047,22.0832,23.7438,24.9033,24.0717,25.9552,33.7784,31.4639,24,16,20,19,26,29,18,25,29,27
502.06,0.999822,0.00334764,2,7,0,-501.971,1.90144,0.000192402,14.0791,15.314,17.6131,19.2209,20.4926,21.3746,20.7425,22.1704,27.9821,26.2809,16,15,11,19,16,34,14,22,26,36
502.281,0.985198,0.00334764,2,3,0,-501.696,1.90142,0.000215878,15.4153,16.9403,19.819,21.8598,23.4891,24.6263,23.8107,25.6573,33.3162,31.0521,16,16,17,20,21,20,21,30,40,24
