# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:24:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/swep1uh1.json
# init = 2 (Default)
# random
#   seed = 7856
# output
#   file = /home/lab5/output/code2-20230416112439_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00286361
# Diagonal elements of inverse mass matrix:
# 1.08178e-05, 9.90112e-06
503.429,0.985808,0.00286361,5,39,0,-503.271,1.89926,0.000203363,14.6559,16.018,18.5702,20.3664,21.7934,22.7859,22.0744,23.6836,30.291,28.3479,11,13,22,17,19,18,22,23,31,29
503.066,0.961678,0.00286361,2,3,0,-503.033,1.89926,0.00019587,14.2378,15.5102,17.8838,19.5469,20.8644,21.7788,21.1234,22.6046,28.6501,26.8778,22,15,22,19,23,26,19,24,25,17
503.446,1,0.00286361,2,3,0,-503.106,1.89926,0.000204445,14.7174,16.0928,18.6716,20.4877,21.931,22.9353,22.2153,23.8437,30.5358,28.567,14,16,16,25,25,20,28,29,30,34
503.721,0.977234,0.00286361,7,179,0,-502.418,1.9002,0.000205988,14.8194,16.2152,18.8348,20.6811,22.1495,23.1716,22.4389,24.0965,30.9172,28.9092,16,18,17,20,25,27,26,23,30,25
503.347,0.909573,0.00286361,2,3,0,-502.914,1.90021,0.000195856,14.2506,15.524,17.8995,19.5641,20.8826,21.7978,21.1418,22.6242,28.6744,26.9008,11,12,18,15,17,23,27,32,28,36
503.568,0.9823,0.00286361,4,31,0,-502.935,1.90016,0.000211703,15.1495,16.6179,19.3829,21.3383,22.8968,23.9834,23.2043,24.9678,32.2574,30.1062,15,16,20,22,27,24,24,25,26,26
503.462,0.999997,0.00286361,7,235,0,-503.031,1.8993,0.000203342,14.6554,16.0173,18.5692,20.365,21.7918,22.7841,22.0727,23.6816,30.2877,28.3451,8,21,18,20,18,15,22,24,35,23
502.526,0.857697,0.00286361,7,163,0,-498.835,1.89851,0.000210099,15.0311,16.4765,19.1956,21.1167,22.647,23.7134,22.9488,24.6791,31.8227,29.716,20,16,24,18,25,18,27,21,36,36
502.433,0.93761,0.00286361,1,3,0,-501.962,1.89851,0.000199284,14.4161,15.7278,18.1798,19.9013,21.2668,22.2155,21.5355,23.0728,29.3645,27.5175,20,15,9,14,24,12,22,19,24,21
502.681,0.940189,0.00286361,7,231,0,-499.999,1.89964,0.000189821,13.9144,15.1178,17.3549,18.9169,20.1512,21.0066,20.3936,21.778,27.4011,25.7569,18,18,15,21,27,18,23,20,27,20
503.425,0.984579,0.00286361,7,151,0,-501.849,1.90072,0.000209461,15.0273,16.4677,19.1764,21.0895,22.613,23.6744,22.9134,24.6356,31.742,29.6469,11,21,25,22,20,21,24,25,33,28
503.512,0.998444,0.00286361,5,55,0,-503.353,1.90068,0.000203971,14.7113,16.0829,18.6536,20.4635,21.9017,22.9023,22.185,23.8073,30.4716,28.5113,11,20,15,10,20,23,23,26,34,28
503.643,0.984725,0.00286361,7,251,0,-501.786,1.90002,0.000200661,14.5149,15.8451,18.3337,20.0824,21.4701,22.4347,21.7433,23.3065,29.7115,27.8301,14,25,18,15,26,15,28,18,41,21
502.721,0.908553,0.00286361,6,119,0,-501.594,1.90044,0.000190171,13.9442,15.1526,17.3992,18.9681,20.2082,21.0676,20.4518,21.8427,27.4942,25.8414,13,21,10,19,27,17,21,25,25,23
502.964,0.991795,0.00286361,3,7,0,-502.509,1.90045,0.000218145,15.5358,17.0897,20.0267,22.1116,23.7776,24.9411,24.1067,25.9966,33.8494,31.5258,12,14,21,21,21,22,22,27,25,33
502.804,0.918494,0.00286361,5,39,0,-501.398,1.90059,0.000218945,15.586,17.1509,20.1101,22.2118,23.8917,25.0652,24.2236,26.1299,34.0559,31.7099,22,24,17,20,27,30,23,30,35,18
502.799,0.937297,0.00286361,2,3,0,-501.884,1.90059,0.000218984,15.5883,17.1538,20.114,22.2165,23.8971,25.0711,24.2291,26.1362,34.0658,31.7186,9,18,23,20,26,22,22,24,31,38
502.237,0.999993,0.00286361,7,235,0,-500.702,1.8985,0.000214914,15.3132,16.821,19.6656,21.6811,23.2897,24.412,23.6071,25.4295,32.9818,30.7501,18,14,16,21,21,20,21,32,36,33
502.434,0.947658,0.00286361,6,79,0,-501.06,1.89878,0.000194054,14.1316,15.3823,17.7129,19.3442,20.6355,21.5314,20.8893,22.3401,28.2527,26.5207,16,19,14,25,15,23,17,25,36,24
500.341,0.807603,0.00286361,2,3,0,-499.806,1.89879,0.000179677,13.3682,14.4602,16.478,17.8785,18.9808,19.7426,19.1969,20.4282,25.3893,23.9448,15,11,15,18,16,19,15,17,30,16
501.129,0.917004,0.00286361,3,7,0,-498.142,1.89876,0.000184169,13.6019,14.7419,16.8539,18.3237,19.4826,20.2845,19.71,21.0069,26.2507,24.721,11,14,17,12,18,19,18,18,31,23
501.953,0.967359,0.00286361,2,7,0,-500.578,1.89877,0.000221147,15.6906,17.2826,20.2971,22.4407,24.1557,25.3543,24.4946,26.4424,34.5551,32.1516,17,15,24,32,21,22,23,39,33,24
499.978,0.999446,0.00286361,8,271,0,-498.783,1.90246,0.000191197,14.028,15.2505,17.5247,19.1139,20.3704,21.2415,20.6172,22.0273,27.761,26.0834,18,15,17,16,20,19,22,16,29,26
500.05,0.963236,0.00286361,2,3,0,-499.331,1.90246,0.000191888,14.0655,15.2958,17.5856,19.1863,20.4523,21.3301,20.7011,22.1221,27.9038,26.2118,13,19,25,17,21,19,23,16,25,27
500.519,0.835183,0.00286361,3,7,0,-497.78,1.90248,0.000198433,14.4259,15.7327,18.1742,19.8875,21.246,22.1897,21.5133,23.0422,29.2954,27.4603,14,16,22,30,15,29,16,23,39,31
499.266,0.914651,0.00286361,8,267,0,-497.074,1.89705,0.000202086,14.5517,15.8952,18.4108,20.1798,21.5845,22.5613,21.8611,23.4444,29.9388,28.03,15,11,27,20,18,23,17,21,35,36
499.203,0.939929,0.00286361,2,3,0,-498.638,1.89704,0.000200989,14.49,15.8202,18.3093,20.0586,21.4471,22.4122,21.7204,23.2846,29.6953,27.812,21,16,13,22,25,19,18,18,31,24
499.537,0.956919,0.00286361,5,35,0,-498.476,1.89717,0.000212174,15.1318,16.602,19.3709,21.3296,22.8912,23.9799,23.1992,24.9664,32.274,30.1171,18,11,12,24,19,19,29,25,28,32
503.073,0.990735,0.00286361,8,287,0,-498.168,1.90084,0.000214259,15.3102,16.813,19.6469,21.654,23.2555,24.3727,23.5715,25.3854,32.8985,30.679,17,17,16,22,20,18,24,31,23,23
503.051,0.977393,0.00286361,7,215,0,-502.488,1.90022,0.000218055,15.5268,17.0792,20.0131,22.0957,23.7598,24.922,24.0885,25.9762,33.8191,31.4985,17,21,18,28,24,19,34,29,42,34
502.695,0.973405,0.00286361,3,7,0,-502.372,1.90025,0.000189496,13.9054,15.1059,17.3371,18.8947,20.1254,20.9782,20.3671,21.7473,27.3517,25.7132,14,12,21,16,14,21,21,22,25,15
502.191,0.999448,0.00286361,7,243,0,-501.76,1.9012,0.000190769,13.9872,15.2032,17.465,19.045,20.2941,21.16,20.5395,21.941,27.6379,25.9714,13,17,14,19,18,21,30,25,36,25
502.994,0.922843,0.00286361,2,7,0,-501.272,1.9012,0.000208567,14.9827,16.4124,19.0996,20.9965,22.5066,23.5585,22.8043,24.5108,31.5471,29.4734,15,25,20,26,32,20,28,25,40,38
503.69,0.997439,0.00286361,8,279,0,-501.838,1.90002,0.000202048,14.5928,15.9399,18.462,20.2356,21.6439,22.6231,21.9212,23.5085,30.0193,28.1057,13,20,17,11,28,31,26,29,15,31
503.381,0.999997,0.00286361,7,251,0,-503.051,1.89923,0.000202199,14.5898,15.9376,18.4614,20.2363,21.6458,22.6259,21.9233,23.512,30.0293,28.1136,16,16,17,35,21,19,17,22,24,26
503.708,0.999997,0.00286361,8,275,0,-502.776,1.89988,0.000207842,14.9211,16.3398,19.005,20.8857,22.3824,23.4248,22.6774,24.3683,31.3362,29.2833,13,12,21,24,23,25,17,32,38,31
503.718,0.998687,0.00286361,3,7,0,-503.681,1.89989,0.000203791,14.6895,16.0577,18.622,20.4272,21.8615,22.8593,22.144,23.7618,30.4068,28.4524,12,14,21,30,23,26,24,24,30,33
503.568,0.982477,0.00286361,2,3,0,-503.537,1.89988,0.000199225,14.4326,15.7455,18.1994,19.9222,21.2888,22.2382,21.5576,23.0961,29.3921,27.5438,13,13,20,20,18,29,21,21,34,25
503.264,0.970098,0.00286361,3,7,0,-503.183,1.89989,0.000216075,15.4033,16.9286,19.8081,21.8498,23.4799,24.6176,23.8017,25.6493,33.3137,31.0478,12,12,16,29,27,22,22,18,29,27
502.783,0.973097,0.00286361,6,115,0,-502.058,1.8995,0.000191252,13.9895,15.2089,17.4776,19.063,20.3166,21.1856,20.5628,21.9696,27.69,26.0163,6,13,22,26,17,23,28,21,19,26
503.487,1,0.00286361,2,3,0,-502.736,1.8995,0.00020019,14.481,15.8049,18.2809,20.0202,21.4003,22.3594,21.6719,23.2262,29.5922,27.7227,10,13,17,27,16,23,16,26,27,27
502.569,0.761202,0.00286361,1,3,0,-501.034,1.8995,0.000221224,15.7067,17.301,20.3197,22.4666,24.1841,25.3846,24.5235,26.4744,34.6001,32.1927,26,12,24,15,26,24,32,26,38,26
500.118,0.780433,0.00286361,2,3,0,-499.661,1.89949,0.000175606,13.1688,14.2192,16.1555,17.4962,18.5498,19.2771,18.7562,19.9311,24.6497,23.2782,11,14,9,18,15,23,21,15,28,16
503.599,1,0.00286361,2,3,0,-500.508,1.8995,0.000204513,14.7247,16.1013,18.6824,20.5001,21.9449,22.9501,22.2295,23.8594,30.5584,28.5875,15,17,15,18,12,28,22,24,34,25
503.31,0.969362,0.00286361,2,3,0,-503.297,1.8995,0.000197066,14.3072,15.5939,17.996,19.6803,21.0151,21.9419,21.2776,22.7791,28.913,27.1139,13,13,13,18,18,16,18,21,30,27
503.41,0.993855,0.00286361,3,7,0,-503.141,1.89948,0.000212293,15.1738,16.6489,19.4273,21.393,22.96,24.0527,23.2692,25.0427,32.3773,30.2123,14,20,20,16,27,23,25,28,26,25
503.401,0.999517,0.00286361,2,3,0,-503.363,1.89948,0.00021244,15.1824,16.6594,19.4417,21.4102,22.9797,24.0741,23.2893,25.0656,32.4127,30.2439,17,11,20,25,21,26,25,32,33,31
503.447,0.999669,0.00286361,6,71,0,-503.282,1.89959,0.000212537,15.1898,16.6682,19.4533,21.424,22.9952,24.0908,23.3052,25.0836,32.4397,30.2681,15,15,14,17,28,24,28,30,28,28
503.05,0.981135,0.00286361,7,223,0,-499.502,1.90061,0.000194153,14.1629,15.417,17.7542,19.3902,20.6853,21.5838,20.9398,22.3948,28.3253,26.5881,13,17,26,21,27,20,25,24,28,29
503.068,0.974895,0.00286361,5,47,0,-502.364,1.90042,0.000217275,15.4832,17.0253,19.9387,22.0058,23.6569,24.8098,23.983,25.8555,33.6302,31.3305,12,18,13,18,23,28,24,26,29,29
