# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:24:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/swep1uh1.json
# init = 2 (Default)
# random
#   seed = 7856
# output
#   file = /home/lab5/output/code2-20230416112439_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00346553
# Diagonal elements of inverse mass matrix:
# 1.05765e-05, 9.90111e-06
503.545,0.864121,0.00346553,2,7,0,-502.328,1.89987,0.000198803,14.409,15.7168,18.1607,19.876,21.2364,22.1814,21.504,23.0353,29.2997,27.461,15,25,16,19,23,19,17,21,30,31
503.446,0.978127,0.00346553,7,147,0,-503.09,1.90047,0.000198634,14.4082,15.7148,18.1561,19.8696,21.2283,22.1721,21.4956,23.0249,29.2805,27.4446,12,21,17,15,22,32,17,23,25,22
503.637,0.956084,0.00346553,5,35,0,-502.992,1.90035,0.000202108,14.601,15.9493,18.4736,20.2489,21.6586,22.6388,21.9362,23.525,30.0426,28.127,9,16,13,14,16,15,18,21,26,22
503.072,0.981147,0.00346553,7,227,0,-502.801,1.90096,0.000197961,14.3778,15.677,18.1036,19.806,21.1557,22.093,21.4212,22.9398,29.1486,27.3269,13,12,19,13,21,22,20,28,32,31
503.485,0.984017,0.00346553,7,171,0,-502.567,1.90006,0.000197606,14.3452,15.639,18.0551,19.7497,21.093,22.0259,21.3572,22.8685,29.0455,27.2334,18,21,9,16,21,17,22,26,22,31
502.776,0.937189,0.00346553,6,115,0,-501.948,1.90043,0.000219836,15.6373,17.2141,20.1973,22.3172,24.0122,25.1965,24.3471,26.2712,34.2771,31.9065,10,20,16,15,20,23,32,23,39,30
503.558,1,0.00346553,2,7,0,-502.821,1.90044,0.000200748,14.5259,15.8578,18.3495,20.1005,21.4901,22.456,21.7636,23.329,29.7433,27.8591,14,16,18,23,22,22,12,27,40,23
503.615,0.993627,0.00346553,6,95,0,-503.331,1.90051,0.000204568,14.7428,16.1214,18.7065,20.5271,21.9741,22.981,22.2592,23.8918,30.6019,28.6276,11,16,18,17,24,21,25,21,24,37
503.291,0.979021,0.00346553,7,235,0,-502.975,1.90077,0.000198993,14.4324,15.7436,18.1942,19.9145,21.2788,22.2266,21.5473,23.0831,29.3673,27.5227,14,13,17,15,33,18,18,34,28,30
503.648,0.997739,0.00346553,6,115,0,-502.794,1.90018,0.000209815,15.0397,16.4839,19.2002,21.1191,22.6474,23.7123,22.9487,24.6767,31.8086,29.7056,17,14,13,20,27,21,21,22,26,27
500.457,0.409261,0.00346553,1,3,0,-498.582,1.90017,0.000176441,13.2205,14.2801,16.2346,17.5885,18.6529,19.3878,18.8614,20.0488,24.8203,23.4329,16,17,21,18,25,19,19,25,26,28
502.741,0.9874,0.00346553,7,143,0,-499.223,1.9011,0.000215178,15.3687,16.884,19.7431,21.7691,23.3862,24.5147,23.7054,25.5377,33.1327,30.8882,7,19,25,17,24,25,20,23,24,31
502.816,0.88814,0.00346553,4,23,0,-501.434,1.90122,0.000212181,15.1936,16.6698,19.4501,21.417,22.985,24.0782,23.2943,25.0687,32.4065,30.2407,16,17,19,22,18,22,24,27,29,34
503.197,0.901277,0.00346553,7,171,0,-501.236,1.89964,0.000216147,15.4037,16.9297,19.8104,21.853,23.4839,24.6222,23.8058,25.6545,33.3232,31.056,18,15,18,21,27,29,17,24,26,29
