# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000724231
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07533e-05
-7.08018e+06,0.999295,0.000724231,1,1,0,7.08021e+06,-1.86312,0.000790997,3.29529,4.65602,8.2748,11.85,15.421,18.3377,16.2089,21.3115,55.4983,42.8835,3,4,12,4,13,30,14,26,53,52
-7.08015e+06,0.962013,0.000724231,1,1,0,7.08018e+06,-1.86312,0.000798449,3.39157,4.80768,8.59076,12.3442,16.104,19.1811,16.9348,22.3233,58.6599,45.2165,3,3,8,10,17,10,16,30,57,44
-7.08001e+06,0.998843,0.000724231,3,7,0,7.08015e+06,-1.86308,0.000787383,3.24976,4.58443,8.1262,11.6181,15.101,17.943,15.869,20.8385,54.0299,41.7981,2,3,6,15,14,19,18,22,50,35
-7.07998e+06,1,0.000724231,1,1,0,7.08001e+06,-1.86307,0.00078397,3.20721,4.51767,7.98802,11.4029,14.8044,17.5774,15.554,20.4007,52.6767,40.7966,1,5,9,18,14,14,25,19,50,42
-7.07996e+06,0.994343,0.000724231,1,1,0,7.07998e+06,-1.86307,0.000779107,3.14755,4.42422,7.79517,11.103,14.3918,17.0694,15.1159,19.7927,50.807,39.411,1,7,11,10,11,18,16,19,54,52
-6.9582e+06,0.999994,0.000724231,7,127,0,7.07996e+06,-1.83057,0.000781049,3.27599,4.60867,8.13164,11.5925,15.036,17.841,15.7944,20.6951,53.2483,41.2786,6,5,2,7,14,17,15,23,52,31
-6.95807e+06,0.999556,0.000724231,2,3,0,6.9582e+06,-1.83054,0.000777749,3.23461,4.5439,7.99813,11.3851,14.7508,17.4899,15.4916,20.2751,51.9599,40.3232,3,5,10,12,16,16,16,19,52,55
-6.95804e+06,1,0.000724231,1,1,0,6.95807e+06,-1.83053,0.000778821,3.24807,4.56494,8.04143,11.4523,14.8432,17.6036,15.5896,20.4111,52.3761,40.632,1,3,9,7,18,17,14,21,52,49
-6.95801e+06,0.995469,0.000724231,1,1,0,6.95804e+06,-1.83052,0.000774722,3.19707,4.48522,7.8775,11.198,14.4938,17.1737,15.2187,19.8972,50.8049,39.4658,2,3,10,10,16,21,14,15,52,33
-6.95786e+06,0.978644,0.000724231,2,3,0,6.95801e+06,-1.83048,0.000764122,3.06891,4.28552,7.46899,10.5663,13.628,16.1104,14.3,18.6277,46.9572,36.6031,2,4,7,24,10,15,18,25,48,40
-6.95752e+06,0.992712,0.000724231,3,7,0,6.95787e+06,-1.83039,0.000788545,3.37285,4.7605,8.44543,12.0809,15.7086,18.6697,16.5087,21.6872,56.3095,43.5451,3,4,5,8,12,15,22,22,56,35
-6.95749e+06,1,0.000724231,2,3,0,6.95752e+06,-1.83038,0.000787309,3.35683,4.73532,8.39322,11.9995,15.5963,18.5312,16.3894,21.5214,55.7953,43.1649,3,7,7,9,12,19,16,24,63,41
-6.95693e+06,0.999897,0.000724231,3,7,0,6.95749e+06,-1.83023,0.000778562,3.24577,4.5612,8.03333,11.4394,14.8252,17.5812,15.5705,20.3842,52.2907,40.5691,0,9,8,13,16,20,11,15,60,41
-6.95691e+06,0.99505,0.000724231,1,1,0,6.95693e+06,-1.83022,0.000774451,3.19466,4.48131,7.86907,11.1846,14.4751,17.1507,15.1989,19.8695,50.7174,39.4013,6,2,5,7,13,24,16,15,54,44
