# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 2.01438e-17
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.04816e-05
-1.86779e+25,1,2.01438e-17,1,1,0,1.86781e+25,-0.367771,0.00786802,1.09721e+13,3.41612e+14,1.04164e+17,3.70725e+18,5.09243e+19,2.8527e+20,8.35984e+19,1.27202e+21,1.73423e+25,1.33399e+24,0,0,0,0,0,0,0,0,0,0
-1.86771e+25,1,2.01438e-17,2,3,0,1.86779e+25,-0.367771,0.00786801,1.09718e+13,3.41603e+14,1.04161e+17,3.70713e+18,5.09226e+19,2.8526e+20,8.35956e+19,1.27197e+21,1.73415e+25,1.33393e+24,0,0,0,0,0,0,0,0,0,0
-1.8677e+25,1,2.01438e-17,1,1,0,1.86771e+25,-0.367771,0.00786801,1.09718e+13,3.41601e+14,1.0416e+17,3.70711e+18,5.09222e+19,2.85257e+20,8.35949e+19,1.27196e+21,1.73413e+25,1.33392e+24,0,0,0,0,0,0,0,0,0,0
-1.86768e+25,1,2.01438e-17,1,1,0,1.8677e+25,-0.367771,0.00786801,1.09717e+13,3.41599e+14,1.0416e+17,3.70708e+18,5.09217e+19,2.85255e+20,8.35942e+19,1.27195e+21,1.73412e+25,1.33391e+24,0,0,0,0,0,0,0,0,0,0
-1.86642e+25,1,2.01438e-17,4,15,0,1.86768e+25,-0.367771,0.00786792,1.09679e+13,3.41466e+14,1.04112e+17,3.70523e+18,5.08949e+19,2.85099e+20,8.35497e+19,1.27123e+21,1.73295e+25,1.33305e+24,0,0,0,0,0,0,0,0,0,0
-1.86611e+25,1,2.01438e-17,3,7,0,1.86642e+25,-0.367771,0.00786789,1.09669e+13,3.41433e+14,1.041e+17,3.70477e+18,5.08882e+19,2.8506e+20,8.35385e+19,1.27105e+21,1.73265e+25,1.33283e+24,0,0,0,0,0,0,0,0,0,0
-1.86603e+25,1,2.01438e-17,2,3,0,1.86611e+25,-0.367771,0.00786789,1.09667e+13,3.41424e+14,1.04097e+17,3.70466e+18,5.08865e+19,2.8505e+20,8.35358e+19,1.27101e+21,1.73258e+25,1.33278e+24,0,0,0,0,0,0,0,0,0,0
-1.86601e+25,1,2.01438e-17,1,1,0,1.86603e+25,-0.367771,0.00786789,1.09666e+13,3.41422e+14,1.04096e+17,3.70463e+18,5.08861e+19,2.85048e+20,8.35351e+19,1.27099e+21,1.73256e+25,1.33277e+24,0,0,0,0,0,0,0,0,0,0
-1.86599e+25,1,2.01438e-17,1,1,0,1.86601e+25,-0.367771,0.00786789,1.09665e+13,3.4142e+14,1.04096e+17,3.7046e+18,5.08857e+19,2.85045e+20,8.35344e+19,1.27098e+21,1.73255e+25,1.33275e+24,0,0,0,0,0,0,0,0,0,0
-1.86597e+25,1,2.01438e-17,1,1,0,1.86599e+25,-0.367771,0.00786788,1.09665e+13,3.41418e+14,1.04095e+17,3.70457e+18,5.08853e+19,2.85043e+20,8.35337e+19,1.27097e+21,1.73253e+25,1.33274e+24,0,0,0,0,0,0,0,0,0,0
-1.86589e+25,1,2.01438e-17,2,3,0,1.86597e+25,-0.367771,0.00786788,1.09662e+13,3.4141e+14,1.04092e+17,3.70446e+18,5.08836e+19,2.85033e+20,8.35309e+19,1.27093e+21,1.73245e+25,1.33269e+24,0,0,0,0,0,0,0,0,0,0
-1.86587e+25,1,2.01438e-17,1,1,0,1.86589e+25,-0.367771,0.00786788,1.09662e+13,3.41408e+14,1.04091e+17,3.70443e+18,5.08832e+19,2.85031e+20,8.35302e+19,1.27092e+21,1.73244e+25,1.33267e+24,0,0,0,0,0,0,0,0,0,0
-1.86579e+25,1,2.01438e-17,2,3,0,1.86587e+25,-0.367771,0.00786787,1.09659e+13,3.41399e+14,1.04088e+17,3.70431e+18,5.08815e+19,2.85021e+20,8.35274e+19,1.27087e+21,1.73236e+25,1.33262e+24,0,0,0,0,0,0,0,0,0,0
-1.86577e+25,1,2.01438e-17,1,1,0,1.86579e+25,-0.367771,0.00786787,1.09659e+13,3.41397e+14,1.04088e+17,3.70429e+18,5.08811e+19,2.85019e+20,8.35267e+19,1.27086e+21,1.73234e+25,1.3326e+24,0,0,0,0,0,0,0,0,0,0
-1.86576e+25,1,2.01438e-17,1,1,0,1.86577e+25,-0.367771,0.00786787,1.09658e+13,3.41395e+14,1.04087e+17,3.70426e+18,5.08806e+19,2.85016e+20,8.3526e+19,1.27085e+21,1.73233e+25,1.33259e+24,0,0,0,0,0,0,0,0,0,0
-1.86574e+25,1,2.01438e-17,1,1,0,1.86576e+25,-0.367771,0.00786787,1.09658e+13,3.41393e+14,1.04086e+17,3.70423e+18,5.08802e+19,2.85014e+20,8.35253e+19,1.27084e+21,1.73231e+25,1.33258e+24,0,0,0,0,0,0,0,0,0,0
-1.86566e+25,1,2.01438e-17,2,3,0,1.86574e+25,-0.367771,0.00786786,1.09655e+13,3.41385e+14,1.04083e+17,3.70411e+18,5.08786e+19,2.85004e+20,8.35226e+19,1.27079e+21,1.73224e+25,1.33252e+24,0,0,0,0,0,0,0,0,0,0
-1.86564e+25,1,2.01438e-17,1,1,0,1.86566e+25,-0.367771,0.00786786,1.09655e+13,3.41383e+14,1.04082e+17,3.70408e+18,5.08781e+19,2.85002e+20,8.35219e+19,1.27078e+21,1.73222e+25,1.33251e+24,0,0,0,0,0,0,0,0,0,0
-1.86532e+25,1,2.01438e-17,3,7,0,1.86564e+25,-0.367771,0.00786784,1.09645e+13,3.4135e+14,1.04071e+17,3.70362e+18,5.08714e+19,2.84963e+20,8.35107e+19,1.2706e+21,1.73193e+25,1.3323e+24,0,0,0,0,0,0,0,0,0,0
