# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:26:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/lftp9qwk.json
# init = 2 (Default)
# random
#   seed = 52033
# output
#   file = /home/lab5/output/code2-20230416112658_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00373424
# Diagonal elements of inverse mass matrix:
# 1.08882e-05, 9.90111e-06
502.397,1,0.00373424,2,3,0,-502.042,1.8995,0.000188125,13.8216,15.0059,17.2052,18.7392,19.9507,20.7898,20.1886,21.5464,27.0541,25.4448,16,16,19,18,23,28,15,29,17,27
503.587,0.965188,0.00373424,2,7,0,-502.141,1.8995,0.000207615,14.9023,16.3175,18.976,20.8517,22.3443,23.3837,22.6384,24.3245,31.2712,29.2248,13,15,21,24,22,25,30,31,36,25
503.229,0.970663,0.00373424,6,107,0,-502.652,1.89901,0.000206428,14.8269,16.2266,18.854,20.7064,22.1798,23.2055,22.4702,24.1338,30.9815,28.9652,21,17,14,14,25,26,21,21,30,35
503,0.90879,0.00373424,7,163,0,-502.125,1.90036,0.00019243,14.0654,15.2994,17.5967,19.2031,20.4739,21.3552,20.7236,22.1504,27.9578,26.2578,12,18,23,13,26,30,25,17,32,24
503.661,0.892435,0.00373424,3,11,0,-501.991,1.90041,0.000205976,14.8217,16.2177,18.8375,20.684,22.1526,23.1747,22.4419,24.0996,30.9208,28.9127,18,19,20,18,16,20,18,16,37,31
503.274,0.961554,0.00373424,7,155,0,-502.977,1.89933,0.00019807,14.3604,15.6588,18.0841,19.7856,21.1346,22.0715,21.4,22.918,29.1247,27.3035,15,19,16,19,25,27,16,23,36,29
502.792,0.856589,0.00373424,5,35,0,-501.922,1.89934,0.000218682,15.5508,17.1102,20.0586,22.1523,23.8256,24.9944,24.1561,26.0548,33.9473,31.6114,12,18,25,26,23,26,19,19,37,33
501.61,0.67501,0.00373424,2,3,0,-500.124,1.89933,0.000183693,13.5845,14.72,16.823,18.2862,19.4397,20.2376,19.6659,20.9564,26.1726,24.6513,19,19,25,15,29,25,9,20,33,29
502.546,1,0.00373424,2,3,0,-501.75,1.89933,0.000190147,13.9275,15.1342,17.3778,18.9447,20.183,21.0412,20.4263,21.8153,27.4589,25.8085,17,18,12,23,20,26,23,19,43,35
502.693,1,0.00373424,2,3,0,-502.509,1.89934,0.000219511,15.6005,17.1712,20.1422,22.2529,23.9405,25.1195,24.2739,26.1893,34.1567,31.7978,16,20,26,21,17,26,28,25,40,30
503.661,0.999313,0.00373424,6,127,0,-501.828,1.90012,0.000201298,14.5521,15.8902,18.3944,20.1546,21.5519,22.5233,21.827,23.4014,29.8554,27.9591,19,13,17,22,17,27,21,17,28,27
503.548,0.995905,0.00373424,7,171,0,-503.462,1.89964,0.000210981,15.0996,16.5579,19.3027,21.2431,22.7893,23.8669,23.0942,24.8431,32.0683,29.9368,14,21,20,19,21,20,25,26,34,33
503.56,0.996229,0.00373424,7,179,0,-502.802,1.90057,0.00020784,14.9313,16.351,19.018,20.9,22.3977,23.4407,22.6929,24.3849,31.3574,29.3032,14,13,20,27,24,17,18,24,19,28
503.618,0.889406,0.00373424,6,67,0,-502.749,1.90028,0.000200902,14.5322,15.8657,18.3608,20.1142,21.5059,22.4732,21.7798,23.3476,29.7725,27.8851,13,24,28,23,25,19,17,30,26,26
503.62,0.998798,0.00373424,7,159,0,-503.548,1.89975,0.000201079,14.5343,15.8693,18.3672,20.1229,21.5164,22.4851,21.7907,23.3608,29.7957,27.9052,10,15,15,20,30,17,20,17,38,28
503.572,0.947031,0.00373424,2,3,0,-503.242,1.89975,0.000199863,14.4663,15.7866,18.2554,19.9894,21.365,22.3209,21.6357,23.1848,29.5278,27.6652,11,18,17,13,25,18,22,14,24,33
503.563,0.999112,0.00373424,2,3,0,-503.54,1.89975,0.000211369,15.1238,16.5873,19.3425,21.2906,22.8432,23.9255,23.1494,24.9059,32.1644,30.0227,17,12,16,21,21,22,27,24,38,37
503.669,0.774493,0.00373424,2,3,0,-501.965,1.89977,0.000202413,14.6099,15.961,18.4914,20.2712,21.6847,22.6675,21.963,23.5563,30.0936,28.1719,20,14,24,20,32,19,17,18,22,26
503.011,0.915144,0.00373424,7,147,0,-502.507,1.9002,0.000218458,15.5507,17.1085,20.0533,22.1441,23.8151,24.9821,24.1451,26.0409,33.9199,31.5883,17,22,20,24,23,29,30,22,31,35
503.715,0.979501,0.00373424,2,3,0,-502.83,1.90021,0.000204457,14.7321,16.109,18.6905,20.5085,21.9535,22.9588,22.2381,23.8682,30.5676,28.5966,13,14,18,23,16,15,18,23,34,39
503.462,0.928242,0.00373424,2,3,0,-503.36,1.90021,0.000213352,15.2471,16.737,19.5452,21.5331,23.1186,24.2245,23.4315,25.2266,32.6569,30.4627,9,25,26,23,24,24,32,26,37,27
502.605,0.744304,0.00373424,1,3,0,-501.69,1.90021,0.000188732,13.8639,15.0558,17.27,18.815,20.0354,20.8809,20.2751,21.6433,27.1957,25.5729,13,27,18,20,11,20,27,19,30,21
503.713,0.973586,0.00373424,2,3,0,-502.59,1.90022,0.000206657,14.8579,16.2622,18.8985,20.7574,22.2361,23.2656,22.5275,24.1973,31.0717,29.0473,9,19,23,16,20,19,16,26,35,29
503.546,0.960789,0.00373424,1,3,0,-503.538,1.90022,0.000211912,15.1626,16.6338,19.4044,21.364,22.9261,24.0151,23.2342,25.0018,32.3094,30.1528,14,23,10,21,34,26,23,18,30,29
503.588,0.990228,0.00373424,7,183,0,-503.065,1.89948,0.000204297,14.7123,16.0862,18.6619,20.4756,21.9171,22.9199,22.201,23.8271,30.5091,28.5433,7,10,28,28,20,25,22,14,32,31
503.677,0.999389,0.00373424,6,83,0,-503.549,1.8997,0.000203955,14.696,16.066,18.6339,20.4417,21.8783,22.8776,22.1612,23.7816,30.4382,28.4802,18,13,23,19,16,30,18,36,29,26
502.639,0.877952,0.00373424,6,87,0,-502.348,1.89948,0.000190089,13.9266,15.1328,17.3755,18.9416,20.1794,21.0371,20.4225,21.8108,27.4513,25.8018,15,20,10,13,17,24,23,22,35,26
503.59,0.980313,0.00373424,1,3,0,-502.628,1.89948,0.000206725,14.8509,16.255,18.8911,20.7499,22.2286,23.2581,22.52,24.1898,31.0646,29.0401,19,13,26,16,25,24,17,24,38,19
503.192,0.978396,0.00373424,6,75,0,-503.134,1.89914,0.00021185,15.1426,16.6114,19.3773,21.3336,22.893,23.9801,23.2006,24.965,32.2596,30.1068,23,15,21,23,25,31,27,22,28,33
502.942,0.999988,0.00373424,7,131,0,-502.266,1.89887,0.000211539,15.1204,16.5848,19.342,21.2917,22.8456,23.9289,23.1521,24.9102,32.1767,30.0325,12,18,21,16,14,20,21,22,32,27
501.93,0.720413,0.00373424,5,51,0,-499.998,1.899,0.000187601,13.7867,14.9646,17.1512,18.676,19.88,20.7137,20.1163,21.4654,26.9353,25.3374,10,16,18,21,21,16,15,20,38,26
502.074,1,0.00373424,2,3,0,-501.847,1.89902,0.000222241,15.761,17.3685,20.4141,22.5813,24.3159,25.5286,24.6587,26.6297,34.846,32.4107,16,19,21,19,21,29,26,21,39,35
502.712,1,0.00373424,1,1,0,-502.181,1.89902,0.000216909,15.4396,16.9748,19.8741,21.9309,23.5736,24.7204,23.8979,25.7605,33.4918,31.2053,16,20,30,23,26,21,16,19,24,23
502.903,0.970146,0.00373424,7,135,0,-501.59,1.89926,0.000193941,14.1322,15.3821,17.7113,19.3415,20.6318,21.527,20.8854,22.335,28.2424,26.512,11,25,17,27,26,20,22,19,26,22
502.706,0.990201,0.00373424,5,43,0,-502.419,1.89901,0.000194178,14.1416,15.394,17.728,19.3618,20.6551,21.5524,20.9093,22.3624,28.2851,26.5501,12,14,15,19,21,29,18,22,31,31
503.321,0.914704,0.00373424,6,67,0,-501.696,1.89913,0.000203363,14.6541,16.016,18.5679,20.3639,21.7907,22.7831,22.0716,23.6806,30.2872,28.3444,14,18,19,24,20,17,16,27,34,20
