# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:26:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/lftp9qwk.json
# init = 2 (Default)
# random
#   seed = 52033
# output
#   file = /home/lab5/output/code2-20230416112658_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00353077
# Diagonal elements of inverse mass matrix:
# 1.10855e-05, 9.90112e-06
503.029,0.9511,0.00353077,7,131,0,-498.979,1.90007,0.000192203,14.049,15.28,17.5715,19.1737,20.441,21.3198,20.69,22.1127,27.9026,26.2079,11,16,11,15,20,21,20,23,21,26
503.723,0.978641,0.00353077,1,3,0,-502.889,1.90007,0.000207334,14.8947,16.3072,18.9601,20.8316,22.3206,23.3575,22.6141,24.296,31.2239,29.1832,11,17,22,18,26,25,26,26,26,30
503.453,0.954105,0.00353077,6,107,0,-503.277,1.89991,0.000197213,14.3212,15.6102,18.0167,19.7042,21.0416,21.9703,21.3047,22.8092,28.9564,27.1534,12,14,15,18,14,36,29,15,25,31
503.386,0.94776,0.00353077,6,119,0,-501.713,1.9008,0.000202122,14.6085,15.9575,18.4834,20.2597,21.6703,22.6511,21.948,23.5379,30.0595,28.1427,15,14,24,20,19,22,21,26,32,28
503.458,0.908396,0.00353077,7,151,0,-501.958,1.90003,0.000197182,14.3212,15.61,18.0161,19.7033,21.0404,21.9689,21.3034,22.8076,28.9533,27.1507,11,14,17,17,16,20,29,30,24,30
502.22,0.762314,0.00353077,6,91,0,-500.386,1.89992,0.000185946,13.7114,14.8721,17.0248,18.5245,19.7077,20.5269,19.94,21.265,26.6305,25.0642,23,16,16,21,17,18,21,20,20,21
503.431,0.990984,0.00353077,1,3,0,-502.49,1.89992,0.000196864,14.3021,15.5869,17.9853,19.6668,20.9992,21.9244,21.2613,22.7599,28.8817,27.0863,9,17,17,17,22,22,15,23,25,23
502.826,0.825225,0.00353077,6,103,0,-501.105,1.90003,0.000190382,13.95,15.1603,17.4107,18.9825,20.225,21.086,20.469,21.8627,27.5264,25.8699,13,17,20,17,23,25,20,27,32,31
502.747,0.990355,0.00353077,6,119,0,-500.616,1.89918,0.000192955,14.0774,15.3159,17.6224,19.2358,20.5123,21.3977,20.7632,22.1967,28.0341,26.3249,13,12,22,19,22,18,24,20,34,33
503.12,0.998533,0.00353077,6,115,0,-501,1.89923,0.000214231,15.2839,16.7839,19.6125,21.6159,23.2143,24.3294,23.5297,25.3401,32.8387,30.6235,19,13,17,20,38,28,25,27,36,34
502.243,0.867861,0.00353077,5,63,0,-500.776,1.89872,0.000218223,15.5136,17.0659,19.9999,22.0828,23.7473,24.9097,24.076,25.9643,33.8105,31.4887,14,18,25,22,20,22,28,25,34,35
503.264,0.999671,0.00353077,7,215,0,-500.742,1.89994,0.000194699,14.1832,15.4428,17.7909,19.4351,20.7369,21.6402,20.9928,22.4557,28.4211,26.6732,12,11,24,18,19,26,22,29,30,26
502.994,0.986417,0.00353077,7,155,0,-502.477,1.90037,0.000192394,14.0636,15.2971,17.5936,19.1994,20.4697,21.3507,20.7194,22.1456,27.9505,26.2513,17,23,19,12,18,25,17,24,24,20
503.057,0.978512,0.00353077,4,31,0,-502.517,1.90032,0.000192882,14.0894,15.3285,17.636,19.2499,20.5269,21.4126,20.7779,22.2119,28.0507,26.3412,10,13,14,23,12,23,18,24,31,24
502.407,0.938362,0.00353077,2,7,0,-502.261,1.90034,0.000222805,15.8161,17.4335,20.499,22.681,24.4278,25.6493,24.7731,26.7584,35.0383,32.5836,14,16,15,17,17,28,30,21,43,20
502.522,0.997329,0.00353077,5,63,0,-501.758,1.90062,0.000221051,15.7138,17.3075,20.3248,22.4704,24.1868,25.3865,24.526,26.4755,34.5944,32.1891,14,19,24,27,17,23,24,17,28,40
503.257,0.907213,0.00353077,7,143,0,-499.377,1.90098,0.00020753,14.9194,16.3357,18.996,20.8728,22.3663,23.4063,22.6606,24.3476,31.2977,29.2503,17,22,15,19,15,24,26,36,23,31
502.152,0.827515,0.00353077,7,163,0,-500.793,1.89974,0.000224592,15.9163,17.5576,20.6717,22.8907,24.6683,25.912,25.0199,27.0417,35.4859,32.9806,14,19,19,19,23,24,27,30,33,31
503.699,0.985347,0.00353077,4,23,0,-501.73,1.89982,0.000203306,14.661,16.0232,18.5754,20.3716,21.7985,22.791,22.0795,23.6886,30.2953,28.3525,17,11,14,13,23,18,26,20,36,36
503.647,0.999674,0.00353077,6,79,0,-503.638,1.89966,0.000208101,14.9326,16.3543,19.0255,20.9106,22.4111,23.4561,22.7068,24.4021,31.3894,29.3305,15,11,14,21,23,30,23,27,50,30
503.321,0.859981,0.00353077,6,99,0,-502.117,1.90009,0.00019535,14.2212,15.4885,17.852,19.5077,20.8188,21.7288,21.0766,22.5505,28.5635,26.8012,14,22,15,15,25,21,20,22,37,28
503.602,1,0.00353077,1,1,0,-503.383,1.90009,0.000199767,14.4659,15.7855,18.2529,19.9857,21.3604,22.3156,21.6309,23.1789,29.5169,27.6559,17,20,16,9,33,26,19,25,29,27
503.624,0.998889,0.00353077,7,183,0,-503.297,1.89997,0.000210752,15.091,16.5469,19.2867,21.2232,22.7662,23.8416,23.0705,24.8156,32.024,29.8976,7,17,26,27,18,14,27,19,35,32
503.599,0.986831,0.00353077,6,91,0,-503.439,1.90002,0.000211315,15.1247,16.5879,19.3424,21.2899,22.842,23.924,23.1482,24.904,32.1599,30.0191,12,18,25,22,20,27,14,16,29,36
502.513,0.858701,0.00353077,2,3,0,-502.398,1.90001,0.000222487,15.7916,17.4041,20.4597,22.6343,24.3749,25.5919,24.7189,26.697,34.9444,32.4996,16,20,20,19,19,30,25,28,36,35
503.179,0.988598,0.00353077,6,111,0,-501.237,1.89906,0.000210695,15.0741,16.5279,19.2638,21.1975,22.7381,23.8119,23.0419,24.7845,31.9815,29.8585,21,19,23,16,21,17,22,26,39,24
503.59,0.999918,0.00353077,6,107,0,-502.723,1.89966,0.000200989,14.528,15.8618,18.3574,20.1112,21.5033,22.471,21.7774,23.3457,29.7732,27.8849,20,13,16,19,25,17,18,24,25,22
