# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 10:46:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/cg9987f_.json
# init = 2 (Default)
# random
#   seed = 45806
# output
#   file = /home/lab5/output/code3-20230416104642_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,7.36657e-05,2.49943,2.4997,2.5008,2.50072,2.49993,2.50016,2.50136,2.4989,2.49937,2.49977,16.1837,16.7175,17.6568,18.2558,18.6943,19.0027,18.8082,19.2464,21.0505,20.5592,13,21,20,21,16,18,15,24,20,24
0,0,0.000175462,2.50017,2.50066,2.50175,2.49901,2.50042,2.50182,2.50021,2.49974,2.49961,2.50132,23.9982,25.9233,29.4825,31.8398,33.8032,35.1765,34.1718,36.2937,44.8724,42.4501,19,24,25,35,33,38,30,43,46,44
0,0,0.00014384,2.49964,2.49781,2.50075,2.49972,2.50025,2.50131,2.49874,2.49899,2.50136,2.49846,21.2274,22.5634,25.1244,26.7921,28.1217,29.0525,28.3348,29.7882,35.5354,33.8093,15,22,27,30,28,24,29,32,34,35
0,0,7.41381e-05,2.50071,2.50079,2.50067,2.50059,2.5001,2.50105,2.49921,2.49978,2.50069,2.49967,16.2339,16.7699,17.6964,18.3007,18.7489,19.0739,18.82,19.3201,21.1525,20.6264,14,16,19,20,20,18,20,15,29,16
0,0,8.88703e-05,2.49912,2.50001,2.50031,2.50024,2.50212,2.50048,2.50004,2.49819,2.50081,2.50163,17.1573,17.8527,19.0499,19.8327,20.467,20.8351,20.5391,21.1413,23.6033,22.9479,20,17,19,21,17,25,18,28,26,22
0,0,-2.27757e-05,2.50035,2.50155,2.50162,2.50032,2.49988,2.50071,2.49931,2.50042,2.50134,2.50029,11.1604,11.0631,10.8822,10.7562,10.6703,10.626,10.6489,10.5771,10.299,10.3649,6,14,10,17,9,13,10,6,14,17
0,0,9.02161e-05,2.49738,2.50015,2.50166,2.5006,2.5,2.50049,2.49847,2.50015,2.50031,2.49995,17.2167,17.9588,19.2051,19.9868,20.5841,21.0051,20.6696,21.361,23.8287,23.1296,21,18,16,32,20,24,26,25,21,14
0,0,0.000128852,2.4984,2.50013,2.50005,2.49961,2.50119,2.49793,2.49876,2.50005,2.50084,2.49917,20.0084,21.2041,23.2846,24.6765,25.799,26.451,25.9462,27.1641,31.7723,30.4145,17,18,21,29,20,24,30,22,44,43
0,0,0.000124557,2.50047,2.50068,2.49825,2.50013,2.50043,2.4997,2.49971,2.50132,2.50056,2.49987,19.7201,20.8276,22.7463,24.1149,25.1438,25.8202,25.3235,26.4813,30.7654,29.521,16,23,24,28,26,20,18,33,33,26
0,0,-1.56633e-05,2.50076,2.5014,2.50162,2.50076,2.50102,2.50072,2.49813,2.50043,2.4982,2.49874,11.4759,11.405,11.2783,11.1887,11.1334,11.0919,11.0904,11.0558,10.8241,10.8854,17,8,17,6,8,11,13,17,15,12
