# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 10:46:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/cg9987f_.json
# init = 2 (Default)
# random
#   seed = 45806
# output
#   file = /home/lab5/output/code3-20230416104642_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,6.89229e-05,2.49871,2.49899,2.50162,2.50048,2.49863,2.50015,2.49928,2.49916,2.49972,2.50017,15.8785,16.3686,17.2549,17.783,18.1623,18.4666,18.2532,18.6914,20.3285,19.8858,14,12,21,13,14,19,20,14,29,17
0,0,8.14403e-05,2.50063,2.49836,2.50009,2.49969,2.50114,2.49916,2.50091,2.50023,2.50024,2.49937,16.6971,17.2627,18.3475,19.0309,19.5825,19.8954,19.6786,20.2272,22.3223,21.7187,15,17,14,34,28,16,20,19,19,20
0,0,0.000137249,2.499,2.49944,2.49894,2.50035,2.50193,2.49931,2.50027,2.4982,2.50158,2.49957,20.6805,21.9686,24.2616,25.8578,27.11,27.864,27.2999,28.5684,33.8436,32.2978,16,19,23,28,22,26,28,32,27,35
0,0,7.16031e-05,2.49934,2.50061,2.50041,2.49969,2.50076,2.5007,2.50169,2.50029,2.50108,2.50172,16.0538,16.585,17.4677,18.032,18.4868,18.778,18.5877,19.0273,20.7657,20.2997,12,16,14,18,29,15,25,15,24,19
0,0,0.000137865,2.49938,2.49934,2.50133,2.4992,2.50021,2.5004,2.50008,2.50141,2.49989,2.49989,20.7377,22.0246,24.3949,25.9153,27.1603,27.9982,27.3938,28.7704,33.9417,32.4499,24,23,37,26,30,28,27,36,29,35
0,0,9.32021e-05,2.49975,2.49799,2.49958,2.50043,2.49928,2.50031,2.49947,2.49924,2.50171,2.49717,17.4579,18.1516,19.4551,20.3133,20.9294,21.383,21.0567,21.7418,24.3976,23.5602,24,13,15,20,21,21,22,26,22,20
0,0,0.000173037,2.50027,2.5002,2.50151,2.50178,2.50102,2.50026,2.50054,2.5015,2.49897,2.49926,23.7767,25.6427,29.1183,31.5066,33.3499,34.6118,33.6994,35.813,44.0425,41.6386,19,34,30,31,30,28,26,27,40,49
0,0,7.48937e-05,2.50171,2.49982,2.49788,2.50082,2.50018,2.50035,2.49884,2.50046,2.49993,2.50034,16.2977,16.8081,17.7143,18.3808,18.833,19.1477,18.8968,19.4242,21.2555,20.7513,14,19,25,12,32,18,20,17,19,18
0,0,7.69055e-05,2.49911,2.50053,2.50024,2.4987,2.50093,2.49987,2.50077,2.49841,2.4985,2.50159,16.3823,16.9662,17.9366,18.5453,19.0688,19.3722,19.1585,19.6287,21.5449,21.0765,19,15,17,19,22,17,14,13,22,21
0,0,8.68454e-05,2.50099,2.50045,2.50056,2.50128,2.49974,2.50017,2.50092,2.49942,2.50091,2.49946,17.0555,17.7057,18.8617,19.6343,20.1793,20.5757,20.3139,20.9022,23.2529,22.5711,20,19,18,9,18,17,24,22,21,22
0,0,0.000108039,2.50035,2.50024,2.50143,2.5015,2.50076,2.5015,2.49874,2.50039,2.50056,2.49959,18.4987,19.391,21.0004,22.0578,22.8489,23.4132,22.9586,23.8722,27.2109,26.2436,19,22,15,22,23,27,26,32,29,28
0,0,8.74706e-05,2.4996,2.5017,2.50051,2.50031,2.49992,2.50007,2.50147,2.49932,2.50128,2.50044,17.073,17.7755,18.9201,19.6827,20.2564,20.6513,20.4,20.9817,23.3699,22.6939,13,18,17,23,21,20,21,27,25,22
0,0,0.000102223,2.50032,2.49852,2.50114,2.49922,2.499,2.50096,2.50128,2.50079,2.49997,2.49893,18.0872,18.8795,20.3893,21.3168,22.0501,22.5936,22.2434,23.0328,26.0441,25.1643,10,17,22,14,26,23,16,18,30,18
0,0,-9.09196e-06,2.50009,2.50062,2.49982,2.49959,2.50047,2.49976,2.49974,2.50217,2.50007,2.49789,11.7631,11.7227,11.6362,11.5855,11.5607,11.5295,11.5456,11.5374,11.3872,11.3961,10,11,11,7,8,13,11,10,12,18
0,0,0.000100091,2.50176,2.49982,2.4996,2.50026,2.50067,2.49984,2.50021,2.50006,2.49982,2.49989,17.9646,18.7315,20.1409,21.0912,21.8149,22.28,21.9429,22.7127,25.6307,24.8098,18,21,20,24,32,28,22,22,27,21
0,0,0.000106771,2.50159,2.50245,2.50053,2.50088,2.49912,2.49874,2.50193,2.50045,2.49921,2.49998,18.4311,19.3282,20.8481,21.8912,22.6437,23.1707,22.8608,23.686,26.9192,26.0182,16,15,21,21,22,29,17,27,21,31
0,0,0.000168832,2.4988,2.50254,2.49905,2.49893,2.49886,2.49959,2.501,2.50008,2.50106,2.50099,23.3595,25.2422,28.4392,30.7011,32.4744,33.7222,32.892,34.8385,42.7765,40.4831,20,24,34,26,51,28,43,28,42,46
0,0,7.06443e-05,2.49988,2.50048,2.50213,2.49814,2.49986,2.49808,2.49891,2.50227,2.5006,2.49949,16.0031,16.5147,17.4138,17.9097,18.3676,18.6207,18.432,18.9516,20.6083,20.1169,14,15,35,20,21,15,12,22,24,28
0,0,0.000111251,2.49889,2.49953,2.49947,2.50114,2.49839,2.49996,2.50115,2.50009,2.49759,2.50125,18.7025,19.6467,21.3004,22.4413,23.2243,23.8345,23.4524,24.3469,27.7855,26.8942,16,17,19,21,20,26,30,23,23,32
0,0,-5.36661e-06,2.49921,2.50034,2.5015,2.5011,2.50007,2.50042,2.50097,2.49924,2.50018,2.49959,11.9231,11.9086,11.8761,11.8423,11.8091,11.7994,11.8157,11.7734,11.7082,11.7218,11,10,18,19,6,7,12,15,21,9
0,0,8.13247e-05,2.5003,2.49918,2.50066,2.50116,2.50062,2.50016,2.49866,2.49925,2.50057,2.49973,16.6842,17.2684,18.3473,19.0468,19.5592,19.9015,19.6212,20.193,22.3106,21.7085,20,13,21,20,25,25,18,15,21,16
0,0,2.81505e-05,2.49886,2.50073,2.5008,2.49927,2.50105,2.49978,2.49927,2.49864,2.49921,2.49917,13.5666,13.7601,14.0456,14.2045,14.364,14.4344,14.3638,14.4952,15.006,14.8684,11,15,10,11,16,19,16,11,18,17
0,0,7.05298e-05,2.4998,2.49891,2.49962,2.50036,2.4996,2.50089,2.5006,2.50162,2.5007,2.50138,15.9947,16.4806,17.3601,17.9381,18.3505,18.6603,18.4506,18.9257,20.5928,20.1386,13,20,20,23,7,18,12,18,19,18
0,0,9.59613e-05,2.49882,2.49994,2.49975,2.49989,2.50055,2.49995,2.49849,2.49992,2.49998,2.50159,17.6284,18.4041,19.7302,20.6115,21.295,21.7341,21.38,22.1334,24.86,24.1331,19,19,23,20,16,29,22,24,25,21
0,0,0.000111576,2.5002,2.50017,2.49914,2.5004,2.50051,2.50117,2.50105,2.49849,2.50101,2.49996,18.7505,19.6867,21.3282,22.4648,23.3178,23.9103,23.495,24.3572,27.9483,26.9217,18,26,19,26,24,23,29,25,31,23
0,0,0.000105598,2.4987,2.49778,2.5004,2.50062,2.49955,2.50123,2.49819,2.49958,2.50093,2.4991,18.295,19.1413,20.723,21.7453,22.4997,23.0648,22.6191,23.4934,26.7316,25.7797,14,10,18,37,25,22,23,30,31,30
0,0,0.000148911,2.50067,2.50126,2.49958,2.50136,2.5002,2.50028,2.49723,2.49954,2.49938,2.49985,21.6697,23.1402,25.7428,27.5924,28.9616,29.9238,29.1478,30.76,36.8272,35.0985,32,22,24,25,27,31,25,33,33,29
0,0,2.21832e-05,2.50005,2.5006,2.49944,2.50024,2.49957,2.49904,2.49993,2.49934,2.50023,2.50029,13.2732,13.4098,13.612,13.7608,13.8536,13.9137,13.878,13.9766,14.3697,14.267,13,9,11,20,14,13,19,19,19,7
