# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:05:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/8qagaqkr.json
# init = 2 (Default)
# random
#   seed = 66003
# output
#   file = /home/lab5/output/code3-20230416110526_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,6.65238e-05,2.49955,2.49819,2.50035,2.50076,2.50103,2.50033,2.49821,2.49993,2.50004,2.50003,15.7451,16.1876,17.0263,17.5557,17.9538,18.2045,17.9784,18.4288,19.9755,19.5468,15,16,19,20,24,21,19,13,33,16
0,0,7.11949e-05,2.49896,2.49874,2.50006,2.50031,2.50196,2.50046,2.49951,2.50072,2.49944,2.50065,16.0224,16.5251,17.4259,18.0028,18.4652,18.7272,18.5028,18.9873,20.669,20.2192,22,17,10,19,20,19,27,28,20,28
0,0,0.000158258,2.49873,2.49992,2.50036,2.49931,2.50037,2.49973,2.50237,2.4997,2.50007,2.49989,22.4228,24.057,27.0023,28.9835,30.5843,31.6425,30.9526,32.6075,39.5042,37.511,29,18,30,37,33,28,39,34,27,48
0,0,4.02808e-05,2.50023,2.50021,2.49977,2.50137,2.50145,2.49945,2.50017,2.49988,2.49796,2.49944,14.2369,14.4895,14.9134,15.213,15.4197,15.5252,15.4391,15.6511,16.4014,16.2115,17,12,16,17,16,17,14,17,14,20
0,0,9.39699e-05,2.49965,2.49962,2.49911,2.50027,2.49876,2.50107,2.49838,2.49812,2.49884,2.4992,17.5079,18.2414,19.5212,20.3956,21.0121,21.4987,21.1289,21.8216,24.4669,23.7373,20,22,16,27,22,19,27,26,12,19
0,0,0.000185579,2.50112,2.49981,2.49914,2.49852,2.50113,2.50008,2.49881,2.49886,2.49921,2.49955,24.9784,27.0529,30.9397,33.6387,35.8767,37.3256,36.2145,38.618,48.3572,45.5339,31,30,23,42,37,33,40,33,57,47
0,0,9.91291e-05,2.50151,2.50089,2.49916,2.50013,2.49967,2.4993,2.49941,2.49827,2.4998,2.49945,17.8937,18.6742,20.035,20.9777,21.6717,22.1391,21.8018,22.5368,25.4478,24.6299,17,19,22,24,24,23,24,26,26,39
0,0,0.000103651,2.49997,2.50112,2.49876,2.49978,2.50094,2.49973,2.50095,2.50077,2.50007,2.49994,18.1809,19.0453,20.4876,21.4965,22.2772,22.7611,22.4235,23.2381,26.3247,25.4467,26,19,19,23,30,22,25,19,36,24
0,0,4.54157e-05,2.50005,2.49994,2.50037,2.5008,2.49946,2.50153,2.4998,2.49945,2.50188,2.50014,14.5195,14.8088,15.3126,15.6383,15.8553,16.047,15.9062,16.1524,17.1064,16.8257,17,13,9,9,19,17,23,9,19,13
0,0,8.82811e-05,2.49927,2.49948,2.50029,2.50041,2.49842,2.50047,2.49979,2.5,2.49916,2.49998,17.1209,17.798,18.9933,19.7722,20.3217,20.7609,20.463,21.1021,23.4614,22.8144,19,14,14,24,17,17,24,22,20,20
