# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:05:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/8qagaqkr.json
# init = 2 (Default)
# random
#   seed = 66003
# output
#   file = /home/lab5/output/code3-20230416110526_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
0,0,5.54753e-05,2.50085,2.49969,2.50031,2.50033,2.50094,2.49928,2.49951,2.50112,2.49818,2.49713,15.1069,15.4597,16.1059,16.5171,16.8353,17.0128,16.87,17.2247,18.3664,18.0184,22,12,22,18,14,15,17,15,17,12
0,0,-4.50532e-06,2.49986,2.49897,2.49986,2.50031,2.50083,2.50013,2.50047,2.49917,2.50033,2.50061,11.9706,11.9365,11.908,11.8891,11.8774,11.8573,11.8697,11.8358,11.7852,11.8058,21,5,16,8,11,12,13,13,7,13
0,0,0.000121273,2.50078,2.50039,2.49917,2.49743,2.49896,2.50075,2.49756,2.50011,2.50133,2.4992,19.4774,20.5296,22.3944,23.6208,24.6319,25.3401,24.7859,25.9141,30.0468,28.8206,25,19,22,25,22,34,29,31,26,21
0,0,2.33953e-05,2.50071,2.50051,2.4996,2.5001,2.50071,2.50052,2.50092,2.50015,2.50222,2.50001,13.3443,13.4787,13.6974,13.8506,13.9674,14.0365,13.9911,14.0939,14.5286,14.3864,16,15,11,13,10,19,15,13,11,23
0,0,0.000157767,2.49839,2.49948,2.49994,2.49906,2.50103,2.50049,2.49986,2.50105,2.49922,2.50138,22.3728,23.9958,26.9244,28.8981,30.5171,31.5728,30.786,32.5519,39.3264,37.4359,30,31,28,31,32,33,30,29,47,33
0,0,0.000103989,2.50001,2.49865,2.4978,2.50044,2.49901,2.50083,2.50035,2.50116,2.50013,2.49861,18.2054,19.026,20.5025,21.5507,22.278,22.8327,22.4546,23.296,26.3925,25.474,19,17,16,34,25,17,15,19,32,23
0,0,0.00015094,2.49879,2.4991,2.49782,2.49962,2.50115,2.50098,2.50147,2.50064,2.50005,2.49915,21.7992,23.2928,25.961,27.8526,29.3331,30.3139,29.623,31.185,37.412,35.5834,14,20,30,31,29,27,36,39,35,38
0,0,6.31511e-05,2.50095,2.49991,2.50024,2.49837,2.50021,2.49998,2.50151,2.50037,2.50048,2.5012,15.5631,15.982,16.7383,17.193,17.5907,17.8315,17.6838,18.0539,19.4896,19.1063,18,18,17,21,22,20,20,18,18,14
0,0,9.35505e-05,2.49909,2.49964,2.49914,2.50012,2.5013,2.49945,2.50201,2.50104,2.50035,2.49823,17.4698,18.2089,19.4806,20.3457,21.0143,21.4097,21.1535,21.8282,24.4276,23.6437,20,18,15,16,13,26,18,16,21,25
0,0,7.76031e-05,2.50035,2.49961,2.4999,2.4988,2.50108,2.50054,2.50244,2.50033,2.50051,2.49833,16.4467,17.0015,17.9935,18.6183,19.1492,19.467,19.2693,19.752,21.7005,21.1123,21,10,18,21,19,23,15,19,22,28
0,0,0.000186576,2.50018,2.49984,2.49961,2.49819,2.50026,2.50172,2.49903,2.49913,2.50001,2.50071,25.0512,27.17,31.1098,33.8119,36.0537,37.6124,36.4351,38.8688,48.7562,45.9109,25,34,37,44,44,37,33,40,49,51
0,0,8.50013e-05,2.50014,2.5009,2.49881,2.50154,2.50042,2.50047,2.50022,2.50094,2.49767,2.49978,16.9201,17.5737,18.6549,19.442,19.9776,20.354,20.0809,20.6952,22.8622,22.2844,18,15,12,24,22,19,15,25,27,23
0,0,9.35598e-05,2.49987,2.49875,2.49968,2.50045,2.49881,2.50052,2.50044,2.49944,2.50331,2.50115,17.4841,18.1934,19.4921,20.3534,20.9631,21.4337,21.1216,21.7946,24.5017,23.7143,13,15,14,26,21,17,22,16,29,19
