# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/hiim9402.json
# init = 2 (Default)
# random
#   seed = 92123
# output
#   file = /home/lab5/output/code3-20230416112911_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,0.000135221,2.49979,2.49886,2.50032,2.49996,2.50208,2.50048,2.49878,2.50046,2.49952,2.50072,20.5354,21.7651,24.0485,25.562,26.7959,27.5573,26.9363,28.274,33.2685,31.8723,24,18,32,27,23,30,20,26,31,27
0,0,6.18379e-05,2.4999,2.49965,2.49943,2.50212,2.49983,2.50006,2.50071,2.50054,2.50098,2.50017,15.4681,15.8879,16.6148,17.1338,17.4504,17.6922,17.5338,17.9099,19.3099,18.9093,18,12,16,14,12,24,24,19,19,16
0,0,0.000140728,2.5009,2.49895,2.49927,2.49891,2.50045,2.49962,2.50025,2.50076,2.50073,2.50031,21.0002,22.2888,24.6976,26.3178,27.6228,28.4637,27.8634,29.2684,34.7009,33.1309,21,28,35,25,22,22,28,31,40,43
0,0,0.000103418,2.50006,2.49982,2.49701,2.49941,2.50032,2.49931,2.50217,2.49996,2.49904,2.50178,18.1662,19.0015,20.4277,21.4613,22.2335,22.7197,22.4202,23.1855,26.2521,25.4516,19,13,17,27,13,20,15,20,35,29
0,0,0.000104123,2.4998,2.50188,2.50092,2.50087,2.49985,2.50081,2.50135,2.50048,2.49993,2.49845,18.2109,19.0985,20.5806,21.5756,22.314,22.8508,22.4947,23.2997,26.4135,25.4943,16,20,20,33,22,27,21,23,28,26
0,0,6.44441e-05,2.49937,2.50202,2.49868,2.49953,2.5022,2.50051,2.50091,2.49911,2.50061,2.50044,15.6163,16.105,16.8212,17.3354,17.7587,17.9807,17.8081,18.1768,19.6804,19.268,11,11,18,14,17,15,18,19,15,24
0,0,9.78692e-05,2.50061,2.5,2.50185,2.50091,2.50039,2.49958,2.50031,2.49981,2.50046,2.49877,17.7907,18.5569,19.9622,20.8495,21.529,21.9777,21.6604,22.3952,25.2272,24.3937,21,32,18,18,28,34,16,21,16,20
0,0,2.7861e-05,2.49865,2.49895,2.49838,2.49946,2.50063,2.49853,2.50092,2.50162,2.50011,2.5014,13.5485,13.7185,13.9913,14.1848,14.3337,14.3912,14.3631,14.5124,14.9872,14.8709,12,13,4,11,14,13,16,10,11,13
0,0,9.82547e-05,2.50056,2.50036,2.50135,2.50191,2.50007,2.4993,2.49923,2.49803,2.50087,2.50029,17.8163,18.5943,19.9909,20.9145,21.5704,22.0225,21.6862,22.4092,25.3099,24.4979,22,25,23,21,26,20,17,18,22,22
0,0,0.000121454,2.50048,2.50075,2.4987,2.49948,2.49895,2.50062,2.50004,2.49956,2.50088,2.49965,19.4853,20.5528,22.4042,23.6928,24.6577,25.3647,24.8742,25.9293,30.0736,28.8706,17,26,12,19,21,24,25,25,39,30
0,0,9.75641e-05,2.49907,2.50051,2.49911,2.49905,2.49984,2.49839,2.50159,2.49977,2.50079,2.50078,17.7425,18.5419,19.877,20.776,21.479,21.9111,21.6494,22.3519,25.1784,24.3899,17,22,25,13,20,20,28,18,30,29
0,0,0.000110641,2.50183,2.50045,2.50167,2.50007,2.49806,2.49882,2.49985,2.50006,2.49964,2.50045,18.7134,19.6133,21.2821,22.3426,23.1347,23.7201,23.3381,24.2541,27.7166,26.7566,20,18,26,22,24,17,28,28,24,21
0,0,0.000152124,2.50043,2.49906,2.49972,2.50182,2.50034,2.49945,2.49954,2.49916,2.49999,2.50022,21.935,23.4107,26.1655,28.0954,29.5117,30.4842,29.7721,31.3692,37.74,35.9224,27,28,26,16,41,25,33,32,33,36
0,0,0.000164907,2.49982,2.50028,2.49994,2.50071,2.50061,2.49907,2.50127,2.4994,2.49943,2.49878,23.0315,24.7639,27.9085,30.1013,31.7973,32.9159,32.1505,33.9748,41.4792,39.2824,27,18,22,29,26,34,40,40,33,35
0,0,0.000141894,2.49956,2.49937,2.49957,2.50072,2.5002,2.5016,2.49984,2.50008,2.50026,2.4997,21.0667,22.4102,24.8503,26.5345,27.8039,28.7217,28.0434,29.4618,34.9865,33.3861,19,26,20,25,29,23,25,27,29,28
0,0,7.65996e-05,2.49867,2.50138,2.49838,2.49985,2.50067,2.49926,2.50074,2.50098,2.49944,2.50045,16.3556,16.9583,17.8758,18.5357,19.0301,19.3247,19.1234,19.6417,21.5161,21.0067,14,16,11,19,19,24,17,21,31,14
0,0,0.000183583,2.50174,2.50093,2.50056,2.50019,2.50084,2.501,2.49811,2.50054,2.49938,2.49964,24.802,26.8519,30.6746,33.3285,35.4525,36.9128,35.7673,38.2054,47.6534,44.8968,23,26,37,33,46,36,32,42,51,49
0,0,8.33397e-05,2.4993,2.49948,2.50097,2.50112,2.49924,2.49992,2.49944,2.50072,2.50253,2.49893,16.7977,17.4238,18.5398,19.2576,19.7624,20.1401,19.8704,20.4779,22.6917,22.0041,11,17,17,17,23,19,22,20,22,23
0,0,6.79831e-05,2.49923,2.49855,2.49981,2.50033,2.5012,2.4983,2.5002,2.50039,2.50019,2.49893,15.8291,16.2952,17.1425,17.689,18.1098,18.3283,18.1693,18.6053,20.1964,19.7289,11,18,18,18,12,19,19,25,21,23
0,0,9.0022e-05,2.50088,2.50028,2.5003,2.50096,2.50124,2.50001,2.50053,2.50041,2.50057,2.50094,17.2642,17.9462,19.1602,19.9727,20.5863,20.9703,20.6888,21.3407,23.8004,23.1207,25,25,23,23,24,13,16,26,18,20
0,0,0.000145106,2.50033,2.49915,2.49989,2.49963,2.50176,2.49966,2.49982,2.49892,2.50043,2.49985,21.3461,22.7169,25.2629,26.9763,28.3721,29.2266,28.5772,30.0216,35.8377,34.1622,33,21,17,15,38,35,28,42,37,47
0,0,1.15892e-05,2.49821,2.50139,2.50042,2.49983,2.49833,2.50048,2.49944,2.49922,2.49866,2.50028,12.7175,12.8228,12.9187,12.9792,13.0098,13.071,13.0338,13.0833,13.2607,13.232,12,16,6,6,7,10,10,12,19,14
0,0,0.000121265,2.50131,2.49799,2.50177,2.49896,2.50179,2.50061,2.50018,2.50009,2.49907,2.49933,19.4872,20.4796,22.4519,23.6559,24.7005,25.3354,24.8499,25.9124,29.9772,28.8226,16,16,25,21,21,37,24,18,36,32
0,0,8.79442e-05,2.49944,2.50111,2.50027,2.50065,2.50112,2.50027,2.50032,2.49995,2.4998,2.49856,17.1015,17.8013,18.9607,19.7405,20.3367,20.7147,20.4332,21.0569,23.4175,22.7276,20,17,24,26,15,20,23,15,17,20
0,0,6.61076e-05,2.49976,2.50134,2.49964,2.49933,2.50052,2.49973,2.49802,2.50093,2.5001,2.5005,15.7231,16.2095,16.9788,17.4907,17.9012,18.1479,17.931,18.3995,19.9152,19.4984,12,16,11,23,16,15,16,19,21,34
0,0,5.48325e-05,2.49984,2.50077,2.49874,2.49805,2.50131,2.50077,2.50326,2.49946,2.49915,2.49921,15.0542,15.4337,16.0287,16.4214,16.7786,16.9722,16.8695,17.1274,18.2967,17.9736,15,17,21,17,19,16,15,12,21,22
0,0,0.000113914,2.50047,2.50077,2.49933,2.50143,2.49809,2.50136,2.49939,2.49791,2.50057,2.49939,18.9258,19.8976,21.5846,22.7781,23.5797,24.2547,23.7805,24.6998,28.4257,27.3571,24,20,21,23,33,20,15,19,32,33
0,0,7.11832e-05,2.49925,2.50189,2.50206,2.50056,2.4986,2.50107,2.49846,2.50008,2.5,2.49995,16.0263,16.5764,17.4597,18.0061,18.402,18.7373,18.4821,18.9736,20.6788,20.2034,23,14,19,18,14,15,3,25,24,20
0,0,9.35934e-05,2.5015,2.4986,2.5018,2.50053,2.50142,2.50009,2.49986,2.4993,2.5004,2.50124,17.5149,18.1933,19.5367,20.3588,21.022,21.4288,21.1135,21.7962,24.4366,23.7222,16,19,21,26,13,27,20,31,21,21
0,0,8.09166e-05,2.49887,2.49973,2.50104,2.50069,2.50053,2.50006,2.49951,2.50061,2.50249,2.50104,16.634,17.2476,18.3166,18.9954,19.5111,19.8505,19.5908,20.1692,22.2855,21.6741,17,20,24,15,9,19,18,30,15,24
0,0,0.000125188,2.50154,2.50008,2.49852,2.49998,2.50126,2.49905,2.49971,2.49938,2.50088,2.50112,19.7893,20.8716,22.8247,24.1948,25.257,25.9019,25.4175,26.534,30.92,29.6907,22,23,15,29,25,26,26,25,21,26
0,0,9.00087e-05,2.49983,2.50023,2.50108,2.49933,2.49989,2.49828,2.50099,2.49942,2.50098,2.49963,17.2452,17.9443,19.174,19.9387,20.5571,20.9325,20.6965,21.3179,23.8078,23.0882,12,7,20,14,25,19,21,27,34,16
0,0,8.6858e-05,2.50091,2.49962,2.50088,2.49998,2.50116,2.5016,2.50007,2.50022,2.50009,2.50152,17.0549,17.6919,18.869,19.6102,20.2094,20.6067,20.2983,20.9207,23.2361,22.6197,7,21,10,16,24,24,14,24,14,18
0,0,4.5009e-05,2.49913,2.50047,2.49957,2.49831,2.49848,2.50035,2.5003,2.49825,2.50048,2.50034,14.4833,14.7908,15.2691,15.5647,15.8024,15.9888,15.8762,16.0923,17.031,16.7805,11,13,7,16,14,13,19,16,22,18
0,0,6.54332e-05,2.49916,2.49984,2.50051,2.50106,2.49886,2.49869,2.50115,2.49971,2.49934,2.49935,15.6728,16.1384,16.936,17.4563,17.8016,18.0555,17.9161,18.3001,19.8004,19.3827,15,21,29,16,15,21,18,23,23,19
0,0,0.000196484,2.4992,2.49972,2.49827,2.4997,2.49998,2.49954,2.4998,2.50021,2.50091,2.49866,26.0032,28.3494,32.6549,35.7527,38.1808,39.8422,38.6494,41.3856,52.5294,49.1596,14,36,32,29,41,51,39,35,43,47
0,0,5.30074e-05,2.49995,2.5012,2.5011,2.5017,2.50122,2.49992,2.50078,2.49864,2.50079,2.49977,14.9501,15.3196,15.9199,16.3174,16.6001,16.7721,16.6483,16.9201,18.0797,17.7519,13,14,16,12,17,8,20,22,17,23
0,0,0.000103479,2.49753,2.49936,2.49952,2.50038,2.4992,2.50102,2.50155,2.49935,2.50131,2.49952,18.1247,18.9979,20.4854,21.4893,22.2164,22.7671,22.4144,23.1802,26.3237,25.405,24,13,14,17,24,15,22,22,24,20
0,0,9.76093e-05,2.49928,2.49977,2.49968,2.49998,2.50095,2.50088,2.50007,2.50065,2.5004,2.49799,17.7493,18.5319,19.893,20.8005,21.5086,21.9717,21.6222,22.3779,25.177,24.3297,12,26,20,17,23,16,18,15,23,19
0,0,6.81247e-05,2.49959,2.49966,2.50095,2.49908,2.50112,2.49965,2.49966,2.49831,2.50103,2.50143,15.8434,16.3233,17.1743,17.6807,18.1232,18.3687,18.1746,18.583,20.2348,19.7982,11,17,21,10,25,12,12,15,25,22
0,0,7.21425e-05,2.50019,2.49879,2.50228,2.49909,2.50142,2.50057,2.49872,2.49966,2.49988,2.5007,16.101,16.5934,17.548,18.0746,18.5571,18.8366,18.5914,19.0793,20.8242,20.3568,14,10,17,19,17,22,17,13,22,22
0,0,9.26673e-05,2.50042,2.49918,2.5002,2.50114,2.50112,2.50058,2.50028,2.4999,2.49934,2.49947,17.4335,18.1314,19.4149,20.2681,20.9029,21.3199,21.0076,21.684,24.2432,23.5249,14,15,26,11,18,22,26,16,30,29
0,0,9.14484e-05,2.49935,2.49882,2.50025,2.49943,2.49954,2.50185,2.49998,2.5,2.49957,2.50023,17.333,18.0302,19.2973,20.0988,20.7226,21.1906,20.8514,21.5221,24.0301,23.3396,22,15,21,24,24,16,21,25,22,20
0,0,6.36629e-05,2.50147,2.49832,2.50069,2.50052,2.50126,2.50006,2.49695,2.50018,2.50011,2.50218,15.602,15.9917,16.789,17.2784,17.6616,17.8882,17.6564,18.108,19.5566,19.1948,15,19,12,18,18,19,16,17,23,12
0,0,1.20243e-05,2.4993,2.49984,2.50117,2.49871,2.50035,2.50058,2.5006,2.50015,2.4998,2.49969,12.7528,12.8269,12.9567,12.9956,13.0692,13.1067,13.0824,13.131,13.3189,13.2653,17,11,14,14,14,20,12,18,14,6
0,0,0.000103805,2.49934,2.50016,2.49989,2.49955,2.49973,2.50134,2.50178,2.49943,2.50168,2.49893,18.1803,19.0396,20.5265,21.5098,22.2703,22.8192,22.4624,23.2293,26.3975,25.4491,10,19,29,28,20,22,28,23,27,32
0,0,0.000109988,2.49882,2.5003,2.50014,2.50174,2.49946,2.50101,2.50048,2.50142,2.50176,2.49933,18.6101,19.5553,21.1799,22.3,23.0793,23.6785,23.2633,24.1886,27.6411,26.6028,19,19,22,18,22,37,32,16,31,35
