# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code3_model
# start_datetime = 2023-04-16 11:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/hiim9402.json
# init = 2 (Default)
# random
#   seed = 92123
# output
#   file = /home/lab5/output/code3-20230416112911_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,theta,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
0,0,4.25744e-05,2.49964,2.50089,2.50104,2.50019,2.50054,2.49909,2.50106,2.49946,2.50261,2.50113,14.3551,14.643,15.1055,15.3872,15.6124,15.7359,15.6625,15.8696,16.7611,16.5057,12,12,19,20,12,17,16,14,19,14
0,0,0.000140138,2.49882,2.5,2.49971,2.49818,2.49902,2.49943,2.50111,2.50053,2.50138,2.50036,20.9088,22.2556,24.6353,26.2135,27.4889,28.3572,27.7906,29.1544,34.5713,32.9938,22,24,19,25,30,26,23,37,38,39
0,0,7.98735e-05,2.50146,2.50081,2.50061,2.49894,2.5019,2.49938,2.49854,2.49988,2.49986,2.49798,16.6101,17.189,18.213,18.8541,19.4196,19.7125,19.4522,20.0239,22.0554,21.4482,16,20,22,18,19,25,12,18,20,21
0,0,6.41024e-05,2.50143,2.49889,2.50064,2.50009,2.50173,2.50065,2.49847,2.49964,2.50015,2.49885,15.6278,16.0312,16.8253,17.3126,17.7152,17.9462,17.7289,18.1478,19.6214,19.1908,20,10,19,20,18,19,16,19,17,20
0,0,6.37408e-05,2.50021,2.50024,2.50005,2.49918,2.49896,2.5,2.50089,2.49815,2.49955,2.50061,15.587,16.0278,16.7849,17.2626,17.6291,17.8955,17.7342,18.08,19.5571,19.1751,11,15,20,18,19,22,18,16,26,19
0,0,8.41288e-05,2.49849,2.50104,2.50092,2.50058,2.49928,2.49969,2.50044,2.50141,2.49893,2.50124,16.8353,17.5103,18.6125,19.3307,19.854,20.2315,19.9826,20.5929,22.7431,22.179,15,23,14,14,15,22,17,24,29,18
0,0,2.55571e-05,2.50151,2.49999,2.50154,2.49949,2.50123,2.50202,2.50061,2.50126,2.50031,2.50069,13.467,13.5975,13.874,14.0072,14.1514,14.2421,14.1655,14.3006,14.7357,14.619,20,11,17,9,15,10,10,11,17,7
0,0,0.00010252,2.49917,2.50023,2.49975,2.50049,2.50119,2.49923,2.49965,2.49961,2.50065,2.50107,18.0871,18.9361,20.3916,21.379,22.1369,22.595,22.2459,23.0483,26.1195,25.2715,18,21,13,22,25,22,27,36,26,19
0,0,0.000163956,2.50021,2.49956,2.49923,2.49911,2.49964,2.50252,2.50239,2.50234,2.50063,2.50017,22.9558,24.6449,27.7556,29.8969,31.5913,32.8409,32.0073,33.8736,41.2363,39.0719,19,32,24,26,34,36,37,28,28,37
0,0,8.36713e-05,2.50128,2.50029,2.5006,2.50019,2.50181,2.50179,2.50067,2.49974,2.50144,2.49966,16.8526,17.4628,18.5638,19.2747,19.8514,20.2181,19.9336,20.5001,22.7228,22.072,19,14,16,19,19,29,18,28,30,35
0,0,7.14132e-05,2.50172,2.49879,2.50203,2.5001,2.49966,2.50017,2.49898,2.49769,2.49881,2.50118,16.0803,16.5415,17.4794,18.0206,18.4461,18.7464,18.5167,18.9556,20.6895,20.2612,16,15,21,22,28,15,21,18,21,21
0,0,9.36482e-05,2.5006,2.50067,2.49966,2.49995,2.49983,2.50073,2.49971,2.50084,2.49901,2.49979,17.5029,18.2353,19.5003,20.3532,20.9953,21.4497,21.1171,21.8372,24.4124,23.6969,16,16,19,25,18,18,19,19,17,31
0,0,0.000189414,2.50086,2.5011,2.50216,2.49937,2.49973,2.50126,2.49966,2.49926,2.50095,2.50046,25.3445,27.5383,31.6374,34.3825,36.6343,38.2444,37.0715,39.5666,49.8421,46.8346,26,31,29,33,33,45,39,41,48,55
0,0,0.000175582,2.50059,2.49749,2.49847,2.49866,2.50097,2.50144,2.50289,2.49972,2.50046,2.49988,24.0195,25.8547,29.4037,31.8498,33.8453,35.1888,34.2877,36.3201,44.9507,42.4253,25,22,36,42,51,28,50,32,46,33
0,0,3.6875e-05,2.50082,2.50107,2.49924,2.50153,2.49812,2.50146,2.49955,2.49854,2.50008,2.50162,14.0591,14.291,14.6525,14.934,15.0671,15.24,15.1237,15.3024,16.0254,15.8583,13,12,20,15,18,12,13,8,11,12
0,0,0.000113522,2.49899,2.49992,2.50052,2.5007,2.4999,2.50052,2.49862,2.50012,2.50091,2.49938,18.8691,19.8472,21.5676,22.7124,23.5685,24.1768,23.7073,24.6943,28.3526,27.2806,19,19,29,20,25,28,14,27,33,36
0,0,0.000134082,2.49884,2.50055,2.49934,2.50028,2.49962,2.50028,2.50067,2.50128,2.49837,2.50124,20.4257,21.6954,23.8878,25.411,26.5538,27.3632,26.8071,28.0971,32.9501,31.6315,18,20,29,30,33,23,37,39,47,25
0,0,1.32813e-06,2.50012,2.49894,2.50018,2.49939,2.49859,2.49812,2.50019,2.49878,2.49937,2.49899,12.2466,12.2393,12.2663,12.264,12.2597,12.2575,12.2803,12.2687,12.2956,12.2856,9,12,15,11,7,11,13,18,20,14
0,0,0.000144657,2.49766,2.50067,2.49993,2.50056,2.50175,2.49962,2.50118,2.49953,2.50036,2.49929,21.2524,22.7075,25.2071,26.9349,28.2978,29.1467,28.5407,29.9561,35.7159,34.0344,25,26,23,36,35,28,29,29,30,44
0,0,0.000206493,2.50124,2.49997,2.49773,2.49886,2.50034,2.49935,2.50001,2.5002,2.5001,2.50081,27.0834,29.6035,34.3215,37.7374,40.4832,42.3142,40.9997,44.0445,56.5407,52.8972,33,21,36,33,42,40,45,53,55,38
0,0,-1.96823e-05,2.50066,2.50149,2.50053,2.49737,2.49996,2.49917,2.50154,2.49842,2.49899,2.50073,11.298,11.2106,11.0407,10.908,10.8647,10.8095,10.8685,10.7611,10.5138,10.5999,11,17,16,10,7,12,11,13,11,7
0,0,0.000181591,2.49879,2.49914,2.49871,2.50059,2.50079,2.50031,2.50069,2.50067,2.49882,2.50076,24.5392,26.5751,30.3126,32.9796,35.0424,36.4464,35.4419,37.7396,46.9266,44.315,33,24,30,32,35,43,39,33,60,46
0,0,4.87495e-05,2.49963,2.50053,2.50111,2.50073,2.50127,2.50147,2.50011,2.50115,2.50153,2.5003,14.7015,15.0315,15.5829,15.9256,16.1949,16.3721,16.226,16.519,17.5294,17.2318,20,16,10,15,12,20,12,21,16,25
0,0,1.16462e-06,2.50093,2.50086,2.50133,2.50154,2.49912,2.49941,2.49915,2.49979,2.50056,2.49963,12.2488,12.2542,12.2704,12.2794,12.2545,12.2612,12.2557,12.2685,12.2953,12.2793,14,19,13,20,14,10,13,12,10,14
0,0,7.5909e-05,2.49952,2.5003,2.50014,2.50189,2.50025,2.50012,2.50058,2.5004,2.50153,2.50221,16.326,16.8897,17.8452,18.5033,18.9458,19.2609,19.043,19.5462,21.4507,20.9407,21,26,21,24,10,28,16,17,19,13
0,0,3.62551e-05,2.49994,2.5003,2.4984,2.50041,2.50078,2.50088,2.49974,2.49968,2.50126,2.49991,14.0131,14.242,14.5947,14.8667,15.0529,15.1743,15.0716,15.2609,15.9705,15.7616,8,17,16,15,15,11,10,13,14,14
0,0,0.000118972,2.50174,2.50094,2.50142,2.49834,2.49941,2.49986,2.50058,2.49919,2.49997,2.49838,19.3236,20.3387,22.1867,23.3461,24.3155,24.9686,24.5271,25.5224,29.4972,28.3298,18,21,29,31,23,26,30,18,34,29
0,0,7.71901e-05,2.50012,2.50016,2.49961,2.49905,2.49787,2.50035,2.50019,2.50088,2.50066,2.50136,16.4167,16.9806,17.9511,18.5808,19.042,19.4148,19.1793,19.7122,21.6372,21.1143,22,19,19,21,23,13,20,21,25,21
0,0,0.000157295,2.49937,2.49867,2.50191,2.50169,2.49856,2.5005,2.4994,2.4984,2.50005,2.49979,22.354,23.9278,26.9135,28.8996,30.3583,31.4834,30.6865,32.3706,39.2216,37.2513,22,26,29,37,28,39,42,36,31,41
0,0,0.00013299,2.49914,2.4984,2.49965,2.50017,2.49869,2.50097,2.49994,2.49861,2.49967,2.50009,20.346,21.5474,23.7644,25.2568,26.3613,27.2024,26.6164,27.8327,32.7267,31.3513,22,23,27,23,22,27,27,37,23,28
0,0,0.000158361,2.49999,2.49936,2.4995,2.49922,2.49985,2.50061,2.49904,2.50031,2.49892,2.50099,22.46,24.0542,26.993,28.997,30.5865,31.6901,30.8683,32.6482,39.4885,37.5797,27,20,25,37,35,39,30,34,30,48
0,0,8.1099e-05,2.49837,2.50107,2.50168,2.5005,2.5003,2.49938,2.50086,2.49945,2.49889,2.49817,16.6375,17.2843,18.345,19.0107,19.5272,19.8589,19.6383,20.1686,22.2357,21.64,17,18,22,20,14,18,22,18,31,24
