# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 10:50:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/cy5gjyf_.json
# init = 2 (Default)
# random
#   seed = 59305
# output
#   file = /home/lab5/output/code4-20230416105019_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00326443
# Diagonal elements of inverse mass matrix:
# 1.09543e-05, 1.08571e-05, 1.08561e-05, 1.09617e-05, 1.09387e-05, 1.08919e-05, 1.07597e-05, 1.09618e-05, 1.1088e-05, 1.09197e-05, 9.90113e-06
503.485,0.983763,0.00326443,8,255,0,-499.044,2.49759,2.49887,2.49863,2.50075,2.50138,2.49876,2.50151,2.49905,2.49984,2.50018,0.000110812,18.6465,19.5966,21.2356,22.3787,23.2347,23.7431,23.4003,24.2552,27.7576,26.7817,22,13,16,23,36,29,24,15,34,30
507.741,0.972705,0.00326443,8,511,0,-500.279,2.50076,2.50127,2.50055,2.4987,2.49919,2.4995,2.50077,2.50094,2.50049,2.49933,0.000116345,19.1098,20.1167,21.8766,23.0205,23.9416,24.5672,24.1559,25.1524,28.9417,27.8323,14,26,13,19,24,29,20,29,23,22
507.019,1,0.00326443,8,255,0,-504.391,2.49936,2.50119,2.50046,2.49895,2.49953,2.49953,2.50071,2.50217,2.49985,2.50028,0.000102179,18.0669,18.9264,20.3711,21.3061,22.0564,22.5555,22.2249,23.0585,26.0325,25.1906,17,23,24,22,19,21,13,27,34,24
502.85,0.87446,0.00326443,8,255,0,-498.488,2.50062,2.49916,2.50038,2.49929,2.50032,2.50184,2.50045,2.49684,2.49992,2.49855,0.000106601,18.4013,19.2506,20.8273,21.8362,22.6487,23.2189,22.8043,23.5757,26.9045,25.9498,12,16,26,20,20,16,31,28,28,21
505.231,0.961574,0.00326443,8,255,0,-497,2.4984,2.49963,2.50021,2.50117,2.49976,2.49839,2.50027,2.50241,2.50009,2.50021,0.000112107,18.7552,19.7211,21.4082,22.5475,23.3723,23.9205,23.55,24.5338,28.033,27.0303,17,23,27,22,19,24,17,26,20,33
506.1,0.96064,0.00326443,9,511,0,-499.948,2.50172,2.50187,2.50012,2.49924,2.50135,2.50019,2.49996,2.49901,2.49938,2.49978,9.86106e-05,17.8617,18.6509,20.0021,20.8994,21.6427,22.0896,21.7474,22.4809,25.3392,24.5474,22,13,19,22,20,26,22,21,25,19
