# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 10:50:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/cy5gjyf_.json
# init = 2 (Default)
# random
#   seed = 59305
# output
#   file = /home/lab5/output/code4-20230416105019_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 1.55182e-50
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.04775e-05
-3.12829e+91,1,1.55182e-50,2,3,0,3.12842e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282312,7.44512e+46,3.39767e+53,2.77224e+61,2.38542e+66,1.60086e+71,2.43726e+74,2.66951e+72,1.94168e+76,3.12782e+91,4.70881e+87,0,0,0,0,0,0,0,0,0,0
-3.12826e+91,1,1.55182e-50,1,1,0,3.12829e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282312,7.44508e+46,3.39765e+53,2.77222e+61,2.3854e+66,1.60085e+71,2.43724e+74,2.66948e+72,1.94166e+76,3.12779e+91,4.70877e+87,0,0,0,0,0,0,0,0,0,0
-3.12823e+91,1,1.55182e-50,1,1,0,3.12826e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282312,7.44504e+46,3.39763e+53,2.7722e+61,2.38538e+66,1.60083e+71,2.43722e+74,2.66946e+72,1.94164e+76,3.12776e+91,4.70872e+87,0,0,0,0,0,0,0,0,0,0
-3.12612e+91,1,1.55182e-50,4,15,0,3.12823e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44244e+46,3.39631e+53,2.77094e+61,2.3842e+66,1.59999e+71,2.43589e+74,2.66804e+72,1.94055e+76,3.12565e+91,4.70569e+87,0,0,0,0,0,0,0,0,0,0
-3.12609e+91,1,1.55182e-50,1,1,0,3.12612e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.4424e+46,3.39629e+53,2.77092e+61,2.38418e+66,1.59998e+71,2.43587e+74,2.66802e+72,1.94053e+76,3.12562e+91,4.70565e+87,0,0,0,0,0,0,0,0,0,0
-3.12606e+91,1,1.55182e-50,1,1,0,3.12609e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44236e+46,3.39627e+53,2.7709e+61,2.38416e+66,1.59996e+71,2.43585e+74,2.668e+72,1.94052e+76,3.12559e+91,4.7056e+87,0,0,0,0,0,0,0,0,0,0
-3.12603e+91,1,1.55182e-50,1,1,0,3.12606e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44232e+46,3.39625e+53,2.77088e+61,2.38414e+66,1.59995e+71,2.43583e+74,2.66798e+72,1.9405e+76,3.12555e+91,4.70555e+87,0,0,0,0,0,0,0,0,0,0
-3.12599e+91,1,1.55182e-50,1,1,0,3.12603e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44228e+46,3.39623e+53,2.77086e+61,2.38412e+66,1.59994e+71,2.43581e+74,2.66795e+72,1.94048e+76,3.12552e+91,4.70551e+87,0,0,0,0,0,0,0,0,0,0
-3.12596e+91,1,1.55182e-50,1,1,0,3.12599e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44224e+46,3.39621e+53,2.77084e+61,2.38411e+66,1.59993e+71,2.43579e+74,2.66793e+72,1.94046e+76,3.12549e+91,4.70546e+87,0,0,0,0,0,0,0,0,0,0
-3.12593e+91,1,1.55182e-50,1,1,0,3.12596e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.4422e+46,3.39618e+53,2.77082e+61,2.38409e+66,1.59991e+71,2.43577e+74,2.66791e+72,1.94045e+76,3.12546e+91,4.70541e+87,0,0,0,0,0,0,0,0,0,0
-3.1258e+91,1,1.55182e-50,2,3,0,3.12593e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44204e+46,3.3961e+53,2.77074e+61,2.38401e+66,1.59986e+71,2.43568e+74,2.66782e+72,1.94038e+76,3.12533e+91,4.70522e+87,0,0,0,0,0,0,0,0,0,0
-3.12576e+91,1,1.55182e-50,1,1,0,3.1258e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.442e+46,3.39608e+53,2.77072e+61,2.384e+66,1.59985e+71,2.43566e+74,2.6678e+72,1.94036e+76,3.12529e+91,4.70518e+87,0,0,0,0,0,0,0,0,0,0
-3.12573e+91,1,1.55182e-50,1,1,0,3.12576e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44196e+46,3.39606e+53,2.77071e+61,2.38398e+66,1.59983e+71,2.43564e+74,2.66778e+72,1.94034e+76,3.12526e+91,4.70513e+87,0,0,0,0,0,0,0,0,0,0
-3.1256e+91,1,1.55182e-50,2,3,0,3.12573e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44179e+46,3.39598e+53,2.77063e+61,2.3839e+66,1.59978e+71,2.43556e+74,2.66769e+72,1.94028e+76,3.12513e+91,4.70494e+87,0,0,0,0,0,0,0,0,0,0
-3.12547e+91,1,1.55182e-50,2,3,0,3.1256e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282311,7.44163e+46,3.3959e+53,2.77055e+61,2.38383e+66,1.59973e+71,2.43548e+74,2.6676e+72,1.94021e+76,3.125e+91,4.70475e+87,0,0,0,0,0,0,0,0,0,0
-3.12337e+91,1,1.55182e-50,4,15,0,3.12547e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.028231,7.43903e+46,3.39458e+53,2.76929e+61,2.38265e+66,1.59889e+71,2.43415e+74,2.66618e+72,1.93912e+76,3.1229e+91,4.70173e+87,0,0,0,0,0,0,0,0,0,0
-3.12334e+91,1,1.55182e-50,1,1,0,3.12337e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.028231,7.43899e+46,3.39456e+53,2.76927e+61,2.38263e+66,1.59887e+71,2.43413e+74,2.66616e+72,1.9391e+76,3.12287e+91,4.70168e+87,0,0,0,0,0,0,0,0,0,0
-3.12321e+91,1,1.55182e-50,2,3,0,3.12334e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.028231,7.43883e+46,3.39447e+53,2.76919e+61,2.38256e+66,1.59882e+71,2.43404e+74,2.66607e+72,1.93903e+76,3.12274e+91,4.70149e+87,0,0,0,0,0,0,0,0,0,0
