# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 10:58:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/1eo8mrs8.json
# init = 2 (Default)
# random
#   seed = 63435
# output
#   file = /home/lab5/output/code4-20230416105829_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 2.39107e-24
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.03609e-05
-1.32142e+39,1,2.39107e-24,1,1,0,1.32143e+39,-1.02989,1.21885,-0.213598,0.262997,0.0974508,1.98259,-1.12955,0.853828,0.957603,-0.236733,0.0119892,4.6429e+19,8.29469e+22,1.20803e+26,4.4975e+28,2.06517e+30,1.87916e+32,1.28857e+30,5.92992e+32,1.31343e+39,7.98511e+36,0,0,0,0,0,0,0,0,0,0
-1.32136e+39,1,2.39107e-24,2,3,0,1.32142e+39,-1.02989,1.21885,-0.213598,0.262997,0.0974508,1.98259,-1.12955,0.853828,0.957603,-0.236733,0.0119892,4.6428e+19,8.29449e+22,1.208e+26,4.49736e+28,2.0651e+30,1.87909e+32,1.28853e+30,5.92971e+32,1.31338e+39,7.98479e+36,0,0,0,0,0,0,0,0,0,0
-1.32135e+39,1,2.39107e-24,1,1,0,1.32136e+39,-1.02989,1.21885,-0.213598,0.262997,0.0974508,1.98259,-1.12955,0.853828,0.957603,-0.236733,0.0119892,4.64277e+19,8.29444e+22,1.20799e+26,4.49732e+28,2.06509e+30,1.87908e+32,1.28851e+30,5.92966e+32,1.31336e+39,7.98471e+36,0,0,0,0,0,0,0,0,0,0
-1.32134e+39,1,2.39107e-24,1,1,0,1.32135e+39,-1.02989,1.21885,-0.213598,0.262997,0.0974508,1.98259,-1.12955,0.853828,0.957603,-0.236733,0.0119892,4.64275e+19,8.29439e+22,1.20798e+26,4.49729e+28,2.06507e+30,1.87906e+32,1.2885e+30,5.92961e+32,1.31335e+39,7.98463e+36,0,0,0,0,0,0,0,0,0,0
-1.32132e+39,1,2.39107e-24,1,1,0,1.32134e+39,-1.02989,1.21885,-0.213598,0.262997,0.0974508,1.98259,-1.12955,0.853828,0.957603,-0.236733,0.0119892,4.64272e+19,8.29434e+22,1.20797e+26,4.49725e+28,2.06505e+30,1.87905e+32,1.28849e+30,5.92956e+32,1.31334e+39,7.98455e+36,0,0,0,0,0,0,0,0,0,0
-1.32127e+39,1,2.39107e-24,2,3,0,1.32132e+39,-1.02989,1.21885,-0.213598,0.262997,0.0974508,1.98259,-1.12955,0.853828,0.957603,-0.236733,0.0119892,4.64262e+19,8.29413e+22,1.20794e+26,4.49711e+28,2.06499e+30,1.87898e+32,1.28845e+30,5.92935e+32,1.31328e+39,7.98423e+36,0,0,0,0,0,0,0,0,0,0
