# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 10:58:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/1eo8mrs8.json
# init = 2 (Default)
# random
#   seed = 63435
# output
#   file = /home/lab5/output/code4-20230416105829_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000617928
# Diagonal elements of inverse mass matrix:
# 0.00442187, 0.558161, 0.608633, 2.37915, 0.0654713, 0.199349, 0.012124, 0.432517, 0.0607415, 3.1935e-05, 1.02388e-05
498.683,0.92024,0.000617928,6,127,0,-495.262,1.99959,1.99921,1.99939,2.00212,1.99934,1.9992,1.99848,2.00026,1.99854,1.99999,0.000191615,15.4839,16.8298,19.3489,21.1652,22.4971,23.4581,22.7508,24.3537,30.6554,28.8409,15,16,16,19,25,23,17,31,27,21
495.418,0.990868,0.000617928,5,31,0,-491.708,1.99896,1.99905,1.99946,2.0019,2.0014,2.00143,1.99779,1.99908,2.0015,1.99998,0.000185832,15.1322,16.4139,18.7958,20.5004,21.7981,22.7043,21.9754,23.4651,29.4527,27.6794,13,17,16,23,22,18,29,16,34,30
497.992,0.955366,0.000617928,4,15,0,-492.439,1.99896,1.99969,1.99947,1.99857,1.99894,1.99872,1.99766,2.00077,2.00057,1.99998,0.000185122,15.0908,16.3744,18.7291,20.353,21.6551,22.5461,21.8812,23.4012,29.2705,27.5401,8,13,20,21,23,15,23,23,27,36
498.12,0.991821,0.000617928,6,63,0,-493.731,1.99843,2.00041,2.00145,1.99866,2.0007,2.00139,2.00099,2.00082,1.99862,1.99994,0.000187964,15.2493,16.5876,19.0362,20.6741,22.0546,22.9973,22.3238,23.8198,29.8372,28.1009,13,12,27,31,23,23,27,25,24,28
500.881,1,0.000617928,4,15,0,-495.82,1.99864,2.0005,1.99879,1.9993,2.00027,1.99888,2.00106,1.99989,1.99934,1.99993,0.000186648,15.1751,16.4955,18.8604,20.5389,21.8771,22.7581,22.1533,23.6037,29.568,27.839,11,11,18,28,25,21,23,33,26,26
501.488,0.987509,0.000617928,7,255,0,-497.331,2.00139,2.00048,2.00026,1.99965,1.99902,1.99891,2.00065,2.00016,2.00085,1.99965,0.000185733,15.1633,16.4304,18.8014,20.4432,21.7338,22.6336,22.0255,23.476,29.4119,27.6507,17,26,22,20,18,26,35,25,31,23
499.883,0.740818,0.000617928,5,31,0,-493.684,2.00116,1.99994,2.00028,2.00037,2.0009,2.00137,2.00153,2.0003,1.99936,1.99965,0.000171723,14.3612,15.4615,17.5234,18.9459,20.0714,20.8505,20.3025,21.5189,26.4639,25.0303,23,17,18,17,22,14,10,24,24,27
498.534,0.948692,0.000617928,5,31,0,-496.927,2.00132,2.00045,2.00006,2.00077,1.99988,1.99852,2.0015,2.00159,1.99981,1.99964,0.000202391,16.1699,17.6498,20.4397,22.4227,23.9646,25.0167,24.3116,26.0772,33.2543,31.1257,19,18,17,25,14,25,37,25,30,32
501.32,0.999712,0.000617928,6,63,0,-496.38,1.99872,2.00027,2.00029,1.99992,1.99982,2.00042,1.99861,1.99869,1.9999,1.99956,0.000192418,15.5184,16.906,19.4447,21.2119,22.6134,23.6008,22.8616,24.4373,30.8812,28.9936,16,11,15,18,18,15,24,25,23,23
501.171,0.955402,0.000617928,4,15,0,-499.596,1.9987,2.00073,2.00041,1.9997,2.00044,1.99957,1.99872,2.00084,1.99936,1.99956,0.000195201,15.6858,17.1174,19.7211,21.5331,22.9965,23.9799,23.2409,24.9177,31.5094,29.5728,20,17,22,21,22,20,20,28,49,24
