# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/lzzwn10c.json
# init = 2 (Default)
# random
#   seed = 88327
# output
#   file = /home/lab5/output/code4-20230416113046_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000727965
# Diagonal elements of inverse mass matrix:
# 0.300135, 0.16104, 0.250669, 0.0748488, 0.714999, 0.161169, 0.8632, 0.071734, 0.850334, 2.18744, 2.22434e-05
496.772,0.669228,0.000727965,4,15,0,-489.215,1.99771,2.00011,1.99885,2.00224,1.99962,1.99944,2.00065,2.00078,1.9987,1.99932,0.000185685,15.1049,16.4209,18.7706,20.491,21.7409,22.6391,22.0194,23.4835,29.3384,27.6324,15,10,22,22,26,28,25,24,27,29
496.835,0.923867,0.000727965,4,15,0,-490.75,2.00235,2.00054,2.00112,1.99883,1.99992,1.99894,2.00095,2.00181,1.99891,2.00017,0.00019165,15.5288,16.8549,19.3859,21.0997,22.5149,23.4568,22.8118,24.3966,30.675,28.8534,12,19,25,12,32,21,23,23,30,34
500.811,0.839308,0.000727965,4,15,0,-490.001,1.99961,1.99879,2.00059,1.99946,2.00011,2.00045,1.99871,2.00078,2.00102,1.99982,0.000198951,15.9292,17.3619,20.1,21.975,23.4955,24.5502,23.7585,25.5043,32.4538,30.3792,17,17,13,29,25,19,33,34,38,27
502.837,0.922942,0.000727965,4,15,0,-496.439,2.00027,2.00059,1.99948,1.9998,1.99929,2.00077,1.99975,1.99935,2.00022,1.99986,0.000177621,14.679,15.8688,18.0361,19.5571,20.7383,21.5928,20.9812,22.3023,27.6734,26.1072,18,13,13,16,21,29,21,16,28,22
501.808,0.894819,0.000727965,4,15,0,-498.277,1.99963,1.99956,2.00051,2.00109,1.9986,2.00026,2.00041,1.99963,1.99925,2.00008,0.000194658,15.6675,17.0575,19.6692,21.499,22.8817,23.9178,23.206,24.8034,31.3789,29.4742,16,15,21,22,20,25,30,27,36,32
500.46,0.907523,0.000727965,3,15,0,-498.036,2.00064,2.00129,1.99875,1.99917,2.0014,1.99949,1.99958,1.99959,1.99962,2.00071,0.000180792,14.8655,16.098,18.3127,19.8875,21.1688,21.9818,21.3724,22.7522,28.3168,26.725,18,18,23,17,26,16,26,26,28,38
