# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/lzzwn10c.json
# init = 2 (Default)
# random
#   seed = 88327
# output
#   file = /home/lab5/output/code4-20230416113046_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00148824
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.05361e-05
-3.23677e+07,0.798362,0.00148824,2,3,0,3.23683e+07,-0.882831,-0.104095,-1.72611,0.51219,0.0331549,-0.547804,-1.37797,-1.25262,0.91849,0.456964,0.000449385,2.34701,6.22304,1.70395,19.5949,14.0958,8.7001,3.53622,4.68282,70.7227,38.5032,4,9,1,17,17,9,7,2,83,35
-3.23677e+07,0.887897,0.00148824,1,1,0,3.23677e+07,-0.882831,-0.104095,-1.72611,0.51219,0.0331549,-0.547804,-1.37797,-1.25262,0.91849,0.456964,0.000449385,2.34701,6.22304,1.70395,19.5949,14.0958,8.7001,3.53622,4.68282,70.7227,38.5032,1,14,1,18,10,5,2,1,66,39
-3.23614e+07,0.970281,0.00148824,3,7,0,3.23677e+07,-0.882551,-0.103908,-1.72573,0.512343,0.0333426,-0.547543,-1.37764,-1.25231,0.918607,0.457101,0.000461818,2.46318,6.56604,1.81455,20.98,15.1554,9.38026,3.80556,5.0611,77.5795,42.0662,2,5,2,30,15,10,5,4,80,43
-3.23607e+07,1,0.00148824,2,3,0,3.23614e+07,-0.882513,-0.103882,-1.7257,0.512364,0.0333611,-0.547518,-1.37761,-1.25228,0.918608,0.45712,0.000458237,2.42943,6.46586,1.78222,20.5726,14.8433,9.17997,3.72641,4.94971,75.5415,41.0097,2,6,2,17,11,7,6,5,72,38
-3.23607e+07,0.92741,0.00148824,1,1,0,3.23607e+07,-0.882513,-0.103882,-1.7257,0.512364,0.0333611,-0.547518,-1.37761,-1.25228,0.918608,0.45712,0.000458237,2.42943,6.46586,1.78222,20.5726,14.8433,9.17997,3.72641,4.94971,75.5415,41.0097,2,3,2,20,18,7,3,9,71,43
-3.23601e+07,0.87031,0.00148824,1,1,0,3.23607e+07,-0.882481,-0.103858,-1.72565,0.512376,0.0333807,-0.547492,-1.37758,-1.25225,0.918619,0.457131,0.000468055,2.52343,6.74486,1.87247,21.7103,15.7156,9.74044,3.94789,5.26172,81.2617,43.9741,6,6,5,26,14,10,2,9,93,33
