# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00299996
# Diagonal elements of inverse mass matrix:
# 1.10486e-05, 1.08573e-05, 1.09601e-05, 1.09035e-05, 1.07803e-05, 1.08182e-05, 1.11398e-05, 1.08495e-05, 1.09126e-05, 1.10042e-05, 9.90112e-06
505.561,0.992095,0.00299996,8,255,0,-502.099,2.499,2.49764,2.49931,2.50032,2.49895,2.50013,2.49913,2.49915,2.50129,2.49999,9.92706e-05,17.8586,18.625,20.0523,20.9978,21.674,22.1765,21.8139,22.5764,25.5124,24.6679,19,16,18,15,21,23,20,26,18,27
505.152,0.976366,0.00299996,9,511,0,-497.377,2.50071,2.50274,2.50074,2.49997,2.50105,2.50034,2.50079,2.50101,2.49888,2.49959,0.000112776,18.8472,19.8396,21.4917,22.6032,23.4937,24.0639,23.6548,24.6016,28.1387,27.1421,17,14,20,24,22,17,19,28,32,27
504.758,0.987581,0.00299996,9,511,0,-499.967,2.4996,2.49721,2.4991,2.49982,2.49877,2.50004,2.49921,2.499,2.50122,2.49982,0.000113661,18.8907,19.8053,21.552,22.7097,23.561,24.1855,23.7407,24.6879,28.3907,27.3196,21,21,23,22,19,37,19,24,25,24
504.077,0.950022,0.00299996,8,511,0,-501.175,2.49913,2.49729,2.49894,2.49995,2.49898,2.50086,2.49904,2.49938,2.50108,2.49974,0.000121357,19.4516,20.4733,22.3986,23.6913,24.6445,25.3559,24.8349,25.9089,30.058,28.8532,16,29,22,23,20,25,30,27,38,20
505.93,0.942423,0.00299996,9,511,0,-498.923,2.49966,2.50103,2.50146,2.50016,2.50091,2.49948,2.50079,2.501,2.49772,2.50014,0.000113327,18.8674,19.8526,21.5667,22.6759,23.5656,24.1234,23.7316,24.686,28.2212,27.2636,17,23,21,20,23,20,21,28,21,25
504.692,1,0.00299996,8,255,0,-499.709,2.50016,2.50054,2.50155,2.50002,2.50238,2.49833,2.49981,2.50044,2.50017,2.5015,0.000103334,18.162,19.0083,20.512,21.4643,22.2683,22.6858,22.3561,23.1846,26.2652,25.4289,17,23,20,19,20,27,25,26,30,26
509.371,0.993865,0.00299996,8,255,0,-502.276,2.50016,2.49936,2.49918,2.49988,2.49921,2.49995,2.50009,2.50139,2.49951,2.49939,0.000113143,18.8634,19.8038,21.4976,22.6466,23.5004,24.1079,23.6895,24.6672,28.2332,27.2075,19,15,21,24,18,19,15,27,22,20
507.054,0.999921,0.00299996,8,255,0,-504.961,2.49955,2.50072,2.50012,2.50147,2.50055,2.49985,2.49928,2.50132,2.49951,2.49815,0.000110978,18.695,19.6469,21.285,22.4153,23.2376,23.7926,23.3711,24.3354,27.7826,26.7589,21,19,38,23,22,15,20,18,23,25
508.717,0.820733,0.00299996,8,255,0,-502.677,2.50098,2.50002,2.5004,2.4996,2.49985,2.49888,2.49977,2.50007,2.49909,2.50129,9.88458e-05,17.8646,18.6353,20.0313,20.9339,21.6399,22.0921,21.7733,22.5377,25.3761,24.6256,18,17,21,20,20,19,21,24,25,34
