# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000690729
# Diagonal elements of inverse mass matrix:
# 0.121631, 1.52322, 0.0687716, 0.984585, 0.539419, 0.15416, 1.74767, 1.36247, 0.437356, 1.42726, 4.26534e-05
508.868,0.952328,0.000690729,4,23,0,-504.677,2.50049,2.49998,2.50071,2.50103,2.50091,2.50026,2.50119,2.49884,2.49975,2.50028,0.000107821,18.4857,19.3677,20.9622,22.021,22.8231,23.3534,22.9851,23.803,27.1447,26.2209,17,21,17,24,16,21,21,28,29,22
510.106,0.965569,0.000690729,3,15,0,-505.249,2.50047,2.50003,2.5005,2.50093,2.50082,2.50035,2.50056,2.50024,2.50074,2.49988,0.000109598,18.6126,19.5172,21.1459,22.2342,23.0582,23.6072,23.212,24.1012,27.5328,26.5436,23,20,17,19,27,26,22,17,21,21
507.803,0.746162,0.000690729,2,7,0,-505.892,2.49998,2.49814,2.50043,2.50063,2.49964,2.50006,2.49904,2.49955,2.50057,2.50139,0.000111643,18.7511,19.6525,21.3629,22.4781,23.3065,23.8933,23.4569,24.3932,27.9497,26.973,18,16,28,18,31,32,26,20,27,35
505.998,0.892068,0.000690729,3,7,0,-503.878,2.50081,2.49833,2.50114,2.50127,2.5004,2.49994,2.49864,2.49996,2.49953,2.50163,0.000105983,18.3609,19.1836,20.7784,21.8054,22.5691,23.0885,22.6805,23.5587,26.7705,25.9158,14,21,21,29,18,17,23,18,22,28
507.036,0.988081,0.000690729,2,7,0,-502.091,2.5007,2.49964,2.50157,2.49911,2.50031,2.50002,2.50078,2.50001,2.49798,2.49999,9.98492e-05,17.929,18.7088,20.1563,21.0391,21.7766,22.2515,21.9242,22.6775,25.5379,24.7696,14,20,25,17,15,24,27,27,17,20
508.115,0.819866,0.000690729,4,31,0,-501.639,2.50051,2.50166,2.49843,2.50007,2.49991,2.50019,2.49923,2.49978,2.4997,2.50049,0.000116101,19.0871,20.1034,21.8034,23.0212,23.9249,24.5479,24.084,25.0852,28.8663,27.8162,15,16,27,19,22,17,23,25,23,34
