# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:32:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/hjl2_xu3.json
# init = 2 (Default)
# random
#   seed = 86277
# output
#   file = /home/lab5/output/code4-20230416113233_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000789828
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.17668e-05
-2.49918e+07,0.988053,0.000789828,2,3,0,2.49924e+07,0.460939,-0.37864,1.58623,0.340726,1.47031,-0.333585,0.629297,-0.381043,-0.766505,1.8049,0.000366982,6.54429,3.31807,30.9091,10.5082,36.7429,6.55626,16.2169,6.7039,7.10839,82.5204,5,3,26,13,21,8,16,7,7,82
-2.49917e+07,1,0.000789828,1,1,0,2.49918e+07,0.460948,-0.378636,1.58624,0.340729,1.47031,-0.333579,0.629303,-0.381034,-0.766495,1.8049,0.000364607,6.48458,3.28438,30.5425,10.3723,36.2391,6.46303,15.9922,6.6056,6.98408,81.1394,3,2,28,15,46,7,12,5,6,90
-2.49911e+07,0.966676,0.000789828,2,3,0,2.49917e+07,0.460968,-0.378597,1.58624,0.340754,1.47032,-0.333547,0.629329,-0.381004,-0.766458,1.80492,0.000376276,6.78371,3.45351,32.3879,11.0577,38.7835,6.93464,17.1279,7.10333,7.61717,88.1564,7,4,37,16,41,9,13,7,6,89
-2.49909e+07,1,0.000789828,2,3,0,2.49911e+07,0.460976,-0.378589,1.58625,0.340762,1.47033,-0.333541,0.629334,-0.380998,-0.766443,1.80492,0.000374982,6.74993,3.43437,32.178,10.9796,38.493,6.88075,16.9982,7.0464,7.54436,87.3498,7,6,45,13,36,8,12,5,9,80
-2.49908e+07,0.969762,0.000789828,2,3,0,2.49909e+07,0.460981,-0.378581,1.58625,0.340774,1.47033,-0.333537,0.629339,-0.38099,-0.76643,1.80492,0.000362812,6.43998,3.2593,30.2684,10.2712,35.8636,6.39368,15.8249,6.53251,6.89195,80.1123,6,4,46,9,44,8,10,9,7,71
-2.49906e+07,0.99413,0.000789828,1,1,0,2.49908e+07,0.460988,-0.378572,1.58625,0.34078,1.47033,-0.33353,0.629346,-0.380982,-0.766423,1.80493,0.000365632,6.51055,3.29909,30.7005,10.4313,36.4564,6.50341,16.0895,6.64819,7.03796,81.7344,13,2,34,13,38,2,21,8,6,95
