# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:32:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/hjl2_xu3.json
# init = 2 (Default)
# random
#   seed = 86277
# output
#   file = /home/lab5/output/code4-20230416113233_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00326162
# Diagonal elements of inverse mass matrix:
# 1.09042e-05, 1.08371e-05, 1.0895e-05, 1.08785e-05, 1.08941e-05, 1.09094e-05, 1.09234e-05, 1.08539e-05, 1.08024e-05, 1.09471e-05, 9.9011e-06
504.404,0.873067,0.00326162,8,255,0,-500.205,2.50011,2.4999,2.49908,2.50058,2.50074,2.50063,2.49996,2.50137,2.50205,2.4985,0.000129387,20.0843,21.2482,23.3247,24.7729,25.8678,26.6084,26.0591,27.2909,31.9377,30.5099,12,21,26,26,19,38,27,22,35,27
506.934,0.995031,0.00326162,9,511,0,-501.053,2.50046,2.4997,2.50021,2.49969,2.49974,2.49864,2.50133,2.50052,2.49829,2.49976,0.000123886,19.6688,20.7472,22.714,24.0157,25.0283,25.6885,25.2647,26.3499,30.5431,29.3771,18,25,21,26,19,24,18,31,34,27
508.821,0.997287,0.00326162,9,511,0,-503.688,2.50063,2.50011,2.5007,2.50028,2.50106,2.50079,2.5,2.49961,2.50153,2.50056,0.000111535,18.7555,19.6821,21.3571,22.4571,23.325,23.8954,23.4646,24.3784,27.9543,26.9301,19,19,26,25,28,30,12,30,37,32
508.609,0.9996,0.00326162,8,255,0,-503.397,2.50007,2.49891,2.50116,2.4989,2.50007,2.50026,2.50089,2.49918,2.50058,2.49942,0.000104935,18.2732,19.1084,20.6696,21.6293,22.4245,22.9503,22.5918,23.3873,26.5905,25.6666,22,13,20,20,24,15,14,27,26,25
505.664,0.877193,0.00326162,8,255,0,-500.291,2.50077,2.5,2.49833,2.50072,2.50132,2.4994,2.50049,2.50084,2.50091,2.49864,9.16312e-05,17.37,18.0656,19.2779,20.1448,20.7815,21.162,20.8844,21.5647,24.095,23.3328,15,14,20,18,20,25,16,12,18,31
509.01,0.96907,0.00326162,8,255,0,-499.895,2.49912,2.50105,2.50101,2.50046,2.49977,2.5001,2.49936,2.49961,2.50062,2.50059,9.86839e-05,17.8202,18.6415,20.0273,20.9333,21.6179,22.0974,21.7437,22.5047,25.3844,24.5802,22,13,17,19,21,21,28,30,31,31
