# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:33:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/g6pj66bo.json
# init = 2 (Default)
# random
#   seed = 97827
# output
#   file = /home/lab5/output/code4-20230416113320_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00390868
# Diagonal elements of inverse mass matrix:
# 1.40297e-05, 1.4691e-05, 1.24437e-05, 1.32137e-05, 1.33299e-05, 0.00116393, 1.55324e-05, 1.62874e-05, 1.28931e-05, 1.30257e-05, 9.90112e-06
504.092,0.999862,0.00390868,8,255,0,-503.451,2.49949,2.50125,2.50078,2.49985,2.49891,2.49924,2.50271,2.49943,2.50107,2.50123,0.00010042,17.9468,18.785,20.1982,21.1208,21.8184,22.3108,22.0405,22.7449,25.7257,24.9012,22,21,14,20,20,19,20,33,41,23
507.12,0.990875,0.00390868,8,255,0,-499.012,2.49952,2.4985,2.50007,2.50007,2.49961,2.50085,2.49771,2.50058,2.5002,2.50012,0.000107758,18.4633,19.3339,20.9424,21.9923,22.7854,23.3583,22.8971,23.8351,27.1442,26.2053,26,16,21,21,20,15,15,22,18,33
506.128,0.998318,0.00390868,8,255,0,-501.825,2.49988,2.49915,2.49816,2.49807,2.49958,2.49896,2.50059,2.50004,2.50087,2.50082,0.000109892,18.6229,19.5249,21.1277,22.2066,23.0691,23.6163,23.2529,24.1407,27.5967,26.6243,18,13,12,29,21,27,27,25,24,17
505.546,0.973577,0.00390868,8,255,0,-499.385,2.49917,2.50011,2.49809,2.49969,2.49949,2.49859,2.49931,2.49852,2.50052,2.50147,0.000102061,18.0551,18.8965,20.3107,21.3082,22.0403,22.5183,22.1786,22.9576,26.0273,25.1993,17,20,16,16,22,16,28,27,25,19
504.618,0.968195,0.00390868,8,255,0,-499.674,2.49888,2.50138,2.50266,2.49951,2.49984,2.49858,2.50045,2.5005,2.49946,2.49908,0.000107082,18.4034,19.3334,20.9253,21.8987,22.7013,23.2106,22.8688,23.7332,26.9883,26.0525,22,22,23,19,23,23,24,34,23,19
501.431,0.798819,0.00390868,7,127,0,-497.114,2.49845,2.50218,2.50308,2.49964,2.50113,2.49984,2.50003,2.49994,2.5002,2.49847,0.000106442,18.35,19.2956,20.8669,21.825,22.6462,23.1502,22.7733,23.6256,26.8801,25.9185,12,17,19,16,19,21,17,28,26,31
505.285,0.711166,0.00390868,8,255,0,-492.461,2.49994,2.50081,2.49926,2.50174,2.50009,2.49896,2.50003,2.50126,2.49961,2.49904,8.41117e-05,16.8586,17.5051,18.5801,19.3513,19.868,20.2147,19.9725,20.5875,22.7555,22.1274,21,19,20,21,14,15,17,16,25,23
506.983,0.948757,0.00390868,8,255,0,-501.779,2.50068,2.49996,2.50046,2.50074,2.49926,2.50052,2.5003,2.49791,2.50108,2.49989,0.000122021,19.5319,20.5868,22.5078,23.7965,24.7465,25.4488,24.9637,25.9777,30.2066,28.9941,17,17,22,24,23,25,23,20,24,29
506.843,0.999971,0.00390868,8,255,0,-501.458,2.50022,2.50199,2.49838,2.49967,2.50004,2.49979,2.49887,2.50041,2.50101,2.49996,0.000102643,18.1148,18.9794,20.3761,21.3757,22.1271,22.6244,22.2447,23.0843,26.1527,25.2657,14,15,20,23,17,20,23,39,29,25
503.191,0.999738,0.00390868,7,127,0,-499.563,2.50004,2.50238,2.4981,2.49966,2.49928,2.50118,2.49894,2.50014,2.50204,2.5002,0.000103819,18.1939,19.083,20.4912,21.5137,22.262,22.8173,22.4005,23.2476,26.4095,25.4837,15,21,22,20,29,17,22,25,30,29
506.816,0.891576,0.00390868,8,255,0,-498.995,2.50113,2.5002,2.49972,2.49999,2.49971,2.49883,2.49988,2.50102,2.50229,2.50008,0.000115449,19.0508,20.0179,21.7602,22.9373,23.8296,24.4183,24.0078,25.0146,28.8012,27.6763,14,25,26,17,25,31,22,25,27,36
504.62,0.960756,0.00390868,8,255,0,-498.814,2.49907,2.50171,2.50159,2.49977,2.49906,2.50091,2.5017,2.50163,2.50043,2.49953,0.00010778,18.4567,19.3978,20.9765,21.9884,22.7756,23.3629,22.9916,23.8634,27.1551,26.1937,19,16,18,28,33,25,27,31,26,32
504.334,0.994382,0.00390868,5,31,0,-503.011,2.499,2.50177,2.50161,2.49974,2.4991,2.49921,2.50174,2.5017,2.50041,2.49946,0.000110984,18.6852,19.6681,21.3175,22.3772,23.2049,23.7784,23.4294,24.3456,27.8088,26.7954,23,25,25,31,24,29,18,24,27,27
506.171,0.999903,0.00390868,8,255,0,-499.163,2.50027,2.49919,2.49887,2.49831,2.50116,2.50034,2.49903,2.49981,2.4992,2.49829,0.000110992,18.7095,19.6181,21.26,22.3463,23.2537,23.8064,23.3671,24.301,27.7769,26.7656,18,16,24,22,18,32,29,27,28,25
508.008,0.97477,0.00390868,8,255,0,-503.622,2.49931,2.49989,2.49984,2.49813,2.5003,2.50038,2.50024,2.49949,2.49984,2.49851,0.000101432,18.0138,18.8413,20.2822,21.2017,21.9777,22.473,22.1173,22.8901,25.8881,25.0127,9,22,22,31,22,17,29,27,35,18
508.244,0.855164,0.00390868,8,255,0,-504.224,2.49944,2.49875,2.49868,2.49898,2.49981,2.49956,2.50041,2.50099,2.49968,2.49962,0.000115665,19.0345,20.0076,21.7611,22.9414,23.8621,24.468,24.0509,25.0474,28.7725,27.706,15,21,24,22,22,30,30,15,19,21
506.782,0.994241,0.00390868,8,255,0,-502.173,2.49869,2.50034,2.50049,2.49786,2.49975,2.50021,2.49845,2.5004,2.49957,2.50006,0.000104232,18.1984,19.0779,20.583,21.5238,22.3261,22.852,22.4438,23.3136,26.4254,25.555,22,14,19,19,20,27,34,21,22,21
508.543,0.9596,0.00390868,8,255,0,-503.717,2.50016,2.49973,2.50103,2.49875,2.49994,2.5005,2.4996,2.50142,2.5008,2.49996,0.000114597,18.9699,19.9354,21.6957,22.8022,23.7173,24.3337,23.8811,24.8924,28.5769,27.5061,16,15,20,24,17,28,36,26,38,28
508.191,0.997638,0.00390868,8,255,0,-503.589,2.50032,2.49979,2.50032,2.49999,2.50019,2.50031,2.4983,2.50069,2.4986,2.50107,0.000111045,18.7143,19.6345,21.2966,22.3903,23.2385,23.8133,23.3575,24.3304,27.7713,26.8501,16,15,17,31,17,30,24,18,37,26
507.977,0.993623,0.00390868,8,255,0,-506.252,2.49977,2.50039,2.49968,2.50004,2.49978,2.50002,2.50181,2.4993,2.50136,2.49892,0.000103876,18.1931,19.0499,20.5297,21.5286,22.2806,22.7988,22.4724,23.2364,26.4029,25.4617,21,16,27,23,28,29,27,25,19,18
504.718,0.838364,0.00390868,8,255,0,-500.997,2.50047,2.50177,2.50067,2.49798,2.50125,2.49984,2.49996,2.50013,2.49935,2.50111,9.01661e-05,17.2668,17.984,19.1812,19.929,20.6039,20.9852,20.6944,21.3539,23.7968,23.1482,15,17,18,19,28,23,11,22,23,22
508.149,0.997452,0.00390868,8,255,0,-499.63,2.49782,2.50082,2.50012,2.49947,2.49979,2.50024,2.50008,2.50026,2.49968,2.50082,0.000102733,18.0777,18.9647,20.4209,21.382,22.1333,22.647,22.2834,23.0939,26.1354,25.3035,10,20,16,20,26,16,28,24,26,25
507.716,0.871965,0.00390868,8,255,0,-501.425,2.50196,2.49943,2.50015,2.49985,2.50026,2.49962,2.50027,2.4997,2.50099,2.49923,0.000122364,19.5827,20.6063,22.5395,23.82,24.8207,25.4787,25.0131,26.08,30.2808,29.0455,25,24,23,33,28,23,28,22,33,32
498.807,0.998674,0.00390868,7,127,0,-495.262,2.50267,2.50197,2.5013,2.5004,2.50219,2.4991,2.501,2.49859,2.498,2.49944,0.000110496,18.7186,19.6309,21.2585,22.332,23.2108,23.7058,23.3449,24.1965,27.6415,26.7018,22,25,22,10,31,25,24,35,25,31
507.248,0.86136,0.00390868,8,255,0,-493.145,2.49999,2.4997,2.50164,2.50088,2.50003,2.49968,2.49915,2.49807,2.49918,2.50026,0.000108239,18.5063,19.3971,21.0259,22.0681,22.8586,23.3987,22.9948,23.8465,27.2135,26.2985,19,23,24,24,27,16,26,20,32,26
506.861,0.994612,0.00390868,8,255,0,-501.997,2.50082,2.50036,2.49959,2.4997,2.50012,2.50198,2.50181,2.49991,2.49888,2.50002,0.000109512,18.6131,19.5165,21.1175,22.1964,23.0306,23.6336,23.2292,24.0805,27.4641,26.5312,19,17,23,27,19,27,27,19,23,37
503.382,0.999835,0.00390868,8,255,0,-501.245,2.50187,2.50099,2.49791,2.49974,2.5,2.49806,2.50126,2.49939,2.49872,2.49952,0.000107375,18.4795,19.3502,20.8568,21.939,22.7436,23.2395,22.9268,23.7501,27.027,26.1183,20,23,20,20,25,26,16,24,23,26
506.945,0.854975,0.00390868,7,127,0,-500.966,2.50062,2.50042,2.4983,2.49968,2.49918,2.50134,2.5007,2.49926,2.4996,2.49971,0.000123797,19.6651,20.7542,22.6605,24.0037,25.0016,25.7441,25.2355,26.3021,30.5626,29.357,21,12,20,27,17,25,20,23,27,31
505.953,0.999951,0.00390868,8,255,0,-502.133,2.5022,2.50037,2.49958,2.50124,2.49994,2.49905,2.50013,2.49896,2.49879,2.50005,9.60541e-05,17.6946,18.4194,19.7359,20.65,21.2934,21.7268,21.4266,22.1249,24.8476,24.112,20,14,26,19,19,19,22,26,24,20
503.245,0.906924,0.00390868,8,255,0,-497.462,2.50085,2.50069,2.49962,2.49821,2.49979,2.50271,2.50163,2.50072,2.5005,2.50118,0.000108603,18.5483,19.4469,21.022,22.0533,22.9015,23.5213,23.1012,23.964,27.3233,26.3908,23,20,24,16,24,17,21,27,27,27
503.206,0.976672,0.00390868,8,255,0,-496.23,2.50051,2.49987,2.49952,2.49725,2.49912,2.50195,2.5009,2.50022,2.49968,2.50172,0.000112861,18.8496,19.7899,21.4746,22.5522,23.46,24.1151,23.6695,24.5951,28.1788,27.2165,18,22,23,29,22,26,22,22,28,42
505.905,0.896907,0.00390868,8,255,0,-498.59,2.49992,2.5015,2.4999,2.49826,2.50091,2.5013,2.49984,2.50043,2.49838,2.50001,0.000118327,19.2404,20.2935,22.0811,23.2618,24.2607,24.9073,24.4161,25.4515,29.3092,28.2463,21,19,23,25,21,30,19,24,24,42
507.101,0.999598,0.00390868,8,255,0,-500.589,2.49792,2.50024,2.49995,2.50158,2.49945,2.50054,2.50027,2.49971,2.50031,2.50069,9.82997e-05,17.7724,18.5956,19.9674,20.9128,21.5628,22.0559,21.7144,22.4532,25.3042,24.5156,14,23,26,22,23,15,21,23,20,24
507.835,0.831262,0.00390868,7,255,0,-500.198,2.50129,2.49939,2.50083,2.49984,2.49955,2.50132,2.49943,2.50128,2.49963,2.50016,9.84611e-05,17.8436,18.5927,20.0012,20.8949,21.5852,22.0946,21.7169,22.511,25.3175,24.5306,11,16,18,16,19,28,28,19,29,12
505.441,0.9215,0.00390868,7,127,0,-502.459,2.50237,2.49938,2.50044,2.49943,2.49999,2.49865,2.49945,2.50153,2.49952,2.49961,9.70402e-05,17.7651,18.4793,19.8512,20.7243,21.4169,21.8477,21.5367,22.3183,25.0487,24.2707,19,24,18,22,11,24,21,26,24,30
508.849,0.999567,0.00390868,8,255,0,-503.167,2.50024,2.5016,2.49961,2.49933,2.49969,2.49909,2.49976,2.5007,2.4997,2.49923,0.000113414,18.8848,19.8714,21.5363,22.668,23.5489,24.1268,23.7195,24.6918,28.2957,27.2557,22,25,15,25,26,27,26,21,31,28
507.982,0.962288,0.00390868,8,255,0,-504.586,2.49886,2.50105,2.49902,2.49951,2.50054,2.50064,2.50013,2.49915,2.49984,2.5012,0.000117833,19.1834,20.2413,22.0072,23.2278,24.1823,24.8168,24.3524,25.3411,29.2445,28.1808,20,19,22,21,24,25,24,26,40,21
503.418,0.756861,0.00390868,8,255,0,-499.509,2.49888,2.49976,2.49991,2.5,2.49846,2.49914,2.49889,2.4996,2.50167,2.49825,0.000131526,20.2259,21.4414,23.5964,25.0504,26.1317,26.9137,26.3604,27.6073,32.437,30.9694,16,19,24,26,35,17,19,24,31,29
501.334,0.990356,0.00390868,8,255,0,-497.322,2.49755,2.49932,2.49941,2.49874,2.49767,2.50123,2.49957,2.49926,2.50113,2.49852,0.000118833,19.2324,20.2934,22.1265,23.3374,24.2535,24.9817,24.4822,25.502,29.5008,28.3056,19,21,22,23,20,23,19,25,31,33
506.819,0.970184,0.00390868,8,255,0,-495.857,2.49849,2.49919,2.50026,2.50038,2.49978,2.49902,2.49962,2.50144,2.50097,2.49858,0.000102538,18.0762,18.9179,20.4038,21.3786,22.108,22.5929,22.2477,23.0931,26.1314,25.2119,21,15,21,19,18,23,19,19,36,24
503.895,0.569688,0.00390868,8,255,0,-499.396,2.50033,2.50148,2.49934,2.49963,2.5006,2.50076,2.50041,2.49867,2.49846,2.50076,0.000136068,20.6138,21.9018,24.1274,25.6723,26.8885,27.7063,27.1147,28.3726,33.4433,32.0661,18,14,21,27,34,26,31,36,31,24
502.436,0.995722,0.00390868,8,255,0,-496.314,2.49925,2.5012,2.50038,2.50134,2.49827,2.49815,2.49876,2.50066,2.49946,2.49803,9.29988e-05,17.4354,18.194,19.4508,20.3089,20.8835,21.3108,21.0166,21.7453,24.3059,23.5463,17,21,17,27,30,19,12,25,16,26
503.911,0.996309,0.00390868,8,255,0,-497.382,2.50045,2.49845,2.49966,2.49861,2.50179,2.49871,2.50083,2.50008,2.5005,2.50211,0.000101293,18.0248,18.8028,20.2643,21.1956,21.9926,22.4166,22.1122,22.8837,25.8785,25.0781,13,17,15,27,16,18,25,18,26,30
509.623,0.996397,0.00390868,7,127,0,-501.261,2.49941,2.49878,2.49947,2.49985,2.5003,2.50051,2.49971,2.49961,2.50017,2.50083,0.000116236,19.0759,20.0574,21.8411,23.0333,23.953,24.5759,24.1148,25.102,28.9089,27.8524,17,15,33,24,27,16,25,21,32,23
510.18,0.874807,0.00390868,7,255,0,-506.247,2.50024,2.49955,2.49992,2.50015,2.49975,2.49986,2.50027,2.5004,2.50019,2.50086,0.00012156,19.4885,20.5376,22.4435,23.7225,24.6924,25.3614,24.8952,25.9681,30.0764,28.9274,23,23,24,16,27,30,29,30,34,25
508.42,0.999311,0.00390868,8,255,0,-506.27,2.49903,2.4994,2.50148,2.49932,2.50076,2.49978,2.49997,2.50029,2.50011,2.49951,9.47616e-05,17.5508,18.2994,19.6454,20.4649,21.1514,21.5737,21.2612,21.9768,24.6426,23.8785,18,25,14,23,26,24,23,18,22,21
508.401,0.995169,0.00390868,8,255,0,-505.44,2.501,2.49923,2.49884,2.49932,2.50018,2.5009,2.50045,2.49939,2.4999,2.50103,0.000100408,17.9731,18.746,20.1578,21.1081,21.8446,22.3462,21.9892,22.7424,25.6934,24.8942,12,20,14,22,22,18,13,27,28,16
505.842,0.780193,0.00390868,8,255,0,-501,2.49994,2.50068,2.49997,2.50067,2.49935,2.49898,2.49947,2.50151,2.50103,2.49858,0.000128506,20.0124,21.1842,23.2422,24.6556,25.6997,26.4234,25.9117,27.1452,31.6967,30.3219,22,21,30,27,20,25,31,27,36,34
508.939,0.985477,0.00390868,8,255,0,-504.164,2.49987,2.50029,2.50057,2.50048,2.50058,2.50082,2.49983,2.49957,2.50148,2.50005,9.56394e-05,17.6251,18.3852,19.7144,20.5874,21.2556,21.7108,21.3682,22.0814,24.8377,24.0411,9,19,17,19,20,29,25,32,16,31
508.767,0.994541,0.00390868,8,255,0,-503.788,2.5001,2.4998,2.49941,2.49949,2.49934,2.49862,2.4999,2.49987,2.49851,2.49991,0.000100899,17.991,18.7963,20.219,21.1685,21.8887,22.3615,22.0405,22.823,25.7514,24.9531,19,14,14,26,19,14,31,21,22,28
508.138,0.983196,0.00390868,8,255,0,-501.643,2.49956,2.5004,2.50114,2.50031,2.50114,2.4998,2.50012,2.50019,2.50148,2.50098,9.91508e-05,17.8603,18.6668,20.0768,20.984,21.7064,22.1532,21.8201,22.5832,25.4946,24.6713,20,17,13,21,29,18,22,24,28,23
507.773,0.971773,0.00390868,8,255,0,-502.482,2.49879,2.49991,2.49882,2.50003,2.4999,2.50064,2.49983,2.49906,2.49882,2.49855,0.000106191,18.3385,19.2312,20.752,21.8032,22.5852,23.1337,22.7352,23.5678,26.7929,25.8743,25,30,30,32,29,31,23,18,20,30
506.354,0.953026,0.00390868,8,255,0,-502.38,2.49961,2.49855,2.50102,2.50012,2.49975,2.49956,2.4999,2.50167,2.50047,2.49801,0.000107611,18.4546,19.3226,20.9467,21.9756,22.7691,23.3076,22.9274,23.8393,27.122,26.1227,15,19,17,20,25,20,17,31,27,30
507.175,0.878357,0.00390868,8,255,0,-502.415,2.50041,2.50166,2.49801,2.5007,2.50037,2.49956,2.4997,2.49983,2.49989,2.50053,9.87377e-05,17.847,18.6572,19.9726,20.9446,21.6376,22.0926,21.7581,22.5172,25.3761,24.5881,19,25,17,21,17,24,21,35,30,28
504.611,0.999437,0.00390868,8,255,0,-500.469,2.49893,2.49936,2.50055,2.50148,2.49883,2.50045,2.49766,2.49999,2.49982,2.49854,0.000118015,19.1982,20.223,22.0611,23.2969,24.1666,24.8393,24.3183,25.3911,29.2835,28.1421,22,15,22,30,34,26,23,32,26,34
502.345,0.955569,0.00390868,8,255,0,-497.064,2.49846,2.50016,2.50064,2.49914,2.49822,2.50064,2.4993,2.50054,2.50094,2.49713,9.46519e-05,17.5333,18.3049,19.6181,20.4488,21.0842,21.5781,21.2332,21.9673,24.6428,23.8033,17,17,18,28,19,17,22,26,23,18
505.682,0.843079,0.00390868,8,255,0,-498.884,2.50095,2.50082,2.49947,2.5002,2.50125,2.49935,2.50063,2.50002,2.49926,2.5025,9.83577e-05,17.8304,18.6111,19.9637,20.8906,21.6089,22.0374,21.7296,22.4682,25.2885,24.5701,19,13,21,22,32,35,19,18,27,26
498.851,0.999738,0.00390868,8,255,0,-492.175,2.49942,2.49833,2.50159,2.50279,2.50041,2.50017,2.49718,2.50107,2.50157,2.50036,0.000103404,18.1536,18.9719,20.5199,21.5321,22.2335,22.7372,22.3066,23.2092,26.3159,25.4128,16,23,22,21,18,19,26,29,31,32
504.513,0.805837,0.00390868,8,255,0,-489.835,2.49993,2.5015,2.49908,2.50061,2.49982,2.49935,2.50203,2.49968,2.4984,2.50115,9.17702e-05,17.3646,18.1036,19.3059,20.1579,20.7672,21.1788,20.9339,21.5585,24.0594,23.4147,11,15,26,23,19,22,22,22,16,29
