# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:34:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/el_99cul.json
# init = 2 (Default)
# random
#   seed = 30980
# output
#   file = /home/lab5/output/code4-20230416113404_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000562899
# Diagonal elements of inverse mass matrix:
# 2.45422, 0.157327, 0.256085, 1.85585, 1.16988, 2.14041, 0.857233, 2.15401, 0.203259, 0.484419, 1.49718e-05
505.551,0.866664,0.000562899,4,15,0,-497.313,2.50032,2.50035,2.50018,2.50035,2.49983,2.50074,2.49835,2.49894,2.49858,2.49898,8.52767e-05,16.9412,17.5849,18.7065,19.4481,19.9979,20.3934,20.0758,20.6893,22.9298,22.3101,14,17,21,26,24,21,14,16,22,31
506.974,0.853396,0.000562899,4,15,0,-496.875,2.50023,2.50172,2.49826,2.50032,2.50068,2.50072,2.49981,2.4996,2.4991,2.50102,0.000112732,18.8349,19.8156,21.4336,22.6057,23.4789,24.0666,23.6258,24.5604,28.1356,27.1723,21,25,20,23,30,25,18,22,29,29
509.155,0.813227,0.000562899,4,15,0,-501.831,2.50021,2.50038,2.49959,2.49917,2.501,2.50024,2.49983,2.49923,2.50017,2.49857,0.000104488,18.2441,19.0998,20.591,21.5822,22.3874,22.8882,22.5089,23.3235,26.4916,25.5634,11,14,17,23,31,22,13,27,31,23
507.173,0.745033,0.000562899,3,7,0,-502.739,2.49886,2.50101,2.50002,2.50085,2.50008,2.49949,2.50122,2.50062,2.50125,2.49861,0.000103138,18.1248,19.0013,20.4605,21.4592,22.1918,22.6854,22.362,23.1606,26.2554,25.3204,12,22,21,18,28,28,20,16,28,28
505.608,0.965766,0.000562899,4,15,0,-501.755,2.50069,2.50176,2.49965,2.49895,2.4999,2.50088,2.49843,2.49941,2.50077,2.49826,0.000107993,18.5018,19.4166,20.9583,21.9959,22.8231,23.3922,22.9451,23.842,27.2072,26.2001,16,26,27,19,25,31,31,29,27,18
501.207,0.621725,0.000562899,3,7,0,-494.094,2.49997,2.50158,2.50018,2.49909,2.49859,2.49836,2.50017,2.49973,2.50153,2.49679,0.000112407,18.8065,19.7851,21.4399,22.5378,23.3858,23.963,23.5891,24.5139,28.136,26.9956,19,16,21,10,28,24,16,19,31,27
502.795,0.811403,0.000562899,4,15,0,-491.089,2.49974,2.50124,2.49972,2.50094,2.49842,2.50287,2.50055,2.50007,2.49911,2.50161,9.89965e-05,17.8528,18.6702,20.0329,20.9794,21.6279,22.2004,21.8096,22.5589,25.4051,24.6598,20,14,17,24,17,25,22,27,20,22
506.296,0.998084,0.000562899,3,15,0,-496.379,2.50055,2.50031,2.50052,2.49933,2.50097,2.50125,2.49948,2.49911,2.50027,2.49966,0.000133945,20.45,21.6775,23.8996,25.3678,26.5685,27.3671,26.7539,28.0125,32.9794,31.5511,21,23,21,26,28,23,26,25,31,26
508.431,0.962558,0.000562899,3,7,0,-502.405,2.49998,2.50047,2.50102,2.50062,2.49914,2.49985,2.50008,2.5004,2.49999,2.49992,0.000129335,20.0776,21.2554,23.3637,24.7668,25.8185,26.5792,26.0542,27.2553,31.8594,30.5419,28,28,17,25,27,34,29,31,26,34
508.738,0.880618,0.000562899,3,7,0,-505.463,2.50006,2.50122,2.49979,2.50104,2.50137,2.50025,2.49984,2.50056,2.49954,2.50013,0.00011724,19.1626,20.1934,21.9586,23.1879,24.119,24.7186,24.2606,25.2833,29.1071,28.0321,18,26,22,24,32,24,27,27,38,27
505.256,0.657992,0.000562899,4,15,0,-500.136,2.49861,2.49934,2.5012,2.50104,2.49955,2.5004,2.49845,2.50179,2.49944,2.49985,0.00012175,19.471,20.5501,22.4937,23.7682,24.7147,25.4042,24.8776,26.035,30.0965,28.9372,16,21,26,19,30,21,31,29,36,24
507.311,1,0.000562899,4,15,0,-502.212,2.49843,2.50014,2.50058,2.5,2.5,2.49896,2.50154,2.50017,2.50097,2.5011,0.000112599,18.7914,19.7729,21.469,22.582,23.4448,24.0051,23.6482,24.5539,28.1604,27.1489,29,16,18,23,23,20,31,27,35,40
506.909,0.986645,0.000562899,3,15,0,-503.835,2.49931,2.4999,2.50057,2.50025,2.50007,2.49875,2.50164,2.50124,2.50074,2.50148,0.000110445,18.6522,19.586,21.2378,22.3226,23.1546,23.6902,23.3529,24.2529,27.7068,26.7468,17,12,20,22,18,25,35,39,33,29
508.049,0.975091,0.000562899,3,15,0,-501.651,2.49981,2.50048,2.50142,2.50074,2.50174,2.49915,2.50039,2.49953,2.50034,2.5004,0.000107748,18.468,19.3713,20.9695,22.0057,22.8326,23.3174,22.957,23.8086,27.1461,26.2106,11,27,22,9,23,27,19,26,26,37
505.114,0.942016,0.000562899,4,15,0,-503.076,2.50135,2.50094,2.50077,2.49983,2.49827,2.50149,2.49946,2.50034,2.50025,2.49929,8.72691e-05,17.0895,17.7466,18.9058,19.6514,20.1994,20.6555,20.335,20.9768,23.3109,22.6352,17,18,16,21,15,22,27,17,18,21
504.964,1,0.000562899,4,15,0,-501.964,2.49831,2.50157,2.50059,2.50008,2.50061,2.49908,2.5013,2.50004,2.50077,2.49995,8.55726e-05,16.9264,17.6288,18.742,19.4744,20.0479,20.396,20.1702,20.7502,23.0307,22.3788,18,22,14,22,29,15,16,15,28,25
506.726,0.997366,0.000562899,4,15,0,-502.208,2.49829,2.49869,2.49963,2.49947,2.50019,2.499,2.49844,2.50038,2.50026,2.50032,9.81016e-05,17.7654,18.551,19.9411,20.846,21.5538,21.9957,21.6495,22.4405,25.2658,24.4719,19,21,20,21,16,17,26,21,24,23
503.807,0.838057,0.000562899,4,15,0,-498.883,2.50134,2.50136,2.50029,2.50077,2.5002,2.49867,2.4976,2.49957,2.49969,2.50008,8.75464e-05,17.1078,17.7752,18.9232,19.6999,20.2711,20.6319,20.3303,20.9967,23.346,22.6979,12,16,13,24,26,18,21,30,20,39
502.646,0.749812,0.000562899,4,15,0,-493.972,2.49911,2.49911,2.49921,2.49992,2.49979,2.49805,2.50237,2.49853,2.49797,2.49975,0.000109029,18.5466,19.4516,21.0583,22.1426,22.9583,23.4722,23.1762,23.975,27.3408,26.4332,18,15,20,20,17,26,22,20,34,27
500.187,0.894704,0.000562899,3,7,0,-493.955,2.50149,2.49878,2.49877,2.49895,2.50289,2.49901,2.50133,2.4992,2.4979,2.50064,0.000110157,18.672,19.5398,21.1689,22.2585,23.1813,23.6554,23.3063,24.1601,27.5692,26.6696,22,21,27,26,26,25,22,22,31,31
496.386,0.978734,0.000562899,3,7,0,-491.829,2.49959,2.4969,2.49948,2.50084,2.49709,2.50031,2.49771,2.50166,2.49823,2.49994,0.000108988,18.5526,19.4052,21.0596,22.158,22.891,23.5197,23.0631,24.0442,27.3396,26.4305,12,20,23,25,24,26,30,27,26,31
496.478,1,0.000562899,4,15,0,-489.375,2.50059,2.5034,2.50055,2.50041,2.4974,2.49971,2.49797,2.49829,2.50139,2.49865,0.000115113,19.0158,20.0531,21.7415,22.9049,23.7283,24.3905,23.9145,24.8945,28.7037,27.571,22,22,17,16,33,22,27,23,19,24
505.667,1,0.000562899,3,15,0,-492.723,2.50008,2.49845,2.50102,2.50022,2.50172,2.49972,2.50203,2.4999,2.50014,2.5011,0.000105595,18.3201,19.154,20.7355,21.7363,22.5481,23.0295,22.7055,23.5005,26.7099,25.8308,16,20,20,19,28,18,18,17,23,22
502.665,0.7411,0.000562899,3,15,0,-497.728,2.49981,2.50043,2.50151,2.50161,2.49824,2.50092,2.49746,2.50145,2.49944,2.4999,0.000111459,18.7346,19.682,21.3662,22.4776,23.249,23.8875,23.3946,24.4115,27.88,26.8975,21,12,15,37,29,33,20,20,39,27
501.6,0.993928,0.000562899,3,7,0,-497.112,2.49935,2.50081,2.50255,2.49939,2.5021,2.49933,2.50255,2.50064,2.50056,2.50013,0.000110265,18.6399,19.5886,21.2606,22.2814,23.1776,23.6784,23.3494,24.2113,27.6647,26.6765,28,16,24,10,20,25,17,25,26,31
507.461,0.98706,0.000562899,4,15,0,-497.988,2.49938,2.49988,2.49951,2.49975,2.49975,2.49968,2.49839,2.50027,2.49818,2.50004,0.000121657,19.4791,20.5529,22.4452,23.7254,24.7064,25.3716,24.8626,25.9803,30.0377,28.9234,33,17,20,28,21,28,25,22,30,22
506.255,0.978472,0.000562899,4,15,0,-504.533,2.49925,2.4998,2.50036,2.50103,2.50012,2.50042,2.49846,2.5002,2.50193,2.49961,9.0994e-05,17.301,18.0126,19.2553,20.0808,20.6799,21.1024,20.7641,21.4657,24.0056,23.25,18,16,23,18,24,28,19,18,25,27
500.34,0.612636,0.000562899,4,15,0,-495.672,2.50079,2.49833,2.49924,2.50039,2.49922,2.50074,2.50185,2.50316,2.49833,2.50033,0.000119093,19.3143,20.2962,22.1518,23.4093,24.328,25.0089,24.5756,25.6432,29.4751,28.4096,11,26,20,21,17,25,20,28,31,30
504.107,0.993584,0.000562899,4,31,0,-497.098,2.50072,2.4998,2.50091,2.50047,2.49884,2.50075,2.49879,2.50278,2.50137,2.50019,0.000115188,19.0239,19.9876,21.7576,22.9155,23.7728,24.4269,23.9449,25.0179,28.7193,27.628,16,25,39,28,24,23,28,16,33,35
500.707,0.908108,0.000562899,4,31,0,-497.272,2.50071,2.49855,2.50055,2.50035,2.50186,2.50135,2.5012,2.50311,2.50004,2.50005,0.000124846,19.7468,20.809,22.8316,24.1584,25.2219,25.9078,25.4043,26.5765,30.8157,29.5869,22,18,31,23,32,27,29,30,32,29
502.564,1,0.000562899,3,7,0,-497.559,2.49905,2.49833,2.49988,2.49965,2.49926,2.4988,2.50058,2.49682,2.50072,2.50031,0.000120426,19.3804,20.4129,22.3151,23.5638,24.5184,25.1619,24.7376,25.6933,29.8401,28.6796,20,20,28,30,19,24,35,27,32,28
505.249,0.935252,0.000562899,4,15,0,-497.243,2.50104,2.5004,2.50073,2.49933,2.49934,2.50262,2.50001,2.49952,2.49909,2.49985,9.19646e-05,17.397,18.0988,19.3566,20.1536,20.7806,21.2731,20.9154,21.5809,24.111,23.4165,14,25,12,13,16,19,18,23,31,17
504.223,0.967371,0.000562899,4,15,0,-499.681,2.49946,2.50021,2.50066,2.5007,2.49958,2.49758,2.50066,2.50002,2.50013,2.50135,8.27496e-05,16.7622,17.3925,18.4792,19.1874,19.7013,20.0215,19.8257,20.3885,22.5381,21.9651,13,16,15,15,19,22,13,21,22,23
504.061,0.943227,0.000562899,4,31,0,-497.971,2.49932,2.49978,2.49993,2.50152,2.50034,2.4985,2.50092,2.50122,2.49978,2.50181,0.000130458,20.1515,21.3435,23.4704,24.9421,26.0191,26.7238,26.249,27.469,32.12,30.845,22,19,25,27,26,28,23,20,30,30
505.939,0.98415,0.000562899,4,23,0,-500.328,2.50038,2.50018,2.50009,2.49853,2.50085,2.50162,2.50121,2.49882,2.5006,2.50062,9.2416e-05,17.4159,18.1301,19.3883,20.1874,20.8667,21.3097,20.9961,21.6265,24.2284,23.5099,17,15,18,27,28,12,27,25,26,21
507.197,0.994,0.000562899,4,23,0,-502.745,2.49944,2.49958,2.49993,2.50147,2.50038,2.49848,2.50085,2.50121,2.49888,2.50026,0.000114099,18.9198,19.8897,21.6175,22.8021,23.6593,24.2119,23.8411,24.8101,28.4167,27.4169,17,20,21,13,27,27,24,15,19,35
505.746,0.986139,0.000562899,4,15,0,-502.324,2.5005,2.50084,2.49947,2.49944,2.4982,2.50124,2.50023,2.49879,2.49808,2.50033,0.000112774,18.8432,19.8018,21.4641,22.5912,23.4266,24.0854,23.6415,24.5468,28.1158,27.162,12,16,14,20,28,18,15,20,31,21
504.935,0.973601,0.000562899,4,15,0,-500.129,2.49944,2.50088,2.50055,2.50088,2.49823,2.49864,2.49865,2.50109,2.50109,2.49932,0.00012194,19.5016,20.5986,22.5005,23.7892,24.7095,25.3886,24.9105,26.0474,30.1888,28.961,13,21,25,25,22,23,28,27,26,41
505.643,1,0.000562899,3,7,0,-502.045,2.49954,2.50057,2.49994,2.50033,2.50126,2.49913,2.50134,2.50087,2.50165,2.50144,0.000121782,19.4916,20.5783,22.469,23.7556,24.7619,25.377,24.9545,26.0163,30.1703,28.9898,22,24,15,19,13,18,19,24,26,28
507.258,0.884779,0.000562899,4,15,0,-496.6,2.50027,2.49973,2.49948,2.50016,2.50145,2.50073,2.50034,2.50064,2.49786,2.50054,0.00011428,18.9487,19.9083,21.6274,22.7948,23.7094,24.2928,23.8542,24.8239,28.426,27.4599,18,27,19,23,33,23,29,24,12,25
508.4,0.981471,0.000562899,3,7,0,-505.385,2.50032,2.49973,2.49935,2.49947,2.49854,2.50023,2.49996,2.49868,2.49917,2.50059,0.000116987,19.1489,20.1413,21.9209,23.1194,24.0156,24.6805,24.2277,25.1962,29.0417,27.9948,19,27,21,24,27,30,25,19,25,32
508.552,0.895123,0.000562899,4,15,0,-505.364,2.50083,2.49934,2.50019,2.4996,2.49926,2.50045,2.50062,2.50153,2.50078,2.49924,0.000104058,18.2253,19.0447,20.5588,21.5408,22.2926,22.8336,22.4696,23.3148,26.4232,25.5027,26,20,24,18,22,26,17,22,31,31
506.842,0.961862,0.000562899,4,23,0,-502.697,2.50084,2.50037,2.50161,2.49893,2.50009,2.50054,2.50066,2.50128,2.49887,2.50087,0.000116955,19.1565,20.1516,21.967,23.103,24.0485,24.6833,24.2402,25.2566,29.0262,27.9964,16,21,17,23,23,27,31,32,23,25
505.718,0.822049,0.000562899,4,31,0,-500.417,2.49916,2.49978,2.50046,2.50108,2.49866,2.49889,2.4986,2.49858,2.49932,2.49963,0.000124158,19.6639,20.7731,22.7508,24.0851,25.0411,25.737,25.2362,26.3432,30.6361,29.43,16,19,16,24,22,22,21,18,26,33
505.481,0.980236,0.000562899,4,15,0,-500.018,2.49988,2.49897,2.49996,2.50069,2.49849,2.49857,2.50126,2.49929,2.50178,2.50085,0.000115511,19.0316,19.9987,21.7723,22.9613,23.8091,24.4213,24.0496,24.9809,28.7998,27.7097,11,15,29,29,24,27,29,26,31,21
