# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:34:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/el_99cul.json
# init = 2 (Default)
# random
#   seed = 30980
# output
#   file = /home/lab5/output/code4-20230416113404_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 2.08282e-42
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.05524e-05
-1.73431e+75,1,2.08282e-42,1,1,0,1.73433e+75,-1.43422,0.888923,1.77105,-1.79546,0.443481,-1.1874,1.55992,-1.76571,-0.460862,0.952106,0.0233692,3.82978e+38,1.06479e+44,6.14863e+51,7.03983e+54,1.58336e+59,5.17552e+60,2.10784e+60,2.4611e+62,1.73081e+75,3.49367e+72,0,0,0,0,0,0,0,0,0,0
-1.73429e+75,1,2.08282e-42,1,1,0,1.73431e+75,-1.43422,0.888923,1.77105,-1.79546,0.443481,-1.1874,1.55992,-1.76571,-0.460862,0.952106,0.0233692,3.82976e+38,1.06479e+44,6.14859e+51,7.03978e+54,1.58334e+59,5.17548e+60,2.10782e+60,2.46108e+62,1.7308e+75,3.49363e+72,0,0,0,0,0,0,0,0,0,0
-1.73427e+75,1,2.08282e-42,1,1,0,1.73429e+75,-1.43422,0.888923,1.77105,-1.79546,0.443481,-1.1874,1.55992,-1.76571,-0.460862,0.952106,0.0233692,3.82974e+38,1.06478e+44,6.14855e+51,7.03973e+54,1.58333e+59,5.17544e+60,2.1078e+60,2.46106e+62,1.73078e+75,3.4936e+72,0,0,0,0,0,0,0,0,0,0
-1.73398e+75,1,2.08282e-42,3,7,0,1.73427e+75,-1.43422,0.888923,1.77105,-1.79546,0.443481,-1.1874,1.55992,-1.76571,-0.460862,0.952106,0.0233692,3.8294e+38,1.06468e+44,6.14785e+51,7.03885e+54,1.58312e+59,5.17473e+60,2.10752e+60,2.46071e+62,1.73049e+75,3.49304e+72,0,0,0,0,0,0,0,0,0,0
-1.73282e+75,1,2.08282e-42,4,15,0,1.73398e+75,-1.43422,0.888923,1.77105,-1.79546,0.443481,-1.1874,1.55992,-1.76571,-0.460862,0.952106,0.0233691,3.82807e+38,1.06426e+44,6.14505e+51,7.03537e+54,1.58229e+59,5.17191e+60,2.1064e+60,2.45933e+62,1.72932e+75,3.49079e+72,0,0,0,0,0,0,0,0,0,0
-1.73252e+75,1,2.08282e-42,3,7,0,1.73282e+75,-1.43422,0.888923,1.77105,-1.79546,0.443481,-1.1874,1.55992,-1.76571,-0.460862,0.952106,0.0233691,3.82773e+38,1.06416e+44,6.14435e+51,7.03449e+54,1.58208e+59,5.1712e+60,2.10612e+60,2.45898e+62,1.72903e+75,3.49023e+72,0,0,0,0,0,0,0,0,0,0
