# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:34:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/x9k19esu.json
# init = 2 (Default)
# random
#   seed = 68384
# output
#   file = /home/lab5/output/code4-20230416113455_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.0031983
# Diagonal elements of inverse mass matrix:
# 1.08518e-05, 1.09967e-05, 1.09065e-05, 1.08914e-05, 1.08793e-05, 1.08545e-05, 1.08562e-05, 1.071e-05, 1.07518e-05, 1.09509e-05, 9.90113e-06
504.01,0.90759,0.0031983,8,511,0,-498.197,2.49808,2.49952,2.50093,2.49975,2.50089,2.50099,2.49916,2.50126,2.50018,2.49876,0.000131513,20.2087,21.4351,23.619,25.0424,26.1934,26.9615,26.3656,27.6511,32.3858,30.9827,21,22,15,28,27,28,24,23,29,28
505.853,0.999598,0.0031983,8,255,0,-500.86,2.49791,2.4987,2.50008,2.49983,2.50148,2.49976,2.49939,2.50057,2.50017,2.49865,0.000117105,19.1114,20.1308,21.9499,23.1427,24.1026,24.6864,24.2305,25.2622,29.0962,27.9638,22,15,23,22,24,24,28,28,27,27
505.719,0.999546,0.0031983,9,511,0,-500.105,2.50055,2.50088,2.49845,2.50005,2.49865,2.49831,2.50027,2.50014,2.50103,2.50143,0.000115056,19.0109,19.9978,21.6896,22.8894,23.75,24.3478,23.9616,24.9315,28.6812,27.6365,18,17,17,18,18,34,26,22,25,17
504.884,0.910473,0.0031983,9,511,0,-501.638,2.50027,2.50097,2.49828,2.49992,2.49903,2.49902,2.50072,2.50013,2.50063,2.50211,9.20258e-05,17.3877,18.1139,19.3152,20.1724,20.7816,21.2044,20.9379,21.6024,24.1591,23.4797,14,15,15,16,17,28,19,22,31,23
505.991,0.972932,0.0031983,8,511,0,-499.7,2.49885,2.50157,2.49959,2.49844,2.49873,2.49993,2.4993,2.4998,2.50132,2.50003,9.7694e-05,17.7475,18.572,19.8996,20.7782,21.4713,21.9622,21.6162,22.3707,25.216,24.3942,17,16,12,18,31,21,31,23,21,27
506.225,0.994258,0.0031983,9,511,0,-499.192,2.49736,2.49932,2.49936,2.50038,2.50035,2.50036,2.50039,2.50066,2.49881,2.50008,0.000116224,19.036,20.0671,21.8373,23.0441,23.9526,24.5704,24.1296,25.1265,28.8672,27.8291,18,17,18,27,28,19,25,23,34,25
506.563,0.87474,0.0031983,9,511,0,-499.538,2.50236,2.50074,2.50081,2.49984,2.49942,2.49954,2.49989,2.49898,2.50125,2.49985,0.000113288,18.9157,19.8435,21.5485,22.6639,23.5254,24.1192,23.7049,24.6301,28.3128,27.2482,25,15,24,24,27,29,22,26,31,19
503.638,0.959017,0.0031983,8,255,0,-500.098,2.49932,2.49821,2.4986,2.50123,2.49953,2.50139,2.50001,2.50117,2.4979,2.50052,0.000116874,19.1214,20.1009,21.892,23.1458,24.0237,24.6922,24.2128,25.2413,28.9804,27.9704,14,13,27,27,18,25,27,30,30,29
499.537,0.938038,0.0031983,8,255,0,-494.657,2.50226,2.50313,2.50066,2.49987,2.49955,2.49897,2.49845,2.49855,2.50108,2.49988,9.28984e-05,17.4812,18.2214,19.4464,20.268,20.8981,21.3153,20.9978,21.6858,24.3271,23.5731,15,20,21,27,16,20,24,21,24,23
507.668,0.999306,0.0031983,8,255,0,-497.18,2.49903,2.49842,2.49998,2.49988,2.50143,2.5,2.49978,2.50057,2.49892,2.4991,0.000104852,18.2483,19.0923,20.6367,21.6406,22.4442,22.9328,22.5557,23.4075,26.5302,25.6432,18,25,18,34,19,22,23,31,24,21
