# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:34:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/x9k19esu.json
# init = 2 (Default)
# random
#   seed = 68384
# output
#   file = /home/lab5/output/code4-20230416113455_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000622061
# Diagonal elements of inverse mass matrix:
# 0.307787, 2.0701, 0.117906, 1.07816, 0.0547753, 0.260399, 2.74227, 1.58609, 0.138078, 0.248265, 1.05139e-05
508.477,0.844454,0.000622061,3,7,0,-502.14,2.49998,2.49998,2.5007,2.5006,2.50105,2.50017,2.50024,2.50077,2.50066,2.49892,0.000123845,19.6562,20.7493,22.7204,24.0323,25.0553,25.7215,25.231,26.3497,30.6061,29.3439,26,12,18,21,22,28,31,35,35,20
504.702,0.849223,0.000622061,4,15,0,-501.768,2.5013,2.49958,2.50148,2.49857,2.50118,2.49824,2.50045,2.49969,2.50057,2.50163,0.000107737,18.4948,19.3531,20.9697,21.9569,22.8184,23.2946,22.9569,23.8107,27.15,26.2408,22,13,19,25,30,18,17,18,40,30
505.2,0.944291,0.000622061,4,15,0,-501.445,2.49848,2.49889,2.49997,2.49918,2.49985,2.50165,2.5005,2.49964,2.50048,2.49817,9.32447e-05,17.4385,18.1713,19.4667,20.2927,20.9465,21.4172,21.0837,21.7562,24.3752,23.5908,22,20,21,15,25,27,21,25,26,22
506.328,0.963982,0.000622061,4,15,0,-500.106,2.50193,2.49887,2.49833,2.50032,2.49991,2.49956,2.50024,2.49901,2.49906,2.5003,0.000116295,19.1283,20.0643,21.8224,23.0516,23.9518,24.5612,24.1359,25.0962,28.8894,27.8492,21,22,24,21,22,16,21,27,28,25
508.382,0.828325,0.000622061,4,15,0,-500.395,2.50013,2.49974,2.50043,2.49974,2.49933,2.50035,2.5005,2.49858,2.49976,2.49873,0.000122423,19.5515,20.6179,22.5525,23.8251,24.8062,25.5062,25.0277,26.0605,30.257,29.0433,23,18,19,21,27,21,24,24,38,35
507.223,0.988031,0.000622061,4,15,0,-503.768,2.49987,2.49977,2.50184,2.49935,2.5005,2.49965,2.49949,2.49947,2.50143,2.50125,0.000115111,19.002,19.9803,21.7694,22.8802,23.8015,24.3885,23.9506,24.9233,28.7043,27.6422,15,26,14,19,27,22,19,26,25,29
506.082,0.754652,0.000622061,4,15,0,-502.732,2.50015,2.49879,2.49866,2.4995,2.50125,2.50029,2.50105,2.4995,2.49865,2.49843,0.000102654,18.1143,18.9196,20.383,21.3734,22.1554,22.6374,22.2947,23.0651,26.0933,25.2291,22,13,15,19,20,27,19,20,25,18
506.578,0.960474,0.000622061,4,15,0,-501.013,2.50019,2.50123,2.50088,2.49972,2.50179,2.49975,2.50096,2.49907,2.50062,2.50151,0.000107542,18.4604,19.3688,20.9365,21.9586,22.8064,23.3022,22.9424,23.7671,27.1121,26.2013,19,18,13,28,29,21,28,15,19,25
506.474,0.813991,0.000622061,4,15,0,-499.526,2.50177,2.49963,2.49861,2.50011,2.50097,2.50086,2.50077,2.49845,2.49981,2.49996,0.00010113,18.0371,18.8118,20.2265,21.2085,21.9538,22.4428,22.0896,22.8233,25.8292,24.9953,24,23,24,27,25,24,18,23,20,33
506.233,0.977392,0.000622061,4,15,0,-502.004,2.49913,2.5009,2.49895,2.49931,2.50152,2.49989,2.50019,2.50149,2.49903,2.49919,9.51367e-05,17.5779,18.3566,19.6328,20.5067,21.2136,21.6251,21.3128,22.0548,24.6847,23.9346,15,21,16,24,14,23,18,20,26,21
508.03,0.948036,0.000622061,4,15,0,-502.501,2.49833,2.4996,2.49884,2.50028,2.50068,2.49989,2.49993,2.49906,2.4991,2.49949,0.000101866,18.0264,18.871,20.306,21.2979,22.0416,22.5209,22.1668,22.942,25.9524,25.1146,19,18,24,20,21,18,22,29,33,25
507.182,0.877556,0.000622061,4,15,0,-502.612,2.4998,2.50019,2.49891,2.49937,2.5012,2.49885,2.5007,2.50107,2.49847,2.50035,0.000114893,18.9848,19.9701,21.6819,22.8534,23.7882,24.3371,23.949,24.9295,28.5732,27.5747,16,20,17,25,23,19,21,32,31,30
506.907,0.962287,0.000622061,4,15,0,-501.187,2.50073,2.50006,2.50091,2.50059,2.49864,2.50093,2.49958,2.49903,2.50176,2.50068,0.000101969,18.0769,18.8881,20.3587,21.3164,22.0098,22.5584,22.1724,22.9561,26.0415,25.1629,24,23,26,31,31,14,23,19,30,31
505.213,0.949605,0.000622061,4,15,0,-502.375,2.49993,2.50051,2.49874,2.49877,2.49839,2.49883,2.49941,2.50116,2.49832,2.49913,0.000103445,18.1658,19.0169,20.4658,21.4505,22.1939,22.7125,22.3618,23.2174,26.2386,25.3888,15,29,28,22,20,23,23,31,24,22
506.21,0.913507,0.000622061,4,15,0,-497.957,2.49987,2.49995,2.50034,2.5008,2.49969,2.49795,2.49918,2.49898,2.50112,2.50148,9.95734e-05,17.895,18.6923,20.1035,21.0429,21.7281,22.1686,21.8539,22.6154,25.5655,24.7579,20,12,20,23,33,23,19,27,24,26
505.255,0.964045,0.000622061,4,15,0,-502.929,2.50033,2.49953,2.49963,2.49994,2.49977,2.50199,2.49897,2.50154,2.49915,2.49824,9.7607e-05,17.7677,18.5271,19.8916,20.7994,21.483,21.9959,21.598,22.3976,25.145,24.3353,18,14,22,13,16,22,22,24,27,34
507.573,0.811367,0.000622061,3,11,0,-500.924,2.49935,2.50169,2.49963,2.50012,2.50015,2.49875,2.50088,2.49934,2.49981,2.50097,9.75073e-05,17.7435,18.5592,19.8816,20.7917,21.4786,21.9116,21.6267,22.3345,25.1431,24.3846,17,23,27,19,20,17,20,30,24,29
507.396,0.993548,0.000622061,4,15,0,-503.814,2.50022,2.5015,2.5005,2.50082,2.50112,2.50039,2.5008,2.49945,2.50108,2.50124,0.000103358,18.165,19.0286,20.493,21.4844,22.2433,22.736,22.3815,23.1651,26.294,25.4268,13,19,23,23,14,23,14,30,35,20
508.956,0.988064,0.000622061,4,15,0,-504.674,2.50031,2.49867,2.49987,2.49963,2.50092,2.50042,2.50073,2.5006,2.49975,2.49917,9.95276e-05,17.8998,18.6648,20.0894,21.0129,21.7492,22.2172,21.8818,22.6454,25.522,24.6929,25,17,20,12,28,22,31,28,24,24
506.139,0.968917,0.000622061,4,15,0,-503.285,2.50021,2.49888,2.49971,2.50104,2.50129,2.50078,2.49938,2.5002,2.50117,2.50119,0.000126825,19.8885,20.9938,23.0406,24.4388,25.4993,26.2041,25.6548,26.8277,31.3076,30.0401,16,22,19,37,21,33,26,34,24,23
506.623,0.956242,0.000622061,5,31,0,-501.123,2.49901,2.50039,2.50109,2.4992,2.50199,2.49966,2.49887,2.49968,2.50116,2.50046,0.000109789,18.5993,19.5405,21.1787,22.2193,23.1109,23.6182,23.1989,24.1164,27.5836,26.5952,31,16,25,19,15,24,16,23,18,24
508.764,0.89838,0.000622061,4,15,0,-502.265,2.50077,2.50089,2.49903,2.50038,2.5012,2.50029,2.49922,2.50086,2.49965,2.49988,0.00010269,18.128,18.9624,20.3942,21.3965,22.1589,22.6423,22.2586,23.1016,26.1265,25.2722,13,11,26,21,19,16,21,17,35,27
